wd_source_id,ms_source_id,R_chance_align,wd_rv,wd_e_rv,wd_redchi,wd_rv_from,snr,ms_rv,ms_e_rv,ms_rv_from,ms_redchi,TeffH,e_TeffH,loggH,e_loggH,vgtheoretical,vgobs,e_vgobs,wd_plate,wd_mjd,wd_fiberid,paths
4495341642223178240,4495341646514151296,0.0131076519341513,10.083928135387067,22.269794564413885,0.8352718706665492,sdss5,12.883461952209473,-19.49305725097656,0.4431996941566467,gaia,0.0,29245.6,3785.65,8.045044,0.261731,33.15460917049714,29.57698538636363,22.27420427108674,100024.0,60086.0,2.702159876520073e+16,sdss5/wd_fits/spSpec-100024-60086-27021598765200726.fits
1100971233759127168,1100971268118864640,0.0004053819514825,83.36394296188838,21.32479533085526,0.7944360931308986,sdss5,18.65761375427246,34.520530700683594,3.2518606185913086,gaia,0.0,19125.92,567.7,7.881716,0.046197,25.072917815465907,48.84341226120479,21.571311814203867,102969.0,59981.0,2.7021597912892264e+16,sdss5/wd_fits/spSpec-102969-59981-27021597912892263.fits
2837987842280659968,2837987846577171840,2.850692253873923e-05,-15.112358170166734,26.832682196438142,0.9015437479737252,sdss4,9.630598068237305,-9.245349884033203,1.5745861530303955,gaia,0.0,6953.63,816.96,7.910486,0.449127,25.47462720403207,-5.867008286133531,26.87884215155786,7606.0,56977.0,156.0,
2841187146239791872,2841187150536214784,8.488494393195983e-06,-13.872094491804171,15.44716232541684,0.8833406936990087,sdss5,16.834205627441406,-25.234411239624023,0.5889550447463989,gaia,0.0,8115.45,945.01,8.006146,0.352853,29.943834123567022,11.362316747819852,15.458385813289484,15036.0,59188.0,4384453219.0,sdss5/wd_fits/spSpec-015036-59188-4384453219.fits
2841283151645302272,2841283151645302144,2.79213811807735e-06,12.866398260109868,10.735292308488017,1.707991343265037,sdss5,53.95888519287109,-15.93871784210205,1.035902500152588,gaia,0.0,9552.83,262.69,7.849419,0.080547,23.17803589323784,28.80511610221192,10.78515623152972,15036.0,59188.0,4384457654.0,sdss5/wd_fits/spSpec-015036-59188-4384457654.fits
6431084300169300224,6431084502029884672,0.0002272647839331,18.00226927955428,26.02275175168976,3.1079485348566824,sdss5,26.83747100830078,-32.70823269003765,1.4684556922878542,sdss5,0.391728366451867,45199.6,7242.0,7.714534,0.13802,20.62352880519073,50.71050196959193,26.06415106713213,25511.0,60087.0,2.702159944648703e+16,sdss5/wd_fits/spSpec-025511-60087-27021599446487033.fits
6886973535081311872,6886973358987025280,0.0043474009681335,36.53651036353842,20.534783503387168,0.8180156381747626,sdss5,15.757635116577148,-3.635751962661743,0.1253376901149749,gaia,0.0,9843.34,1553.58,7.698557,0.420575,18.030401915042717,40.17226232620016,20.535166010226096,29938.0,60085.0,2.7021598719210416e+16,sdss5/wd_fits/spSpec-029938-60085-27021598719210414.fits
2166332030390763264,2166332030390765440,1.4373771538334315e-06,14.826837099844663,13.670804424689114,0.7082941622562788,sdss5,24.23883056640625,29.084422640997367,1.328372419642152,sdss5,0.6750987856116275,10574.93,103.32,7.988795,0.021913,29.275476548918785,-14.257585541152704,13.735190821512653,104454.0,59835.0,2.702159778172605e+16,sdss5/wd_fits/spSpec-104454-59835-27021597781726050.fits
2854365720811907328,2854365725107598592,3.196183505889586e-05,82.55506220041772,17.23344196004166,1.9027777884221748,sdss4,24.50571823120117,12.824174880981444,0.5699995160102844,gaia,0.0,14922.74,893.3,7.852669,0.105844,23.66782979160333,69.73088731943628,17.242865807004836,2803.0,54368.0,290.0,
741596712916829824,741596820291614976,2.272796865536192e-05,-24.43144862259884,19.664446987300497,0.9452528300241438,sdss4,10.888456344604492,-11.871952056884766,3.350717067718506,gaia,0.0,7735.75,530.53,7.998025,0.214103,29.52130945454313,-12.55949656571407,19.94787658334219,2354.0,53799.0,439.0,
743097619303531904,743097619303531776,3.4321861364187366e-05,-7.501108004718377,13.62712878341675,0.7932711099461742,sdss4,29.75537109375,-31.983753896758984,0.8619208504895894,sdss4,0.9799176327006268,15137.36,682.44,7.969383,0.080457,28.630873374876572,24.48264589204061,13.654359978861477,2342.0,53742.0,591.0,
754878504143019136,754878680236803328,0.035244081871421,-24.68896526446731,17.336061447747436,0.9440033840159746,sdss4,13.125686645507812,0.8988292217254639,0.24121955037117,gaia,0.0,8203.56,434.03,8.053372,0.161134,32.380598669486055,-25.587794486192774,17.33773956983886,1430.0,53002.0,283.0,
760742440172273024,760742650625426176,0.0596106228491236,-56.71431049586725,14.170645777469378,1.6450587856737822,sdss4,23.66259765625,8.723833084106445,3.0946643352508545,gaia,0.0,16035.67,2779.27,7.003948,0.344656,6.174942502275428,-65.4381435799737,14.50462509334124,4648.0,55673.0,390.0,
744425378378206464,744426099932713728,1.0311967365322467,13.384749209110865,20.28979018237808,0.8403491464836307,sdss4,10.39926815032959,39.36699295043945,5.681395530700684,gaia,0.0,7076.71,476.67,8.106751,0.268475,35.24944702666697,-25.98224374132859,21.07021216839525,5801.0,56328.0,990.0,
2856708402132822016,2856708268989889792,0.0323722203275914,-16.946137276467464,38.08081302065287,1.026248719199508,sdss5,7.925385475158691,-1.125055909156799,1.4378422498703003,gaia,0.0,6317.81,544.61,8.049171,0.331371,32.00513151715028,-15.821081367310663,38.10794812961513,15004.0,59191.0,4402835442.0,sdss5/wd_fits/spSpec-015004-59191-4402835442.fits
2853971996865556736,2853971790707126912,1.0539115016735187e-05,9.511959629935888,12.957988166594834,0.9800550249069938,sdss4,31.101150512695312,-24.308656692504883,4.921144962310791,gaia,0.0,10321.44,215.12,8.066426,0.05617,33.23366992847268,33.82061632244077,13.860992932170792,2803.0,54368.0,211.0,
2848338129349004416,2848338133644243200,3.493390117533591e-07,26.39282810053592,29.57026144235364,1.0216913624768469,sdss4,9.457696914672852,-7.942266941070557,3.187819480895996,gaia,0.0,6809.14,723.76,7.975194,0.429694,28.36213967169951,34.33509504160648,29.741596372957627,6521.0,56537.0,806.0,
6899212229075129344,6899213710839008256,0.0002053673310184,-59.80035071117681,40.21332134442852,0.8467879502531636,sdss5,8.797552108764648,1.2115371227264404,3.069815158843994,gaia,0.0,16260.97,2376.13,8.002999,0.306748,30.30907098085769,-61.01188783390325,40.33032331459468,103587.0,59881.0,2.7021597926045e+16,sdss5/wd_fits/spSpec-103587-59881-27021597926044999.fits
6898255177217741952,6898255177217733504,1.5075011729508033e-05,67.0480971756602,22.15486110677032,1.7549619541911097,sdss5,23.17186737060547,0.926061987876892,0.7886301279067993,gaia,0.0,8625.03,397.39,6.73249,0.161525,,66.12203518778331,22.168892803631994,103587.0,59881.0,2.7021597926046264e+16,sdss5/wd_fits/spSpec-103587-59881-27021597926046263.fits
6898705800892401280,6898705805186335488,3.582697344409306e-05,-12.584065659014506,19.512187278512865,0.8250553029505211,sdss5,19.61285781860352,-72.60169982910156,2.695051431655884,gaia,0.0,14117.91,1080.81,7.818198,0.129316,22.30225572630209,60.01763417008706,19.69743015245973,100142.0,59879.0,2.7021597925958424e+16,sdss5/wd_fits/spSpec-100142-59879-27021597925958424.fits
6899127085644261632,6899127089938464512,0.0001214299581424,49.88835219182757,24.733351318740745,1.1262693506912511,sdss4,14.058687210083008,35.799190170254185,1.3460266200493436,sdss5,0.4144681549750084,17370.01,6988.92,8.312238,0.707978,49.535220483947,14.089162021573388,24.76995064827817,2320.0,54653.0,603.0,
614145585632943616,614153904984918912,0.9558806564924328,21.18754566119552,33.57096883555554,1.017815495488127,sdss4,5.542078971862793,26.886404037475582,2.427172899246216,gaia,0.0,8074.4,1565.06,8.26248,0.695048,45.34602341454441,-5.698858376280068,33.65859647758172,5318.0,55983.0,474.0,
611167150367477888,611167253447201280,5.920653701068709e-07,68.42588394914495,11.244524280012715,4.185042421866161,sdss4,51.485347747802734,59.09806442260742,0.483220636844635,gaia,0.0,20085.5,1067.2,7.877737,0.086651,24.96989306679616,9.327819526537525,11.254902419286807,5297.0,55913.0,346.0,
623941650120846336,624316209924021632,1.1500407794200818,45.06387319554024,13.303927525675052,1.004168715582246,sdss4,32.864166259765625,37.86752700805664,2.4073212146759038,gaia,0.0,14843.69,2448.32,8.025011,0.293976,31.33443830360564,7.196346187483599,13.519973485145709,2868.0,54451.0,429.0,
611958901818353152,611958901818825344,2.5262519744658458e-05,57.8291543365692,15.210577809185883,1.179448110103441,sdss5,14.986863136291504,45.805850982666016,0.209130510687828,gaia,0.0,7582.84,549.08,7.368415,0.254286,10.139858950105204,12.023303353903188,15.212015410845424,102011.0,59986.0,2.702159810449329e+16,sdss5/wd_fits/spSpec-102011-59986-27021598104493289.fits
2642823600637434752,2642822127464255232,2.325332151834984e-05,-17.863440693434974,32.09388558248481,1.1256582715524903,sdss4,10.120410919189451,-27.33526845068794,1.3396616607252376,sdss5,0.5796611702007166,16231.62,3462.75,8.149262,0.356416,38.306387706812295,9.471827757252967,32.12183346490115,683.0,52524.0,316.0,
2645912712915673472,2645912717210912768,1.8535059222359426e-08,31.16845569607848,36.78942593917504,0.9096177641178288,sdss5,7.567834377288818,-19.26932716369629,4.103259563446045,gaia,0.0,8990.96,1533.06,7.980626,0.598398,28.77953408161574,50.43778285977477,37.01754448878338,15033.0,59200.0,4382199395.0,sdss5/wd_fits/spSpec-015033-59200-4382199395.fits
2654613835620963584,2654613839915873792,0.0111785924413667,60.42218220611792,80.79421574499327,0.9628258347986748,sdss4,3.449962615966797,-0.7188683748245239,4.514382362365723,gaia,0.0,,,,,,61.14105058094245,80.92023817292035,1101.0,52621.0,411.0,
2641865135735601024,2641865277470199808,7.476615818762921e-05,10.592989981658343,16.337684308232184,0.8763109868039615,sdss4,14.498437881469728,-16.884050369262695,0.2673409581184387,gaia,0.0,8304.14,274.0,8.085197,0.102663,34.12054270892686,27.47704035092104,16.33987147266905,386.0,51788.0,258.0,
2657451056656635648,2657451060952433280,5.373466482880853e-06,-23.3686603268876,12.918687871299426,1.1004304605525688,sdss4,22.457351684570312,-29.30622673034668,5.082386493682861,gaia,0.0,8274.67,282.78,8.105175,0.097418,35.244097461398034,5.937566403459083,13.88247632042745,382.0,51816.0,324.0,
5177859052746654208,5177858850883734144,2.3511196963244302e-06,13.31567144877214,17.07220745134308,0.9540334613816084,sdss4,13.938331604003906,14.053118705749512,3.3454439640045166,gaia,0.0,7427.15,406.89,7.866684,0.178924,23.70074879072561,-0.7374472569773722,17.396903821599647,4399.0,55811.0,5.0,
5176463394534222336,5176463467548824320,0.3989333831492507,38.02985295543425,55.6582375406035,1.106071056467672,sdss4,4.819680213928223,22.999420166015625,4.287845134735107,gaia,0.0,7181.61,1167.64,7.407321,0.717461,10.815518018307998,15.030432789418626,55.823158474111054,454.0,51908.0,477.0,
3828471866982249728,3828477566403002112,0.4364394205155332,63.75217802659126,54.69219049620024,0.9496850483847468,sdss5,3.796920299530029,30.05062963483107,1.3500670452394026,sdss5,0.492516044862446,7146.86,987.54,7.572688,0.535114,14.357932756052133,33.70154839176019,54.7088510416669,24633.0,59967.0,2.702159812841898e+16,sdss5/wd_fits/spSpec-024633-59967-27021598128418979.fits
3843361002474467328,3843361006768915584,2.335409576931312e-05,38.922554583806495,13.222456315360809,4.441922310204744,sdss5,38.42684173583984,-25.404257037425985,1.6583408516193696,sdss5,0.3503069363445923,13386.07,1125.19,7.25434,0.171895,8.811948802845103,64.32681162123248,13.326043876251292,15155.0,59256.0,4592534627.0,sdss5/wd_fits/spSpec-015155-59256-4592534627.fits
3843636017819635968,3843636017819394176,0.0060222473380368,52.21157193191552,18.457067329160708,0.9317016618670748,sdss4,18.99608612060547,27.971099853515625,0.5897271633148193,gaia,0.0,21313.0,5208.67,8.224296,0.405204,43.41118808251026,24.240472078399897,18.46648619852523,3819.0,55540.0,340.0,
3841114837657185920,3841120992345119488,1.0229291754005732,-135.05833137653224,74.69560398525635,1.251169984484674,sdss4,4.680799961090088,9.810216903686523,2.389562129974365,gaia,0.0,10062.49,1694.16,7.98408,0.600094,29.016826454057263,-144.86854828021876,74.73381605334531,476.0,52314.0,328.0,
653782155180343040,653786935481789184,1.1688135375309074,-93.29951328594665,53.292581132639725,0.9126102310903972,sdss4,5.103354454040527,4.347533226013184,1.6838595867156982,gaia,0.0,7524.88,1498.0,7.851957,0.787723,23.124797751412306,-97.64704651195984,53.31917653984129,4504.0,55571.0,547.0,
