filename,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi
WD0302p027_a_2000_07_16T10_05_38_all.dat.gz,1.203566028670198,2.574122777005095,8103.008603901918,7.097649381864962,1.9745505570568258
WD2152m548_a_2000_07_14T04_26_37_all.dat.gz,-7.287683737407897,2.1223867392481974,7638.545218340865,7.000000012544394,2.438795212375159
HE0211m2824_a_2000_12_07T03_26_14_all.dat.gz,73.39031010474095,3.691904279364465,13888.01059441284,8.031226879110593,0.8130263829633381
WD1615m154_b_2000_06_08T02_11_10_all.dat.gz,11.849428962767181,1.061157695320384,8808.710463957528,7.999999778049743,2.774783750013735
HE0418m5326_a_2000_07_18T10_06_00_all.dat.gz,850.4139028860772,,9500.00340049722,7.000000010567318,46.93475335348585
WD0107m192_b_2000_07_16T06_50_00_all.dat.gz,23.820123412903545,3.9283949769430553,12999.997310770985,7.438888873168428,3.6642530810698832
WD1840p042_b_2003_06_25T05_30_21_all.dat.gz,-12.566367763895185,2.5197275076008854,8657.690030731774,7.787384984279795,1.9596102151841879
HS0145p1737_b_2002_09_30T05_06_54_all.dat.gz,15.566316675315013,2.655471718818058,12367.580792588482,8.816380153542891,1.7127294938618358
HS0346p0755_a_2003_02_04T01_59_42_all.dat.gz,-18.10123952953589,4.543947454460624,24999.32219423128,7.000003373322887,31.925475331622042
WD1507p021_a_2002_06_18T01_25_27_all.dat.gz,-1234.8667319027975,,15252.13547177043,7.999998851060732,16.629947829293023
HS0400p1451_b_2002_09_21T06_42_08_all.dat.gz,67.15319203690913,1.8848984864787113,15664.216074302381,8.306448110584773,4.104187384378086
WD1401m147_a_2000_07_14T00_55_22_all.dat.gz,124.14831377077022,2.2176238267894917,11153.129943608852,8.081191933470347,6.750853076912511
HS0949p0823_b_2003_02_14T04_18_36_all.dat.gz,-609.8780287357478,1.1003497700951357,10999.903328747763,7.000016386716809,26.70983437151516
WD2311m260_a_2000_06_13T08_31_57_all.dat.gz,-105.66398612818087,2.852803973886239,8077.39069084615,7.000000063622662,9.25318250446326
HE0145m0610_b_2003_09_21T04_12_02_all.dat.gz,-88.59523535435031,3.7926837499258497,8922.467425931874,8.999999999940133,4.959669928542496
WD2303p242_b_2002_09_26T04_39_50_all.dat.gz,20.87095374631377,1.9956317743703078,11283.497700444592,8.348872693366136,2.6206493691947403
HE0414m4039_a_2000_12_11T04_49_41_all.dat.gz,64.73275136231901,4.478246463477458,12353.833480566132,8.999999701158508,2.739738647540121
WD0408m041_a_2001_09_02T09_17_25_all.dat.gz,-712.2899150784341,0.6334828692018846,11168.819895051538,8.999495147821,25.064232635025345
WD2139p115_a_2000_06_06T08_52_03_all.dat.gz,-9.350628277381167,2.4812013246115585,13386.462197215871,8.19288970408168,2.7070189632406128
HE0333m2201_a_2000_12_11T03_49_30_all.dat.gz,40.69703883635765,5.433898329434214,14651.869249706822,8.150927218800033,1.8116282794317682
WD0612p177_b_2002_02_19T02_25_01_all.dat.gz,49.07515682760583,0.9202819455459519,9282.700369665898,8.099392759620274,3.575075772998683
WD1220m292_a_2000_05_20T01_17_18_all.dat.gz,-1126.022243664671,,6011.166540331934,7.092957235619003,73.90214327290603
WD1550p183_b_2003_08_11T01_03_06_all.dat.gz,44.74074177306619,2.7279899580683136,15318.493269118646,8.290742963065657,2.4203614477978825
WD1218m198_b_2000_05_21T04_09_12_all.dat.gz,8.016617510462426,4.610986117007643,8141.618345558714,7.47443669490367,2.130747691356567
HE1340m0530_b_2000_07_18T01_16_16_all.dat.gz,13.343196458690983,8.072925738437924,8954.46004178236,8.99999996219021,4.4216450355084005
HS1136p0326_b_2003_01_19T04_57_55_all.dat.gz,130.45977809876436,5.180487362737324,12499.88706446997,7.20185957025136,7.807806467020935
WD0646m253_b_2001_11_18T08_17_32_all.dat.gz,32.3176046129262,1.1008235745597155,9048.914353371474,7.999998503081276,2.53062787660524
HE1315m1105_b_2000_05_19T03_07_36_all.dat.gz,41.34778737918258,2.3574253025242626,9107.755389481374,8.361440765075166,4.014129491502792
WD1911p135_b_2000_05_18T09_42_25_all.dat.gz,9.89976368981078,2.160754784887612,13278.498568076528,8.023984972936168,2.539645158431655
WD0928m713_b_2002_04_23T02_35_46_all.dat.gz,1024.7128716429456,,10499.756792779346,7.001466675506114,134.18971656556207
WD2254p126_a_2000_07_12T05_23_49_all.dat.gz,38.63717424128834,2.7316505512340647,12061.055832160298,8.105457458318078,5.218090355335405
HE0348m2404_b_2001_09_15T09_11_32_all.dat.gz,34.6419696222683,2.529883582018371,13095.306285411818,7.9903527122448,6.261044071514048
HE0106m3253_a_2000_12_07T02_53_55_all.dat.gz,77.15324778280375,2.6611250664660986,17115.543641121956,8.160614456116994,2.4115840325441016
HE0403m4129_b_2000_07_18T09_24_07_all.dat.gz,-332.39993700353637,3.5031302098744277,16999.929908390564,7.0000168290563165,49.767248076950615
HS1430p1339_b_2001_08_19T00_49_59_all.dat.gz,19.353850676982024,2.7579375114632203,9975.225034884475,7.999984845572732,5.186007295852071
WD0344p073_a_2002_09_22T07_05_25_all.dat.gz,29.86912055519929,4.141351345833529,10645.140976151695,7.899933162946477,4.081597731848001
WD1031m114_a_2001_06_26T23_20_00_all.dat.gz,37.02738139905432,0.8995772841028007,9254.007362082913,7.999981547348804,3.544477028479855
HS1053p0844_b_2002_02_22T05_15_33_all.dat.gz,51.49798788688783,4.074288030390477,13600.351743352821,8.08397271643733,3.247180112384851
