filename,radial_velocity,e_radial_velocity,redchi,teff,logg
WD1147p255_b_2003_01_24T08_08_47_all.dat.gz,64.32526265126549,3.2239465806945127,8.97719534998552,10226.55583977514,8.31754019210737
WD2306p124_a_2000_08_06T03_24_41_all.dat.gz,11.782025064200909,4.231757551600728,2.772612161181702,15499.802747545698,8.999998755225128
WD0310m688_a_2002_12_03T05_21_40_all.dat.gz,68.29276041969554,0.87892411935497,2.0908299423846213,14879.341045667172,8.37023109286177
WD0628m020_a_2002_12_24T08_23_04_all.dat.gz,6.763526636169874,4.282673216302543,3.6667601024036474,6991.677541462058,8.99999999995331
WD1919p145_b_2003_05_06T09_34_48_all.dat.gz,32.234379588425824,1.1303094202608932,2.0214701621597744,15827.72264932597,8.122688144588919
WD2124m224_a_2000_07_14T04_07_10_all.dat.gz,5.426799050140412,2.717116389044385,2.1159316031633923,7519.98820064754,7.000000000000725
WD2312m356_b_2001_09_20T05_57_02_all.dat.gz,348.0053155022682,1.168883923938182,13.486086955054724,10863.388910712114,7.816224061535279
HE1518m0344_b_2000_07_06T03_17_55_all.dat.gz,20.48546808006783,4.464669589287993,3.903969342080832,16044.133599125877,8.999999997893974
WD0317p196_a_2002_09_21T05_45_32_all.dat.gz,37.06624244320513,3.1130487435058107,3.130890676550404,14393.352570007271,8.560322207649088
WD2351m368_a_2000_07_14T06_20_04_all.dat.gz,-12.115855915338424,1.863423758838378,3.106985579255185,14464.526083788956,8.042467373399674
WD0216p143_a_2002_09_05T09_36_51_all.dat.gz,-5.432733131601169,1.5122062951355733,2.0244841895875214,9093.633471468434,7.998833911465341
WD1334m160_b_2000_06_11T01_00_43_all.dat.gz,-736.8345534025086,0.2989057477886376,104.4694317514853,8423.609220228349,7.000129037721491
WD0945p245_a_2002_02_12T04_32_06_all.dat.gz,95.80003016041348,4.4037772662178725,21.14391246123802,40157.349035682775,8.418747831836923
WD2200m136_b_2002_09_23T04_31_08_all.dat.gz,33.51895553374403,1.931863663040524,2.1313762500332434,9202.751294255286,7.810926769295225
WD2032p188_b_2002_09_10T00_11_32_all.dat.gz,81.64092495549399,4.309660370466645,14.881619727446598,19999.96974567918,7.908645165324223
WD1129p071_a_2003_01_18T08_27_25_all.dat.gz,-33.929524864990405,2.515810488471084,3.7041163767320353,12859.043093351353,8.016823804037225
WD1204m136_a_2000_04_23T04_54_00_all.dat.gz,45.36684590344987,2.0952309044908333,3.74724334112373,10885.64138093141,8.43403067339414
HS2058p0823_a_2001_08_24T01_42_58_all.dat.gz,-59.41994316493972,2.633696246842959,13.177125008426,8284.90357333583,8.90430829944415
WD1210p140_b_2003_01_19T06_03_10_all.dat.gz,-57.90956766188419,3.425615958299222,2.707974162301145,8167.921465211986,7.000000001879156
WD0956p045_b_2001_01_15T04_55_19_all.dat.gz,-66.24121273940042,15.204014020488067,2.3463062219539865,16999.988955852277,8.971054496424834
WD0950p077_a_2001_04_10T01_47_27_all.dat.gz,11133.279026827408,,2106.4939650275965,6676.152219360725,7.000006648062632
WD0621m376_a_2001_04_07T01_12_59_all.dat.gz,8.419499611378297,1.100171768023288,2.4708529864235524,7124.392600028006,7.000000012157774
WD1919p145_a_2002_06_01T09_53_45_all.dat.gz,40.72860251146415,1.1731556531435992,1.812547915591254,16013.771272791291,8.138713820949949
WD1619p123_a_2002_08_04T02_44_34_all.dat.gz,41.05456467946042,2.6132388146601,2.724586091333183,13940.59562855998,8.409258904898886
WD0114m605_a_2002_08_03T09_52_41_all.dat.gz,43.52064211522867,2.351973014680901,1.638268529842396,9316.911164035797,8.000005269990565
HE2159m1649_b_2001_08_20T02_45_08_all.dat.gz,-661.2697759640766,0.9436715764824156,26.409284331208184,10499.98626377036,8.958950184609773
HE0403m4129_a_2000_07_15T10_03_01_all.dat.gz,18.346072376374806,3.520747097389528,2.738921607810719,12126.35215655937,8.99999999912211
WD1914p094_a_2000_05_25T09_50_39_all.dat.gz,-10.815669225541988,2.4704963401593503,2.089981058315278,8355.598764253267,7.6637519145831074
WD2309p105_b_2000_09_15T02_24_15_all.dat.gz,-23.55595702054001,1.655685400508494,54.7762101358674,6959.909409929806,7.000000000344864
WD1249p182_b_2002_02_24T07_29_11_all.dat.gz,-0.3979451744684599,2.749557485392616,3.2309028571111384,15561.292887151596,8.999999999996891
WD2018m233_b_2001_07_27T02_31_17_all.dat.gz,-14.604060632352091,2.518350059708924,11.701809605770196,16295.192790501134,7.756577866367657
HE0325m4033_b_2002_09_22T05_51_33_all.dat.gz,45.78903409515794,3.5824127176135505,4.292590692723818,12798.68157283594,8.377855505018374
WD1125m025_a_2003_01_18T06_05_28_all.dat.gz,-61.50040497409495,2.5055979705748825,5.789103641211329,8822.521454801601,8.999999995918992
WD1824p040_f_2001_07_27T02_04_48_all.dat.gz,90.42887834174624,1.326448651361197,2.536047256633453,15184.844856816324,7.552451601577607
WD0510m418_b_2001_12_04T08_01_42_all.dat.gz,-1076.5911687238415,,8645.912305892165,6975.956436533107,7.00141205316399
HS0346p0755_a_2003_02_04T01_59_42_all.dat.gz,-43.20109517565565,4.539668809260448,34.03137202534805,24999.90090673277,7.0000046547538695
WD2059p190_a_2002_09_22T00_52_15_all.dat.gz,6.146649635478125,7.670110820558084,2.6768594916456183,6850.128805238606,7.578833387967118
WD0310m688_a_2002_09_19T09_18_15_all.dat.gz,62.10074235873719,0.9003385030760533,2.1372104722985545,14639.748753317815,8.385887898818064
HE0426m1011_b_2002_09_23T07_35_52_all.dat.gz,52.39895408280027,2.575456226681556,2.4184749498513245,15752.345450770832,8.772845757879459
