filename,radial_velocity,e_radial_velocity,redchi,teff,logg
WD2306p130_b_2002_09_25T04_49_07_all.dat.gz,38.95843259587808,2.0963041555606097,4.397723945628401,,
HE2200m1341_a_2000_12_07T00_43_03_all.dat.gz,164.56347821488922,2.9833589473467867,2.436614792035961,,
HE1414m0848_c_2001_06_20T02_43_53_all.dat.gz,-184.5454408022269,1.6538493480371272,21.86970666184909,,
WD1144m246_a_2000_04_22T05_05_21_all.dat.gz,28.39532647315154,3.8245364258447427,2.618079359377514,,
HE0404m1852_a_2000_12_17T05_58_43_all.dat.gz,47.07231097164326,4.025321135125964,3.31854921959273,,
HE1518m0344_b_2000_07_06T03_17_55_all.dat.gz,43.56032349117588,5.513998407558844,2.568158765676746,,
HS1053p0844_a_2002_02_17T06_55_40_all.dat.gz,-27.60645557785707,2.648704458620081,6.661247507446232,,
WD2322p206_a_2002_09_26T06_21_23_all.dat.gz,1.8635798597579507,1.8803333790702372,5.382420144642858,,
HS1648p1300_b_2001_07_27T01_36_07_all.dat.gz,-2.154271701623572,9.872604230688426,0.6964530479430407,,
WD1953m715_b_2002_04_24T06_41_39_all.dat.gz,-2.570527817255706,3.5007199239370985,2.950998989342899,,
WD1204m322_a_2000_04_23T05_09_40_all.dat.gz,17.07718157929404,3.3114718373057244,2.7259722348258033,,
WD1126m222_a_2000_04_23T04_10_57_all.dat.gz,135.74319071141392,2.4472175163738683,40.22579880654427,,
WD1959p059_a_2000_06_10T08_40_23_all.dat.gz,-51.322371875864384,1.5407439344205223,8.678946002729964,,
WD1049m158_a_2002_04_23T03_03_42_all.dat.gz,94.72089477532836,2.6200958226528286,4.723695834549656,,
HE0049m0940_a_2002_09_26T08_39_31_all.dat.gz,23.60870320410775,1.9744340478836957,4.262499017032545,,
WD2204p070_b_2001_08_21T03_09_54_all.dat.gz,55.29369697826464,3.384404975548801,3.252851722248148,,
WD1524m749_b_2000_07_30T02_07_05_all.dat.gz,217.94755990162764,2.8801551384878366,3.6096528050767165,,
WD2303p017_a_2001_09_20T05_24_22_all.dat.gz,-1123.5985552049417,,677.0592726019032,,
WD0047m524_b_2002_09_14T03_12_36_all.dat.gz,43.55219356712625,1.9238019539221263,1.9097721261557705,,
HS1305p0029_b_2003_01_17T08_36_09_all.dat.gz,-11.12456467721537,3.6312963510408554,5.806305543478344,,
HE0246m5449_a_2002_09_20T06_52_14_all.dat.gz,-346.8139667532626,5.844988633761176,16.20505462090065,,
HS0949p0823_b_2003_02_14T04_18_36_all.dat.gz,281.27474665322194,2.2661900829349975,17.833826813117156,,
WD0453m295_b_2001_12_04T07_42_26_all.dat.gz,104.10572815598539,6.156682581300593,4.005278619891811,,
WD1053m092_b_2000_06_10T23_51_31_all.dat.gz,49.759237093070574,4.717294107980717,2.190382865237139,,
WD1115p166_b_2002_03_03T07_14_47_all.dat.gz,81.20051415172044,6.027067737221877,1.8875949145699493,,
HS1614p1136_b_2003_07_19T03_38_43_all.dat.gz,-1736.0143914726002,,662.5885690383169,,
WD2032p188_a_2002_09_04T01_03_02_all.dat.gz,0.7283563702774908,2.4406268616957996,2.578798744405383,,
WD1314m153_b_2003_01_19T06_26_36_all.dat.gz,77.94514701680038,3.150182398816341,3.2411975104102657,,
HE2218m2706_b_2001_08_25T03_45_10_all.dat.gz,-22.312627551194367,2.3389852475677912,3.7559623706227296,,
WD1300m098_a_2001_06_20T00_38_29_all.dat.gz,378.95033747196175,2.5594136873662023,22.58333975656028,,
WD0103m278_a_2002_09_15T03_50_28_all.dat.gz,44.29827811914547,2.091267958975344,2.7421128948114224,,
WD1736p052_b_2000_06_01T07_01_24_all.dat.gz,198.49901812899128,0.7144108508295375,20.521667447872545,,
HS0337p0939_a_2002_09_22T06_51_54_all.dat.gz,430.86610974577843,3.322588828048282,15.82362758330435,,
HE0425m2015_b_2002_09_25T08_49_17_all.dat.gz,40.34340768903598,4.1103793727402795,4.705106722037764,,
WD0151p017_b_2000_07_15T08_13_37_all.dat.gz,32.63136448561047,2.377281519984022,6.2319491146495,,
HS2240p1234A_b_2002_09_25T03_37_16_all.dat.gz,64.79615569654878,6.154010442367223,4.156105854578107,,
WD1129p071_a_2003_01_18T08_27_25_all.dat.gz,-39.46664767512339,2.729796110365193,3.8066252328548567,,
HS2059p0208_b_2002_09_22T00_37_50_all.dat.gz,6.584151328981389,4.38081990828526,4.684447188289231,,
HS0325p2142_a_2002_09_21T06_01_12_all.dat.gz,44.58088798634836,2.923292451250994,4.9634557657125296,,
WD2032p188_b_2002_09_10T00_11_32_all.dat.gz,-6.295832403574052,3.8717273235934533,3.290683694934753,,
HE0418m5326_b_2000_08_05T09_23_44_all.dat.gz,25.19346970759777,4.744837019280318,3.5858251983425147,,
HE0330m4736_b_2000_12_13T06_58_13_all.dat.gz,493.7844037079166,6.1456841107358855,19.793372868030442,,
HS0213p1145_b_2003_01_16T01_58_18_all.dat.gz,-14.146595652442763,3.156990315865272,12.789275278324785,,
WD2014m575_b_2000_07_18T05_15_10_all.dat.gz,60.86538602467907,4.349959506461307,3.1640019792179497,,
WD0318m021_a_2002_03_01T00_40_09_all.dat.gz,75.61396525337254,2.820821081918673,4.125683681089803,,
HE2135m4055_a_2000_05_17T09_41_48_all.dat.gz,50.876961051826065,1.756600259783081,3.9369094164622425,,
HS1136p0326_a_2003_01_18T06_34_48_all.dat.gz,29.451849960641418,4.252635799049253,5.631039281495753,,
WD2137m379_b_2000_05_22T09_34_37_all.dat.gz,-44.08741799648096,4.645200659983622,2.1229408671318724,,
