filename,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi
WD0945p245_b_2002_02_22T04_33_10_all.dat.gz,74.071341319074,8.565175739013846,57922.94439477193,7.000000000000227,1.518991956406996
WD1425m811_b_2003_03_22T08_53_48_all.dat.gz,12.066366054774956,1.7512459579884103,12515.387840920175,8.094215135438443,2.2423659340009223
WD0107m192_b_2000_07_16T06_50_00_all.dat.gz,-14.142619118215068,6.005861724561045,12502.422040913969,7.410684383542404,3.7050950192506735
HE1328m0535_a_2000_07_13T02_11_55_all.dat.gz,35.830447944053404,21.51093342352818,43785.871907562505,7.000000028841967,1.5921689745381875
WD1056m384_a_2001_05_15T00_32_44_all.dat.gz,50.76883660984974,3.149647807078278,18341.11926611041,8.99999999560173,1.635418795422135
HE2148m3857_b_2000_05_22T09_20_05_all.dat.gz,10.73902771544693,8.459166349739577,15159.62365733748,8.999999984425767,2.2043027323995403
HE1518m0020_b_2000_07_18T03_27_43_all.dat.gz,8.305331175458592,6.49839253013786,16499.98283317625,7.340444319351764,4.341082402165516
HE0256m1802_b_2002_12_08T06_26_35_all.dat.gz,35.303033164287655,6.350945423771824,15500.24788626502,7.855457219276383,2.38242571499155
HE2347m4608_b_2002_09_25T07_14_35_all.dat.gz,46.50206128739113,5.02772050723868,16499.997390817727,7.414803489755784,3.0293015644942347
HE2315m0511_a_2000_07_11T04_35_06_all.dat.gz,73.12184812522855,11.100355598098268,12584.112637959255,7.499917324541444,3.915286564600956
WD0204m306_a_2002_12_03T05_37_52_all.dat.gz,63.21026554584086,24.711363911645183,5201.512860611143,7.635410271089139,3.2755315360756203
HS2138p0910_b_2001_08_20T01_44_49_all.dat.gz,-29.177823057156058,2.137139376206136,8333.045177080981,8.990504689027425,2.318531804241059
HS1648p1300_a_2001_07_26T01_11_45_all.dat.gz,-28.708272364071355,4.241014811240909,16500.001848999796,7.643889050311379,2.140435965147138
WD1003m023_b_2001_02_06T03_59_47_all.dat.gz,21.226119656105,5.267839285294836,16999.755097843285,8.18610970728545,2.526859334074468
HE0150p0045_a_2003_02_05T00_59_38_all.dat.gz,11.696832619219157,7.144280555283637,10304.216352868396,7.59708159321652,5.984738218164038
WD0830m535_b_2003_05_10T23_32_26_all.dat.gz,43.61957483170251,3.732097525136574,17071.512220828132,8.999999995590859,1.93862558092501
WD0558p165_b_2002_02_21T01_07_41_all.dat.gz,111.74487010062816,3.8417732111102234,16559.281138620987,7.843837571698555,2.9125277352479326
WD2351m368_b_2000_07_18T06_56_32_all.dat.gz,-30.90764585388279,3.172808708461209,13763.385737151017,7.874447527284788,3.0213842939509425
WD1914p094_d_2001_06_05T07_36_27_all.dat.gz,-11.845239205000755,8.942749872782333,35876.66427755168,7.000000020470662,1.6300637725003524
HE0201m0513_a_2002_09_20T04_28_06_all.dat.gz,-10.237114821530923,6.521573156951746,20799.244240671163,8.004883469201879,2.556381962654415
MCT0105m1634_b_2000_07_17T08_19_23_all.dat.gz,19.68937524190837,7.174791424788938,9405.851739463194,7.000000446930026,5.1868874824635895
WD1515m164_b_2000_06_11T01_57_49_all.dat.gz,55.0956833587292,14.260791457483151,19999.67334723554,7.000000000249939,0.2516158023809713
WD1334p039_a_2000_07_30T00_24_57_all.dat.gz,404.41909192910725,253.2914476767908,90613.18817202962,8.499857953736413,1.4085273297773513
WD1220m292_b_2000_05_21T04_22_59_all.dat.gz,29.231010935839844,4.601095977437797,14409.3516947605,8.000000567122052,3.094337192028307
WD0027m636_b_2002_08_15T09_37_17_all.dat.gz,-17.167344579076385,16.37763142338882,5729.5087427554845,8.999999999923507,1.3683604044543214
HS0213p1145_b_2003_01_16T01_58_18_all.dat.gz,130.28985930479448,11.033466617170838,12823.886364424412,7.105281163782595,1.1449737914597615
HE0418m5326_b_2000_08_05T09_23_44_all.dat.gz,14.420512160468627,7.134211669938573,14716.32993375847,8.999999771314407,2.180644364816006
WD1418m088_a_2000_07_14T01_20_01_all.dat.gz,-13.53807949681337,1.8778409630358384,7449.485699132012,7.551745290719992,2.2291781926049383
HE0409m5154_a_2001_12_15T06_44_16_all.dat.gz,63.145480077660224,8.870839571905066,16000.168408021074,8.03171959097525,2.0776341288793816
WD1531p184_a_2002_06_18T01_44_31_all.dat.gz,38.94785185966022,4.147834804880404,11499.82324769197,7.000000030871823,4.274204063071847
WD0839m327_b_2001_05_04T01_25_15_all.dat.gz,64.67266165921708,0.6639384809770448,7856.733122199939,8.999999999878773,3.678637917518125
HS0325p2142_a_2002_09_21T06_01_12_all.dat.gz,39.34579144237911,3.4831817811924566,11828.07524957982,7.000000000067345,4.066945677047567
HE0032m2744_b_2002_09_18T03_06_51_all.dat.gz,38.712963323455305,7.470746649687884,13552.858744508254,8.737920348852395,2.451760405018158
WD0205m304_a_2001_09_23T08_37_02_all.dat.gz,66.3130511728991,3.3862413992585125,13021.368654162372,7.49601620584087,2.2595371069847965
HE0320m1917_b_2001_02_07T02_38_31_all.dat.gz,43.88741058257023,5.306986901046557,10793.217334196208,7.000000173784294,4.680911270184031
WD0137m291_b_2000_07_16T08_58_27_all.dat.gz,22.36412434480664,6.792368177856225,13893.66972380555,7.999999585263179,2.479212427186031
WD0357p081_b_2000_09_17T08_36_19_all.dat.gz,-58.967097692306,15.345842469211805,128997.4413905414,7.052643266409681,2.028380581265239
WD1257p037_a_2000_05_19T03_59_02_all.dat.gz,105.70808514788614,13.512287017281617,47303.46533409655,7.000000000233969,2.024529694297056
HE0324m2234_a_2002_03_05T00_31_57_all.dat.gz,82.85097485761867,5.436992791715305,13608.91760654992,7.405710466821995,2.7879231062110224
HS0209p0832_a_2000_07_12T09_23_06_all.dat.gz,35.16078630430201,7.033498920611418,39155.755991130965,7.250280407036947,1.3599815271632494
WD0048m544_b_2002_09_14T03_21_21_all.dat.gz,24.077859473458773,3.052402428982917,17463.30905181814,7.926696526814458,2.3774950023424304
HS0337p0939_b_2003_02_04T01_30_03_all.dat.gz,101.55794033812172,6.528706327606116,9999.23036189833,8.718394633284777,3.5477078292891666
WD0208m263_b_2002_09_20T05_12_08_all.dat.gz,42.33136667411413,12.631083349868804,36244.03119599652,7.000000492235357,1.876187225036989
WD1619p123_a_2002_08_04T02_44_34_all.dat.gz,26.20866035374184,4.119068291882039,16499.927999781226,7.495903929002626,2.6251299661006304
HE2356m4513_b_2002_07_11T08_52_25_all.dat.gz,23.736206776207727,6.168220634374409,19999.889707903807,7.610546436698759,2.241215374550393
WD1802p213_b_2002_07_27T05_00_06_all.dat.gz,86.74887902507878,5.210175990090853,18543.467463269862,7.000000000681608,4.03597485459555
WD2309p105_b_2000_09_15T02_24_15_all.dat.gz,-82.38805340591834,12.49427605860864,65305.20514560462,7.500677606169775,1.1942860808863265
WD0250m026_b_2002_09_19T08_38_03_all.dat.gz,39.27401845451226,4.000423003417193,16875.664837034674,7.000000001966955,3.005763822626931
WD0307p149_b_2002_09_19T09_01_51_all.dat.gz,-28.50508414353589,6.139249995804157,14846.030298592026,7.804021154121862,2.132098768210257
WD1914p094_c_2001_05_04T08_38_10_all.dat.gz,-22.760547970992885,18.524256716953023,30004.884026978867,8.999999993646785,1.9355546932136496
WD1053m092_b_2000_06_10T23_51_31_all.dat.gz,57.83245015134907,5.607261374983583,20871.91757574814,7.070360623207218,2.401901915890988
WD0024m556_b_2000_08_05T08_30_01_all.dat.gz,83.55956469375457,1.857339044122924,9180.140994690832,8.9999999999469,2.3686934614540447
WD1334p039_a_2001_08_15T00_11_53_all.dat.gz,489.83019168574657,79.2409184405827,108325.0255571618,8.29005111358556,1.5632871238107586
HE1310m0337_a_2000_07_11T02_12_42_all.dat.gz,-83.08003526701478,0.2303331027491495,6499.998647638673,7.003281173527096,644.5540986643311
WD0110m139_a_2000_07_13T07_26_12_all.dat.gz,14.418179435557256,4.714756201784009,16500.056994347637,8.367856027889122,1.9703437622136564
WD0426p106_b_2003_01_18T04_49_25_all.dat.gz,63.4874853517776,0.0607458987361049,6499.997550934351,7.000089473377197,7240.641118601607
WD0406p169_a_2003_02_04T02_25_47_all.dat.gz,109.13522215707133,4.093565135163701,16499.988125345815,7.770936242941039,3.35328259343256
HE2345m4810_b_2002_07_11T09_27_30_all.dat.gz,-20.0455308945147,5.560316448063579,20250.885717899466,8.660549935959084,1.8085684521469805
HE0317m2120_a_2001_02_06T03_12_20_all.dat.gz,107.11855958591168,3.5582529890356724,8499.879327169101,7.000194574608649,11.156891715278936
WD0145m221_b_2000_07_17T08_33_19_all.dat.gz,44.58141566546973,27.591895711977905,10670.600759581905,8.999999997853157,0.090672276094629
WD1257p037_b_2000_05_22T02_49_52_all.dat.gz,110.01758519945444,11.35171990964016,5823.887700741634,8.861757699428505,4.096279348390359
WD0151p017_b_2000_07_15T08_13_37_all.dat.gz,37.67156035933948,3.3239331686669544,12622.315505566,7.000000283361966,4.006660443684102
HS0315p0858_a_2002_09_21T08_23_21_all.dat.gz,10.98993100260959,4.076536536122431,16999.80615763501,7.258663352276703,3.657023279818681
WD0950p077_b_2002_03_23T03_34_44_all.dat.gz,34.437665290772735,4.054875411327496,14391.907299196078,7.499967011855261,3.031984384518092
HS1527p0614_b_2001_07_25T23_49_52_all.dat.gz,84.03603140566109,3.49898125808879,14307.918383206274,7.499978674874919,3.089315679466923
MCT0110m1617_a_2002_09_12T08_56_14_all.dat.gz,36.703610473279895,15.722976319212965,39701.97903990407,7.000001090942595,1.7049474382188092
WD0455m282_a_2000_09_14T08_24_49_all.dat.gz,29.27461371422775,25.954865883882174,57594.42716748373,7.298415532917804,1.2715560693870431
WD1017m138_a_2002_04_23T04_06_16_all.dat.gz,68.23287906477107,10.06228544382217,34999.97820989568,7.05874373642391,0.829441575079231
WD1129p155_b_2002_02_22T05_42_41_all.dat.gz,15.76312508207095,2.2416160730696504,14959.528387879383,8.112317828471632,2.497551669930236
WD1036p085_a_2001_04_10T05_36_08_all.dat.gz,50.5340242509193,6.330637668506753,12503.308889005795,7.000200872519193,3.322761430455898
WD2324p060_a_2002_09_26T07_19_18_all.dat.gz,-12.782663038091435,3.609799720676225,14999.978060277235,7.595938251467513,3.322084474790309
HE0222m2630_a_2002_07_10T09_23_27_all.dat.gz,239.07946833979824,3.0861019686725517,10499.992254809988,8.999999999969152,49.3846957374116
HE0225m1912_b_2002_09_20T06_28_24_all.dat.gz,-41.1368040217978,5.985565518169999,14236.024563407367,8.999999732926716,2.723419063267337
HS0237p1034_a_2002_09_20T08_39_55_all.dat.gz,32.94850366919239,8.764810377177,14031.625564398386,7.999999320277119,2.2078783438572613
WD2134p218_b_2002_09_10T02_30_18_all.dat.gz,23.480462756828448,7.8464981917674335,16499.999817969598,7.493058070073374,0.5735505956945359
HE2133m1332_b_2001_08_21T01_46_31_all.dat.gz,11.878779291139995,1.4632949224675622,9292.432299397718,8.999999999976556,2.5995304328720827
WD1020m207_b_2000_05_17T00_04_41_all.dat.gz,86.48142995703095,4.375488998762975,17638.71431306582,8.019266303089907,2.6605711225478843
MCT2349m3627_b_2000_09_17T02_58_51_all.dat.gz,58.29309191742136,35.12538704779386,32766.90809026251,8.999874200878834,1.4917562598974805
HE0508m2343_a_2001_04_07T00_23_10_all.dat.gz,120.97866989931302,9.37938957725232,14534.559852170723,8.999998772318603,5.142612132579167
WD1451p006_a_2000_05_20T03_55_18_all.dat.gz,8.753543028874878,3.4923435939243497,15614.436944121846,8.591614298914461,2.3606091705728853
HE0152m5009_a_2002_09_15T09_00_08_all.dat.gz,43.61496507987682,3.386799370853698,11322.124386268988,7.000000007865121,3.72468780864372
WD2324p060_b_2002_09_27T03_55_12_all.dat.gz,-7.577481423443302,2.783668796493302,19999.79752480599,7.501933549746443,2.758669343418166
HS0346p0755_a_2003_02_04T01_59_42_all.dat.gz,92.76480565551992,6.88298818091485,12500.03201792774,7.09998155241052,3.5937089293872453
WD1736p052_b_2000_06_01T07_01_24_all.dat.gz,35.152055990167746,2.7548002626886365,7499.995521097943,7.010598442015536,3.535099997428637
WD1952m206_a_2000_07_06T05_09_29_all.dat.gz,35.128954628132234,3.023638296602062,17835.430383638002,7.000000740671205,2.517787141546092
WD0315m332_a_2002_09_21T08_07_59_all.dat.gz,76.698569106472,29.72306845963911,58836.728823443074,7.000000005242319,1.2998835279587364
WD2211m495_a_2000_07_14T04_35_56_all.dat.gz,8.028228817045033,3.064819565809099,54289.59537452796,7.000000065746403,1.2672484120610314
HS2216p1551_b_2002_09_26T02_51_00_all.dat.gz,26.032565707568327,5.486946438792783,15086.871461134053,8.999999999588978,3.2516926982859333
HS1517p0814_a_2001_06_20T03_20_55_all.dat.gz,48.75656062735182,5.733420675810933,14295.808220181283,7.499971849733405,3.724281646684614
WD0308p188_a_2002_09_21T05_33_44_all.dat.gz,13.881282800293087,3.0305153758270382,17490.687759849952,7.500020300736217,2.5228251378565942
HS1003p0726_a_2002_05_24T01_56_20_all.dat.gz,444.73630327389895,0.8015169493163228,19675.473077512102,7.0000000224838805,342.0665760785909
WD0128m387_b_2000_07_16T08_11_49_all.dat.gz,39.726657410041454,2.970551718453404,10269.161687089232,8.999999999916902,3.3054969666093066
WD2253m081_a_2000_07_12T05_52_41_all.dat.gz,-29.317129867195305,3.3356070404132883,9987.49695879587,7.000000010989849,4.301669908592842
WD1844m223_a_2001_03_13T09_06_05_all.dat.gz,6.1613978481982405,5.20001692515605,29487.596756041385,8.946663854249401,1.7203863893188664
WD0710p216_b_2002_02_19T02_35_48_all.dat.gz,51.872054781425554,2.2519150208612224,9633.336142176202,8.99999999860892,3.330057021175195
HE2159m1649_b_2001_08_20T02_45_08_all.dat.gz,33.99138052165533,3.7737608109344194,19999.813858238143,7.686916105436562,2.4605012778809576
HE1335m0332_a_2000_07_15T01_09_38_all.dat.gz,88.26074738206648,8.357057067487098,19999.96376827385,8.113899310433851,3.090596459607735
HE0256m1802_a_2002_09_20T07_38_47_all.dat.gz,5.173837404257188,6.40814782960201,14352.019989849929,8.079586356805514,1.8903754306402727
HE1518m0344_b_2000_07_06T03_17_55_all.dat.gz,47.268740957282695,7.238846089110339,18079.33069369322,8.986310656598414,2.043803221034715
WD1537m152_b_2000_07_06T03_30_49_all.dat.gz,14.487654472487693,3.8675795279427536,18038.080040802583,7.897532332490162,2.6298888973366976
WD2241m325_a_2002_06_12T09_52_18_all.dat.gz,-41.41243725932449,7.341052667737671,37126.870709562616,7.000000000019093,1.3906631642649063
HS0944p1913_a_2003_01_24T06_08_52_all.dat.gz,41.07780567020607,2.440269116528992,19999.7086013342,7.655813110267265,1.9875002431440467
HS1204p0159_a_2002_02_23T07_24_57_all.dat.gz,8.388830001489456,19.238174247909907,14033.78850656855,7.999996858128567,0.3063653138284115
WD2154m061_a_2001_09_20T00_58_12_all.dat.gz,69.21574268618868,26.336575272653228,32267.110585991293,8.392426189179094,1.521921038931722
WD0226m329_a_2002_09_19T04_02_39_all.dat.gz,1.9915631439790973,3.4964765202066657,16134.18871421034,7.946173208381329,2.103174250078109
WD0421p162_b_2002_12_31T03_09_41_all.dat.gz,86.87014980851433,2.6042992227985597,19999.90100650469,7.680060354602579,2.491553253664724
HS1243p0132_a_2002_04_29T05_17_17_all.dat.gz,165.65579979721434,6.903330432436661,9058.239684654494,8.0000306381975,5.967071749888107
WD0928m713_b_2001_12_15T05_45_52_all.dat.gz,46.50195057227243,1.4165067900614972,7000.000406655175,7.000001211129735,26.73992515581667
WD1023p009_b_2003_01_17T04_41_38_all.dat.gz,55.28061058582489,30.436931452380136,31526.123593527936,8.99999978074371,1.8746042318135232
WD0326m273_b_2000_07_15T09_01_41_all.dat.gz,-49.30912728124248,1.0383799861419298,8838.132894893353,8.999999976384485,9.544708646537304
WD2018m233_b_2001_07_27T02_31_17_all.dat.gz,-2.526928238902765,3.640628797234352,18300.08632869829,7.049087341078412,2.696787984666849
HS2108p1734_b_2003_08_10T03_52_31_all.dat.gz,40.86895337518592,6.71314243202389,25778.62252574251,8.999999999468116,1.8033511697069893
WD1010p043_a_2002_02_23T04_31_00_all.dat.gz,62.15006674520327,8.39367889091772,16608.198002905774,8.99999999503328,1.639884433074963
WD1145p187_a_2002_02_17T07_39_57_all.dat.gz,26.368855003350237,4.3154455591545045,16241.797474192335,8.617253512133049,2.041186175224846
WD1356m233_a_2000_06_08T01_43_36_all.dat.gz,-8.03045915891709,2.0809864685045407,8625.634905878582,8.999999986732874,3.233951316181836
WD1017p125_b_2001_01_30T08_07_47_all.dat.gz,0.8927905935445574,4.435213920514747,21091.816461233604,7.575404718758333,2.3138676266729656
HS2216p1551_a_2002_09_25T00_30_09_all.dat.gz,4.586778573973318,5.076365303936224,14170.264400436205,8.999999999998467,2.8320112445500816
WD0101p048_a_2002_09_13T08_20_35_all.dat.gz,27.465264605319767,0.8653568899745387,7545.621164808351,7.000000000291669,2.266422625988633
WD1129p155_a_2002_02_17T07_26_32_all.dat.gz,14.230381763016249,2.981099012460148,14617.865211541648,7.999999907032624,2.724349555798793
WD1121p216_a_2002_02_22T05_31_47_all.dat.gz,46.90200951330769,0.8339695366633748,7216.287578680511,7.000000007360261,2.264435031793322
WD2329m332_b_2000_07_18T07_34_07_all.dat.gz,11.43320349052913,7.243867125925998,13318.23030011934,7.808749920051293,3.9471902401779735
HS0926p0828_a_2002_02_24T04_43_21_all.dat.gz,58.24689931335466,7.244073168953047,10171.725022274986,8.00568982513204,5.697381858072308
WD1244m125_b_2000_07_04T23_17_34_all.dat.gz,44.091183668052345,2.398958405174639,12499.8645309689,7.013606651923021,3.688572883956042
HE0333m2201_a_2000_12_11T03_49_30_all.dat.gz,60.88528713215284,7.685128621126367,13794.19352406596,7.671580955493021,2.2611306163050973
WD0155p069_a_2002_09_19T06_59_31_all.dat.gz,-3.8623451109695375,6.075536485595155,12794.179353589449,7.7380372497425,1.927849250769127
WD2051m208_a_2001_08_19T02_40_33_all.dat.gz,156.29998532736494,4.7890207167233,17653.878775187273,8.999999999640984,3.554714899796783
WD2059p190_b_2002_09_23T01_15_39_all.dat.gz,11.686863159040056,3.950739400902518,10542.38745979754,7.000000000023454,2.661075983706267
WD0216p143_a_2000_09_15T06_19_52_all.dat.gz,-18.973892259153335,4.1545739925619145,15155.05387256542,8.846701886362826,1.955797459779352
WD0810m728_b_2001_05_04T00_38_39_all.dat.gz,44.34681133612425,10.405806194650252,17000.015146471873,8.999997225997177,1.7486763316833898
WD1434m223_b_2000_05_23T02_41_27_all.dat.gz,-51.95752904346176,0.3178363148369598,6499.936023992514,7.000005173193126,259.5646439086591
WD0114m605_a_2002_08_03T09_52_41_all.dat.gz,47.25230248001997,4.7858763800198005,15545.934526863106,8.031507465693803,1.3470435045147149
WD1130m125_a_2000_05_17T04_23_32_all.dat.gz,56.94503319317118,2.367098579110188,6499.9816085402,7.000000081575105,10.671242616031543
WD2007m219_b_2000_08_05T06_40_56_all.dat.gz,-13.840118024890634,1.7071118398072391,8800.088364426294,8.999999999731607,2.9113309443421618
WD0029m181_b_2002_09_27T06_13_51_all.dat.gz,43.56324032950664,21.11158018460672,12435.825784725785,7.007975595618818,0.1572044464022006
WD0016m258_a_2000_09_16T03_01_09_all.dat.gz,40.90561532589039,4.202328293410371,10150.074917311998,7.632597795277831,3.692715320754936
WD0343m007_a_2000_12_11T04_07_55_all.dat.gz,92.73025187638775,40.230880419830704,72815.34440863198,7.190724959077028,1.0916019117145013
WD0317p196_a_2002_09_21T05_45_32_all.dat.gz,34.02881136108542,4.01957495209764,13713.21311479482,7.4999603846084275,3.661080525833352
WD2240m017_b_2003_08_05T05_46_07_all.dat.gz,12.082255442796583,3.2338521067908585,8338.063485342318,8.806833242793864,2.932444771864372
WD0509m007_a_2001_12_15T07_31_52_all.dat.gz,21.36127280389799,6.452190337620212,18321.77624760112,8.999999999619899,1.8299882630003452
WD0548p000_a_2000_09_15T08_50_55_all.dat.gz,32.955287515925534,14.925278763359112,58440.452807092384,7.137110312086241,1.2631259590081167
WD1614p136_a_2001_07_26T02_05_57_all.dat.gz,16.246795860291993,2.6056778446362125,19999.915424098494,7.332068385142096,2.205128151193956
HS1153p1416_b_2003_02_14T06_07_01_all.dat.gz,-13.802471500749776,7.264243255440965,13969.357718404071,7.603823815377872,5.386732275749833
WD1615m154_a_2000_06_06T06_26_14_all.dat.gz,11.985222169626123,2.8641392906941885,27509.46980816759,8.614562838558637,1.454891540318449
HS0200p2449_a_2002_09_18T07_26_37_all.dat.gz,18.416758195259675,4.397949801455303,16368.020649011209,7.9999921221879156,2.221633312010631
WD1257p032_b_2001_02_02T09_11_55_all.dat.gz,-12.78626753030368,3.172796574699534,19972.37215207183,7.396783374117123,3.187195659071398
WD0954p134_a_2002_02_23T04_14_35_all.dat.gz,14.301209422631054,8.515077994765848,15500.074708933187,7.000000822501694,4.533212571633335
HE1325m0854_b_2000_05_22T00_57_57_all.dat.gz,12.451194986482411,2.653255580172556,16500.179110384917,7.616519473214863,2.895229602753273
WD2204p070_a_2000_06_06T08_37_13_all.dat.gz,-1.784840160122876,4.088438630639073,20000.00540517365,8.012591725293227,2.2590470640853955
HE2159m1649_b_2000_12_13T00_35_41_all.dat.gz,71.17540009178555,8.820904552808656,20000.00440230417,8.208457996337907,3.14342880458974
WD1948m389_a_2001_05_04T09_16_13_all.dat.gz,-28.62608481651731,20.520449135143227,31612.39829045016,8.999645630570893,1.3187099240806142
WD0029m181_a_2002_09_26T08_24_43_all.dat.gz,38.882281512240375,5.065465658158384,12499.996204070656,7.171140844154994,4.709901076092563
WD0440m038_b_2003_01_18T05_03_53_all.dat.gz,-57.79961658348691,82.86437424380831,128996.72781434744,7.591662609144979,1.4582326491945137
WD0344p073_a_2002_09_22T07_05_25_all.dat.gz,16.46850826536372,4.9656955621366246,9760.23631672583,7.000000948598799,4.692394164001115
HE2205m1355_a_2000_12_07T00_57_58_all.dat.gz,66.10434924680071,4.641743586102155,15933.82977905102,8.56311595461858,2.040326645287737
WD0916p064_a_2001_04_09T02_31_05_all.dat.gz,45.71723768061964,13.153619397695191,44832.25265535459,7.000000019653156,1.5742126574815902
WD0138m236_b_2000_07_16T09_15_59_all.dat.gz,165.75131571073308,34.68221953853144,29025.81324033626,8.99979818540007,3.234389873337545
WD0752m676_b_2001_05_04T00_05_53_all.dat.gz,102.5532036529254,5.549195707708542,24189.56324560817,8.999999999976591,3.156316381144668
WD1334m160_a_2000_06_08T01_26_10_all.dat.gz,63.72514250079192,3.33983812198019,18553.40505597806,7.909465368798153,2.631887457967566
HE0130m2721_b_2002_09_27T07_32_41_all.dat.gz,26.24343966754845,4.981694453126147,19999.88959497746,7.739029157398058,2.381657331897544
WD0112m195_a_2000_07_12T08_07_49_all.dat.gz,-78.0714394263025,19.915251696139656,17000.001203375592,8.999998908065667,2.295147186926387
WD1824p040_g_2001_08_18T00_14_29_all.dat.gz,29.56285916489804,7.2016690792060665,13380.979560624648,7.000001043723493,2.982812237708394
WD1840p042_b_2003_06_25T05_30_21_all.dat.gz,-3.5573569260242435,1.2550232020085912,7540.540176816812,7.000000091823459,3.707106145140687
WD2058p181_a_2002_07_10T06_54_05_all.dat.gz,-69.04469042742626,3.671251244173192,19999.673511535133,7.536661824699498,2.066203771858812
HS2259p1419_b_2002_09_25T04_20_59_all.dat.gz,-33.311648065203634,3.4949898265855364,11499.985228243915,7.000008108561354,3.375097676671597
WD1544m377_b_2003_05_12T06_43_07_all.dat.gz,12.437678161237168,1.461508255054742,9692.732637170306,8.99998199690676,3.5443437922598022
WD1501p032_a_2001_02_07T07_56_47_all.dat.gz,-59.344064707225634,4.118938764403712,20190.258875134576,7.061249369418476,3.1206308862594296
WD0612p177_b_2002_02_19T02_25_01_all.dat.gz,69.70255398547167,1.8761348360352343,15211.449378176008,8.392446433813836,2.1194111422346227
WD1003m023_a_2001_01_15T04_40_06_all.dat.gz,-14.634535416738212,0.4376041528370766,6499.923486006617,7.000000007446612,160.24865439794843
WD1857p119_a_2000_05_26T09_12_01_all.dat.gz,-46.17209135852856,2.9061779636337945,7881.132509445848,8.999999999997831,3.559122093415459
HE1335m0332_b_2000_07_18T01_02_26_all.dat.gz,79.38848951620442,7.15133766521496,19999.354480565893,7.000002720463313,4.1249791341615385
WD2205m139_b_2002_09_24T02_32_00_all.dat.gz,61.73492121326412,3.0601049619574923,16185.183497872502,8.918165084588914,2.055445130828744
WD0440m038_a_2002_02_10T01_21_35_all.dat.gz,184.614327920527,127.62675177390568,76177.34267609831,8.447229140268723,0.9041307894441684
WD2326p049_b_2000_09_17T04_02_20_all.dat.gz,29.96239990717162,1.662463698091825,11246.601869804956,8.292863234184571,2.0730844006174856
WD1314m153_a_2002_04_23T01_24_32_all.dat.gz,101.6632193227775,3.47001466514682,14312.21810950701,7.49997832247797,3.3814764782239704
WD1959p059_a_2000_06_10T08_40_23_all.dat.gz,-24.814672648234385,4.498273542707784,10213.335618049085,7.8849231994525635,3.2443131394123306
HS1115p0321_b_2003_01_17T06_26_52_all.dat.gz,-6.323566168805126,3.11950167264117,13028.886017696675,7.419290539990966,6.875714187736811
WD0928m713_a_2001_05_15T00_02_02_all.dat.gz,70.85662821702702,1.2475563968504415,7526.741011358884,7.000000000020637,3.5831246922064826
HE1247m1130_a_2002_04_23T01_00_25_all.dat.gz,35.524440427398225,8.110545092233508,16526.5243766243,8.923521009788669,1.9546078112933911
WD2303p017_b_2003_08_05T06_20_05_all.dat.gz,39.90770134650177,15.252644434919326,47024.719356356174,7.05492572121709,1.488359584903327
WD2105m820_b_2003_05_13T09_14_18_all.dat.gz,42.09208272676257,6.1901103889296,10029.420868999314,8.112899413143207,3.8326518830724177
WD1230m308_a_2000_05_20T01_54_25_all.dat.gz,54.32869584334751,5.097690257093454,16995.766246684172,8.999999999999964,2.3844155058575884
HS1432p1441_b_2001_08_16T00_01_34_all.dat.gz,-202.3815812680518,1.656449109806999,9872.287549148252,7.000010714435192,54.98321233604186
