filename,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi
WD2056p033_a_2001_08_21T00_57_59_all.dat.gz,18.73976351920277,22.64245798759158,45198.17624168096,7.499976585625844,3.070817796557607
WD0028m474_b_2001_12_29T00_55_21_all.dat.gz,60.28630578155746,2.8901926250859447,15115.434531744831,7.0000370678659,9.643746862868037
WD2211m495_a_2000_07_14T04_35_56_all.dat.gz,38.51662998214755,5.263813302660957,35397.94630312667,8.915879734228389,4.509586495175305
HE0308m2305_b_2001_02_07T01_44_01_all.dat.gz,122.83749072555456,5.585059386401085,19306.42719404357,8.658952036770168,3.943924767900036
WD1620m391_a_2002_04_22T04_53_28_all.dat.gz,28.93376498197802,1.3036569970797274,25000.00259882725,8.13854432233649,1.7629683649349157
HE0210m2012_a_2001_09_22T09_07_09_all.dat.gz,43.02085342767637,4.507713374431159,12960.583497633914,8.276365514634225,7.974086678658963
WD1207m157_b_2000_07_18T00_47_40_all.dat.gz,45.58207934652403,1.781197424496046,7976.493849389311,7.000019251288077,37.175277931489646
WD2312m356_a_2002_09_14T01_50_39_all.dat.gz,36.67840224587752,2.7490558111644603,19844.02548783426,7.071664194824071,5.320669947074301
HS2225p2158_b_2002_09_26T03_19_42_all.dat.gz,27.366327177553,5.428912737834613,15791.16608305456,8.56349218554114,4.885635773727091
HE0201m0513_a_2002_09_20T04_28_06_all.dat.gz,23.93405886914668,6.53282074162337,13000.328701139935,8.133920703150144,4.458924072540075
WD1840p042_a_2002_04_23T09_21_04_all.dat.gz,-22.94595969287203,1.2436058495079152,8239.79652069191,7.406975405861428,4.901398219288267
WD0344p073_b_2003_01_20T03_49_23_all.dat.gz,211.25380870975192,1.2642802203349677,8499.93469274923,7.0000102485896765,183.4017949474596
WD0032m177_a_2002_09_18T03_30_10_all.dat.gz,12.88055808289323,6.533687406773815,10669.458549019242,8.999999999973795,8.296388888684998
WD1053m550_a_2001_05_15T00_20_32_all.dat.gz,32.04170346606131,2.830818584127762,22279.19226488138,7.236807195054446,4.224125911881261
WD1116p026_a_2003_01_24T07_59_11_all.dat.gz,9.886288388556135,2.920422637273143,12001.83411969062,7.118005483578516,8.100256158126152
HS0237p1034_a_2002_09_20T08_39_55_all.dat.gz,-40.72029175991375,10.575679752602683,11215.388567755645,8.999999999828889,6.151346077764968
WD1015p076_b_2003_01_17T04_24_01_all.dat.gz,897.0623445374557,13.84885719102374,127881.71630670068,7.000000509180026,18.933044098664787
HE0315m0118_b_2001_02_09T01_10_45_all.dat.gz,47.35311241418805,4.1703551314358585,11372.73326173764,8.707013997031957,10.86092833536007
WD1411p135_a_2001_06_20T02_26_21_all.dat.gz,175.68434520016214,0.5035494766108144,6999.965974954665,7.001192159131127,120.80430287693756
WD2152m045_b_2002_09_23T03_55_10_all.dat.gz,26.41357694405052,6.1842040230490944,11332.50181033177,8.544599192761616,4.13810571998432
HE0324m0646_b_2002_03_04T00_25_34_all.dat.gz,65.39147453863981,5.469087638809295,13189.12548476074,7.837273315006236,8.257817759062972
WD1056m384_a_2001_05_15T00_32_44_all.dat.gz,66.98633806856192,4.068533040007655,16258.571284685297,8.999999996109752,2.807965664723718
HE2315m0511_a_2000_07_11T04_46_35_all.dat.gz,-104.0951123869391,16.32271497534058,16787.494719670372,8.999999989560644,4.838862857305986
WD1615m154_a_2000_06_06T06_26_14_all.dat.gz,15.215435167501363,3.3359553682594347,20351.392586100817,8.999999997226162,2.9730340706414773
WD0352p018_a_2002_02_27T01_14_10_all.dat.gz,73.58936929471061,5.592876453564614,13411.63653076519,8.399459149863048,7.6843794114222685
HS0412p0632_a_2002_02_19T01_02_45_all.dat.gz,65.67799321342473,2.382363365592518,12692.808418220851,7.18482211163659,6.791650110222186
HS0325p2142_a_2002_09_21T06_01_12_all.dat.gz,51.55377398217297,3.855175207336473,11144.948358338515,8.106508652687165,15.672024837607625
HE0436m1633_b_2002_09_23T08_56_42_all.dat.gz,-5.402953825298463,4.1302028507312,14000.03577121806,7.048270760493818,10.64258700644328
WD0101p048_a_2002_09_13T08_20_35_all.dat.gz,33.90271313788954,1.3793413115821984,10284.844617378869,7.000000000002078,6.803979118722268
WD0852p192_b_2003_01_24T03_55_01_all.dat.gz,49.86914852397009,5.695643371990965,11077.338117776408,8.06959801852332,13.077711111763024
WD0017p061_a_2002_09_18T04_15_19_all.dat.gz,43.31711814414418,6.524641341698466,15014.498226327887,8.999999909600254,3.6431823563392496
WD2318m226_b_2000_09_15T03_57_45_all.dat.gz,84.02200227819922,11.061289509076936,16799.842915360707,8.999999534236576,2.3994584645042205
WD0029m181_a_2002_09_26T08_24_43_all.dat.gz,22.72582678497499,3.3724122315146072,9271.894921978408,8.162736739234912,17.64735053160143
WD0416m550_b_2000_08_03T09_42_20_all.dat.gz,-496.2935878941664,12.060693080356174,6499.854343825262,7.089335864410439,1.3206535454049035
WD1015p076_a_2001_01_15T05_44_05_all.dat.gz,36.575703069666,9.033598429455774,10651.47957455261,8.999999999973209,6.271838306137828
WD2309p105_a_2000_08_06T03_38_50_all.dat.gz,9.70577985693737,20.910313065766164,64261.65282497808,7.500001571052781,2.5837630342849365
WD0027m636_a_2002_07_27T05_54_09_all.dat.gz,28.348554340927816,20.03003504179025,37567.7102374235,8.903288659105714,2.888622161629256
WD0107m192_b_2000_07_16T06_50_00_all.dat.gz,-27.274023471966466,5.28339135355472,10911.5818304657,7.344210278049577,19.44534930423424
