filename,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi,vstark,e_vstark
WD0945p245_b_2002_02_22T04_33_10_all.dat.gz,66.45429815529718,7.687986612523005,37986.10978500979,7.882159542338244,3.3251335126638617,106.53346194531032,7.458363177497404,30987.554557912907,8.9999999677614,2.2549702799740574,-40.07916379001314,10.711317353238215
WD1425m811_b_2003_03_22T08_53_48_all.dat.gz,13.857430591037067,2.641270015009538,12793.099420952927,7.035298265273126,2.54650532644882,14.65587680301901,1.8483669279332036,13785.257532814652,8.794838911421312,3.4215074939837504,-0.7984462119819433,3.223781567114266
WD0107m192_b_2000_07_16T06_50_00_all.dat.gz,-29.44260677077006,10.49253082192252,13624.169374844105,7.308116092277044,3.270774372064346,-25.444173128819973,5.925241616413391,13000.246715791172,7.000000000200149,3.5994452248842737,-3.9984336419500863,12.04996644235457
HE1328m0535_a_2000_07_13T02_11_55_all.dat.gz,1085.422200610025,,118792.04323594926,7.0000000624567145,683986307.4526782,140.96881659715478,14.039514263795397,27617.277459059875,8.999999976903503,6.3176809481750364,944.4533840128702,
WD1056m384_a_2001_05_15T00_32_44_all.dat.gz,43.892705400422315,4.014655036226383,21978.605944473707,7.000000046821771,3.3798588902945292,46.95597187834556,2.8824016332151388,20960.14223654705,8.646092392604157,2.794200398920816,-3.063266477923243,4.942235752679061
HE2148m3857_b_2000_05_22T09_20_05_all.dat.gz,-100.45410460504728,8.066746506406126,16911.355616802393,7.000006541873482,5.258510343192265,23.77142560084866,6.902490068294711,14812.801876339712,8.999999925917276,4.193238178401152,-124.22553020589594,10.616815357795508
HE1518m0020_b_2000_07_18T03_27_43_all.dat.gz,71.22140099063307,8.813395429176929,13305.703064007645,8.000013181265082,9.363930090508367,32.025418730538384,2.3872484018737534,5999.877615773006,7.000000000775667,16.9244190049717,39.19598226009469,9.130985375264029
HE0256m1802_b_2002_12_08T06_26_35_all.dat.gz,-449.2642447353737,1.8599512330964956,8398.801300394181,7.000000003657296,11.85991221802663,-2301.2278012104625,37.730029978706625,65000.751986806594,8.999999151081617,99.24653661181286,1851.9635564750888,37.77584652636652
HE2347m4608_b_2002_09_25T07_14_35_all.dat.gz,5025.640782535222,4.1243945037981575,9499.9834122594,7.947898224559905,1186.4455344026076,53.68263201056595,3.838730513374646,11499.945568073814,7.1689485862678675,3.053945087540262,4971.958150524656,5.634401652107704
HE2315m0511_a_2000_07_11T04_35_06_all.dat.gz,-1370.7753687592037,1.7682166459704831,8083.860722370719,7.000000073737487,19.408286652345858,102.93250851658073,3.944402567319642,9685.753013342817,7.000000006939433,11.606717843390419,-1473.7078772757845,4.322603581195584
WD0204m306_a_2002_12_03T05_37_52_all.dat.gz,164.22048398049745,29.592250550900175,68404.24843756655,7.000000002026176,1.7353790749746745,118.82121886692252,10.249187294087442,24999.939046478863,7.818132867631291,1.569618463689306,45.39926511357493,31.316882553289613
