Name,SOURCE_ID,FileName
HE0305-1145,5159714332045197568,HE0305m1145_a_2001_02_08T00_55_41_all.dat.gz
HE0305-1145,5159714332045197568,HE0305m1145_b_2001_02_07T01_10_06_all.dat.gz
HE0308-2305,5075443981321647744,HE0308m2305_a_2001_02_09T01_20_32_all.dat.gz
HE0308-2305,5075443981321647744,HE0308m2305_b_2001_02_07T01_44_01_all.dat.gz
HE0317-2120,5100053078775660160,HE0317m2120_a_2001_02_06T03_12_20_all.dat.gz
HE0317-2120,5100053078775660160,HE0317m2120_b_2001_02_07T02_08_39_all.dat.gz
HE0320-1917,5104856776357892480,HE0320m1917_a_2001_02_06T03_28_27_all.dat.gz
HE0320-1917,5104856776357892480,HE0320m1917_b_2001_02_07T02_38_31_all.dat.gz
HE0324-0646,5168944835239726080,HE0324m0646_a_2002_02_27T00_49_26_all.dat.gz
HE0324-0646,5168944835239726080,HE0324m0646_b_2002_03_04T00_25_34_all.dat.gz
HE0324-2234,5098930339964725248,HE0324m2234_a_2002_03_05T00_31_57_all.dat.gz
HE0324-2234,5098930339964725248,HE0324m2234_b_2002_09_14T09_26_22_all.dat.gz
HE0325-4033,4849811172961336960,HE0325m4033_a_2002_09_21T08_54_24_all.dat.gz
HE0325-4033,4849811172961336960,HE0325m4033_b_2002_09_22T05_51_33_all.dat.gz
HE0330-4736,4833967725801565696,HE0330m4736_a_2000_12_07T04_01_32_all.dat.gz
HE0330-4736,4833967725801565696,HE0330m4736_b_2000_12_13T06_58_13_all.dat.gz
HE0333-2201,5088334621288740992,HE0333m2201_a_2000_12_11T03_49_30_all.dat.gz
HE0333-2201,5088334621288740992,HE0333m2201_b_2001_01_15T02_24_25_all.dat.gz
HE0336-0741,3243842361760113408,HE0336m0741_a_2002_03_03T01_11_18_all.dat.gz
HE0336-0741,3243842361760113408,HE0336m0741_b_2002_03_01T00_55_00_all.dat.gz
HE0338-3025,5055975238166788352,HE0338m3025_a_2001_09_18T08_57_10_all.dat.gz
HE0338-3025,5055975238166788352,HE0338m3025_b_2001_09_19T09_25_33_all.dat.gz
HE0344-1207,5114767980330242688,HE0344m1207_a_2001_02_06T02_57_09_all.dat.gz
HE0344-1207,5114767980330242688,HE0344m1207_b_2001_02_07T02_53_38_all.dat.gz
HE0348-2404,5083966055431334912,HE0348m2404_a_2001_09_14T09_28_38_all.dat.gz
HE0348-2404,5083966055431334912,HE0348m2404_b_2001_09_15T09_11_32_all.dat.gz
HE0348-4445,4835585377987834752,HE0348m4445_a_2000_09_15T06_31_31_all.dat.gz
HE0348-4445,4835585377987834752,HE0348m4445_b_2000_09_17T08_02_17_all.dat.gz
HE0349-2537,5083478078426926976,HE0349m2537_a_2000_12_11T03_34_19_all.dat.gz
HE0349-2537,5083478078426926976,HE0349m2537_b_2001_01_15T01_45_13_all.dat.gz
HE0358-5127,4828757999190736128,HE0358m5127_a_2000_07_15T09_48_14_all.dat.gz
HE0358-5127,4828757999190736128,HE0358m5127_b_2000_07_17T09_42_48_all.dat.gz
HE0358-5127,4828757999190736128,HE0358m5127_b_2000_07_18T09_09_32_all.dat.gz
HE0403-4129,4842194473663089920,HE0403m4129_a_2000_07_15T10_03_01_all.dat.gz
HE0403-4129,4842194473663089920,HE0403m4129_b_2000_07_17T10_03_47_all.dat.gz
HE0403-4129,4842194473663089920,HE0403m4129_b_2000_07_18T09_24_07_all.dat.gz
HE0404-1852,5095932968188685696,HE0404m1852_a_2000_12_17T05_58_43_all.dat.gz
HE0409-5154,4780544792270137088,HE0409m5154_a_2000_09_15T09_10_37_all.dat.gz
HE0409-5154,4780544792270137088,HE0409m5154_a_2001_09_13T09_28_16_all.dat.gz
HE0409-5154,4780544792270137088,HE0409m5154_a_2001_12_15T06_44_16_all.dat.gz
HE0414-4039,4841115341656167552,HE0414m4039_a_2000_12_11T04_49_41_all.dat.gz
HE0414-4039,4841115341656167552,HE0414m4039_b_2000_12_17T05_42_48_all.dat.gz
HE0416-1034,3191249387709577088,HE0416m1034_a_2000_12_17T06_13_33_all.dat.gz
HE0416-1034,3191249387709577088,HE0416m1034_b_2001_01_15T03_03_34_all.dat.gz
HE0416-3852,4844370755067765504,HE0416m3852_a_2000_12_11T04_32_31_all.dat.gz
HE0416-3852,4844370755067765504,HE0416m3852_b_2000_12_17T05_27_10_all.dat.gz
HE0417-3033,4884691594508544128,HE0417m3033_a_2001_12_28T02_22_41_all.dat.gz
HE0417-3033,4884691594508544128,HE0417m3033_b_2002_09_15T08_16_56_all.dat.gz
HE0418-1021,3191269144559159936,HE0418m1021_a_2002_09_13T09_13_48_all.dat.gz
HE0418-1021,3191269144559159936,HE0418m1021_b_2001_12_27T04_22_26_all.dat.gz
HE0418-5326,4779427928974390272,HE0418m5326_a_2000_07_18T10_06_00_all.dat.gz
HE0418-5326,4779427928974390272,HE0418m5326_b_2000_08_05T09_23_44_all.dat.gz
HE0423-2822,4892048018790150656,HE0423m2822_a_2001_12_04T06_28_50_all.dat.gz
HE0423-2822,4892048018790150656,HE0423m2822_a_2002_09_23T06_36_23_all.dat.gz
HE0423-2822,4892048018790150656,HE0423m2822_b_2001_12_28T02_04_50_all.dat.gz
HE0425-2015,4899868157803497984,HE0425m2015_a_2002_09_23T07_04_21_all.dat.gz
HE0425-2015,4899868157803497984,HE0425m2015_b_2002_09_25T08_49_17_all.dat.gz
HE0426-0455,3202808828330265088,HE0426m0455_a_2000_12_11T03_14_09_all.dat.gz
HE0426-0455,3202808828330265088,HE0426m0455_a_2000_12_11T03_21_26_all.dat.gz
HE0426-0455,3202808828330265088,HE0426m0455_b_2000_12_07T06_42_11_all.dat.gz
HE0426-1011,3179499250541535744,HE0426m1011_a_2002_03_05T01_10_26_all.dat.gz
HE0426-1011,3179499250541535744,HE0426m1011_b_2002_09_23T07_35_52_all.dat.gz
HE0436-1633,3171373722173234048,HE0436m1633_a_2002_02_10T01_37_29_all.dat.gz
HE0436-1633,3171373722173234048,HE0436m1633_b_2002_09_23T08_56_42_all.dat.gz
HE0452-3429,4873109308958466432,HE0452m3429_a_2002_02_26T03_10_35_all.dat.gz
HE0452-3429,4873109308958466432,HE0452m3429_b_2002_03_05T01_25_14_all.dat.gz
HE0452-3444,4873054711334208256,HE0452m3444_a_2001_01_15T02_44_37_all.dat.gz
HE0452-3444,4873054711334208256,HE0452m3444_b_2000_12_13T06_27_50_all.dat.gz
HE0455-5315,4782942513595999872,HE0455m5315_a_2001_12_04T07_24_33_all.dat.gz
HE0455-5315,4782942513595999872,HE0455m5315_a_2002_02_26T02_54_41_all.dat.gz
HE0455-5315,4782942513595999872,HE0455m5315_b_2002_09_15T08_45_31_all.dat.gz
HE0456-2347,2960529070328892928,HE0456m2347_a_2002_02_10T01_04_31_all.dat.gz
HE0456-2347,2960529070328892928,HE0456m2347_b_2002_02_26T03_42_46_all.dat.gz
HE0507-1855,2975647836248304256,HE0507m1855_a_2000_09_15T08_31_30_all.dat.gz
HE0507-1855,2975647836248304256,HE0507m1855_b_2000_09_17T08_17_23_all.dat.gz
HE0508-2343,2959967254246803328,HE0508m2343_a_2001_04_07T00_23_10_all.dat.gz
HE0508-2343,2959967254246803328,HE0508m2343_b_2001_04_09T00_48_52_all.dat.gz
HE0516-1804,2981590730954538112,HE0516m1804_a_2000_12_06T07_22_14_all.dat.gz
HE0516-1804,2981590730954538112,HE0516m1804_b_2000_12_07T08_15_01_all.dat.gz
HE0532-5605,4766810380210581632,HE0532m5605_a_2000_09_15T08_16_55_all.dat.gz
HE0532-5605,4766810380210581632,HE0532m5605_b_2000_09_16T09_26_55_all.dat.gz
HE1012-0049,3830680854561582464,HE1012m0049_a_2000_04_21T02_53_07_all.dat.gz
HE1012-0049,3830680854561582464,HE1012m0049_b_2000_05_16T23_34_37_all.dat.gz
HE1124+0144,3798659326454564224,HE1124p0144_a_2000_07_01T23_28_54_all.dat.gz
HE1124+0144,3798659326454564224,HE1124p0144_b_2000_07_02T23_34_34_all.dat.gz
