filename,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi,vstark,e_vstark,real_teff,real_logg,snr
,-0.4043172529091836,7.058705424258138,23040.751081879796,8.742748230272904,0.9734404009035782,1.6722978141437657,4.622940130595486,21867.828230290797,8.833279948573178,0.9338940615240764,-2.0766150670529493,8.43782541402235,23619.61105467881,8.687312036525404,50.0
,-6.809563298067432,5.875925222253284,15354.11325465498,8.64105820853588,1.0439341462870444,1.2981489077003738,3.93656194729557,14963.777579395517,8.557751267059098,0.9527132899102108,-8.107712205767806,7.072695185175719,15088.180075308239,8.609253550601242,50.0
,57.540685988676366,15.98982465860427,55672.305714459704,7.000000000345155,1.3287676088781866,1.149381246733942,1.7182020267952745,10384.70845651907,7.000000000028306,10.103230338947357,56.39130474194242,16.081875227030974,7054.954699660733,7.621876447926319,50.0
,2.263762667505773,5.9666649343340215,15487.76368445874,8.699203203627807,1.0256430901819682,-6.6823880774791515,4.070695264349379,15179.671928418149,8.798364916390216,1.0092220764250825,8.946150744984925,7.222994557232317,15567.980124066846,8.700394720450719,50.0
,-0.21408040456237748,7.0206102504872945,23744.208154044205,8.706518788915467,1.0404181544276256,-4.923394534928945,4.510790168862143,24355.69716077159,8.535638157787087,1.0248625631699617,4.709314130366567,8.344830509767746,24199.907990444874,8.60823261391409,50.0
,-0.4585456305023512,6.309137891956363,21218.011671622196,8.241805548218721,0.9523814385946153,0.12803316232483739,3.856880248926579,21214.014037097575,8.098493850145847,0.9307499266472049,-0.5865787928271886,7.394643074163859,21410.19117806041,8.110960678415966,50.0
,4.2296016736128665,5.5169107369696535,24290.684858472283,7.137480003018251,0.9568788009306904,-4.709732042987249,3.158770942064679,23318.50079443,7.1631902636450215,0.8995868312129005,8.939333716600116,6.357211491221857,24237.443820740486,7.178761502695225,50.0
,-3.602730390332546,3.5602845872921702,10526.708242475836,7.123441423752043,0.9465081588317302,-0.3462677948427318,2.3729914721079703,10493.561663876946,7.287042644380518,0.9812355826462142,-3.2564625954898143,4.278634696863865,10549.460148100274,7.238688470542729,50.0
,-5.484888249999246,3.7995979392570542,11069.84584611723,7.39136818821369,0.9878221826175826,1.58563463090609,2.483933768012361,10954.397909997468,7.31239018637019,1.0397531565964448,-7.070522880905336,4.5394792062392515,10962.756984623618,7.355982966492846,50.0
,-4.71529145290896,4.318691754673593,13636.605945191786,7.135304908823787,0.9212981344378164,2.4284255899495606,2.7468267095751044,11905.562217452723,7.50325315325323,0.9874070711933275,-7.143717042858521,5.118217994997954,13213.118657534751,7.137286091013717,50.0
,-4.329414560307415,3.7844957462704136,10411.938062920026,8.378104472447774,0.9692664155383692,0.41116682094494894,2.4872086280722208,10170.415558521778,8.193360580903425,1.0033988995292134,-4.740581381252364,4.528643816099446,10272.067143130982,8.14348853722902,50.0
,12.691910220911106,24.41890715521189,128999.71741036572,7.000000000174477,1.0782080477486136,-0.2505212167315566,1.9272474220536644,12499.976054811581,7.080793908028144,10.664295566066317,12.942431437642663,24.494842503691892,6288.478438365211,7.14925749401575,50.0
,-24.26180770887239,7.949142375361577,33596.54352082923,7.1096522297196145,1.5052131687387529,0.32481533908555504,1.4574141697264644,7936.683228750831,8.162003089614643,0.9839025596201358,-24.586623047957943,8.081640957496724,7937.561881936708,8.176210317455597,50.0
,17.44109477514818,7.035102555336839,22128.579292928764,8.787794828982285,0.9337524541584281,-3.791479111475997,4.4637770822067875,22145.576676720404,8.74917128754681,0.932893352421054,21.232573886624177,8.331744943512222,22206.704124186428,8.773464909449164,50.0
,5.184944287636879,5.620959209101416,18888.09399295246,7.833689958609902,0.9214557378079874,-4.975227842009867,3.5840542556350776,18012.48374394625,7.865266707528966,0.9569132025802202,10.160172129646746,6.666380377515067,19049.707094728667,7.82410130664471,50.0
,1.5027379729467065,4.724062675857508,13119.480579619612,7.743815453682346,1.0263398934714885,2.1252815839223818,3.103080937256405,12868.208170672484,7.840499692841087,1.0121487565894287,-0.6225436109756752,5.65206860083935,13033.954442525343,7.752682358376698,50.0
,10.096803455658549,6.479683406032418,25057.39219517374,8.224808695661,0.9707135675179445,0.8763925998442319,4.276898643351174,16132.18328774252,8.999999999989766,1.1128928363214756,9.220410855814317,7.763901019971274,24640.463351802257,8.352366356752933,50.0
,-5.656745592641484,5.09685148405391,13490.507780504355,8.695573607005072,0.97527483964298,5.064932606913676,3.6134660108708476,13089.129302826363,8.738059744763476,0.9888811657025038,-10.72167819955516,6.2478021465329245,13416.448700529561,8.693502638870953,50.0
,-5.948990762911166,6.526069138424018,22732.84502552342,8.33294489901345,0.9996736311844792,-1.0278847399128679,4.035746796621022,22799.76132418798,8.259286709965723,0.9759327285391755,-4.9211060229982975,7.673123914412384,23260.581476867155,8.232725358214463,50.0
,-1.5754346515780844,5.6105681435957715,21628.37785268996,7.5621503487718,0.9573545300480322,3.1301604921994532,3.434691844160207,21381.727696089394,7.536118659231722,0.9965005487057421,-4.705595143777538,6.578417967739078,21653.78798743069,7.545827239139149,50.0
,2.900605357547671,4.378803256269971,12287.608953283927,7.6464988777092895,0.959477541134287,-5.787277273975175,2.873791277753811,12132.289406759071,7.734697886557768,0.9174682972206525,8.687882631522847,5.237613413112348,12082.28836060828,7.706262329742567,50.0
,4.5122876421056715,3.8023697458225456,9785.995819472055,8.491188008890207,0.9653322211660869,3.1095435050658176,2.394853378228127,9881.676835257309,8.506617549369244,0.8880004710556675,1.402744137039854,4.4936998550367475,9846.252817353954,8.534938091183466,50.0
