filename,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi,vstark,e_vstark
WD1344p106_a_2000_07_30T01_24_00_all.dat.gz,-2.129547660853805,3.042570952690061,6885.95397910182,8.000012294241479,2.6489643904274875,5.966268576136171,0.8959907261459139,9999.958269588667,7.000544348848077,17.21917406404339,-8.095816236989975,3.171756198621324
HE2315m0511_a_2000_07_11T04_46_35_all.dat.gz,19.457394206614936,5.743855395731747,8201.54796993914,7.000003338405421,2.768326500202874,48.91972081769151,19.28839295864048,6092.954254337124,8.999999221136418,23.440904758024534,-29.46232661107657,20.12545596338151
WD2350m083_b_2002_07_11T09_56_40_all.dat.gz,27.4039780882956,4.398219891162311,14966.429929736882,8.732436315487085,1.9381766156704752,24.240522023590028,3.819874314425372,13499.991101506514,8.220882361529442,3.733883837662898,3.1634560647055707,5.82544229986209
WD1310m305_a_2003_01_20T06_17_43_all.dat.gz,-42.48034161858719,1.9220552095182728,10301.513380327682,8.499987829932884,7.291266098062776,-0.8262375519882933,2.2535032616311184,13593.475105129826,8.216582262205602,3.761089023951385,-41.6541040665989,2.961852997469392
WD1550p183_a_2002_04_23T08_43_13_all.dat.gz,5.266506777135806,5.710636698258239,13826.136510800938,7.99999928163277,3.453446923559947,-13.399160103351193,2.921322407607356,9999.933315973652,7.002208220221287,16.52717294888354,18.665666880487,6.414475513140774
WD0114m605_b_2001_08_25T09_37_56_all.dat.gz,56.6061891462772,3.702016463888455,24923.44653706202,7.69737943739854,2.5515053198906923,39.2036129235795,3.410613663216374,12499.821863386876,8.870485713220807,5.4574111001777466,17.402576222697704,5.03360819478626
WD1056m384_a_2001_05_15T00_32_44_all.dat.gz,61.62921312928822,2.253151369874093,27834.555262872123,7.936911343202568,1.8827559561134883,42.22207651194349,2.3815478069463083,17393.94197578577,8.86648140781014,2.406223287790967,19.407136617344733,3.2784845664325264
WD2120p054_b_2002_09_23T01_30_25_all.dat.gz,192.5072839623033,7.249483240001723,46413.32104753301,7.0000000379342895,20.207788078158167,19.699478966358804,11.359874184240583,35394.90680411863,7.506946160901746,2.698094523933022,172.80780499594448,13.47596930572497
WD1952m206_a_2000_07_06T05_09_29_all.dat.gz,33.864517518077335,2.1408164725174146,13999.7630608822,7.84247917381292,2.336776024225608,21.76985038130152,1.7651051519743195,12999.950050932654,7.284443606731129,6.709170661598565,12.094667136775822,2.774651575698865
WD0839m327_a_2001_04_09T02_20_30_all.dat.gz,48.20780923612586,0.5312512770939151,9043.167571797232,7.580720662706154,5.719422974809103,61.64375944102329,0.3566898360541124,9278.359563578057,7.000000000021597,12.596911522747869,-13.43595020489743,0.639887145173448
WD1241m010_a_2000_05_20T02_38_58_all.dat.gz,18.38494971301731,1.0752812555808564,9016.770970916445,7.021994232732058,2.714385226298877,16.643162893747633,1.317721071554267,13499.996870938545,7.943056026035246,3.1484935750333456,1.7417868192696773,1.7007700023876446
WD0231m054_a_2000_07_12T08_57_02_all.dat.gz,65.79455721956613,2.128275644958965,15733.551932762204,8.82258140963236,2.9685956781476404,64.38693147915622,2.191492889646913,11205.295224333991,8.999999999984711,5.582585683540429,1.4076257404099124,3.0548646952522254
WD0032m175_a_2002_09_18T03_21_12_all.dat.gz,30.49712948212954,1.843165131905618,9470.63256358965,7.707058868485804,3.158433142610565,26.71823574164303,1.3848296468639951,9083.3484152788,8.255940833507045,6.779501778733301,3.7788937404865095,2.305430730754258
WD1123p189_b_2002_03_03T07_29_07_all.dat.gz,58.29231318459465,7.909432482604121,59608.42668389588,7.38889071735107,1.655516200327154,31.54780956522595,16.91035869748477,34521.002506900084,8.790428553679636,1.5553040089850794,26.744503619368697,18.668673050714453
WD0032m317_a_2000_09_16T03_47_45_all.dat.gz,-749.71088621473,0.0965680037402307,9931.983966828337,7.071795374377141,431.7905921606648,17.361669054741093,11.8730930700265,29015.143846082283,8.767698986616184,2.5782596910935336,-767.0725552694711,11.87348577414643
HE0417m3033_b_2002_09_15T08_16_56_all.dat.gz,196.32414456373988,4.661129262776882,16999.95356862378,8.848216387406694,24.54687384216364,43.13544853554684,3.811745383778039,13453.939404808048,7.7234475315331155,5.202714397521675,153.18869602819302,6.021256419973173
HE0418m1021_b_2001_12_27T04_22_26_all.dat.gz,-506.8828610554486,,14768.459331597684,7.499964638922744,46.85847591576519,75.44389525826662,3.246068165498663,20283.88620394338,8.496537182711348,4.471884124207782,-582.3267563137152,
WD1159m098_a_2000_07_03T00_01_01_all.dat.gz,79.69074364478169,2.199538512748198,9158.867955833426,8.285013273697974,2.397918892367916,87.65883845765242,1.6184973979564816,8786.139141711792,8.698603538702795,6.582281500532324,-7.968094812870731,2.730843001026324
HE0305m1145_a_2000_12_11T02_53_54_all.dat.gz,-1613.795879428256,,9801.055887419823,7.000553979587116,753.1295764054686,519.0613539847402,0.8370359522808144,6999.982811377371,7.000000992564983,164.0199131383992,-2132.8572334129963,
HE0349m2537_b_2001_01_15T01_45_13_all.dat.gz,116.37476382199476,3.8962491025700814,25134.769226292865,7.000000032058175,18.428230591921608,26.679306451848785,3.758169645030344,12430.941926819416,8.57168395747641,3.9904162198136,89.69545737014597,5.413371975959685
WD1334p039_a_2001_08_15T00_11_53_all.dat.gz,238.08137111688475,33.086171019273166,5249.946708639022,8.99993865113703,80.79614953737789,440.7764932081519,59.26989878682016,107256.0160160379,8.663369403169217,7.310797915554194,-202.6951220912671,67.87941967132967
