filename,radial_velocity,e_radial_velocity,redchi,teff,logg
WD0050m332_a_2002_07_27T06_44_39_all.dat.gz,11.989426714532154,13.41267590191571,0.08073869093219417,36088.913330396244,7.8769926279592415
WD2248m504_a_2002_05_29T09_47_27_all.dat.gz,-10.016520311059319,17.038629418450093,0.12067305871536,14802.184163945987,8.743492251589661
WD1204m322_a_2000_04_23T05_09_40_all.dat.gz,1.5351968566639027,15.374916478551244,0.7489956842850065,23390.082450188635,8.202071120375102
WD1124m293_b_2000_05_17T02_06_32_all.dat.gz,42.511485140174216,20.813487042764088,0.32668495932787506,11209.291270351536,8.999999999957392
WD2046m220_b_2001_07_27T02_40_49_all.dat.gz,-26.50459933693752,13.679057897370184,0.12177973873234324,25886.005830264006,8.386630767551637
HE1335m0332_a_2000_07_15T01_09_38_all.dat.gz,108.28133668352525,35.142922439592205,0.10629808809770078,22236.278013216575,8.999882391127954
HS0002p1635_b_2003_09_07T04_47_46_all.dat.gz,4.4217333703929995,14.8631155710293,0.3758050241837346,27342.87882833954,8.087438890308993
HE0455m5315_b_2002_09_15T08_45_31_all.dat.gz,51.393324460807854,31.725429998587437,0.06638324011378835,25886.540483473385,8.499961756177203
HE1225p0038_b_2000_07_04T23_27_41_all.dat.gz,35.7783813543965,6.162950123113006,0.9327959915056298,9118.822277612368,8.999999999998309
HE0221m2642_a_2001_09_23T09_10_22_all.dat.gz,26.17556305509829,27.69857366017039,0.6516098985555132,32881.758065525966,8.200273817889917
HS0047p1903_b_2002_09_27T05_30_43_all.dat.gz,12.79671959500625,16.419925151747318,0.2297230326789186,15597.71701379657,8.933787028572748
WD1507m105_b_2000_06_06T05_04_40_all.dat.gz,-8.54977921861068,10.187007327577437,0.4070216468862081,11060.21004731843,8.999999999891093
WD0410p117_a_2002_02_27T01_29_25_all.dat.gz,88.69266232022252,9.677355188865334,0.5212301492985485,23962.641312984168,8.518254793136967
WD1220m292_b_2000_05_21T04_22_59_all.dat.gz,29.74340645870308,19.223058940646002,0.20860155051835783,16173.896916696682,8.999999996537627
WD0155p069_b_2003_01_19T01_56_18_all.dat.gz,3.1139839993499088,24.553796323900862,0.34479970225029516,23580.915998091892,8.837429631690298
WD1249p182_b_2002_02_24T07_29_11_all.dat.gz,-12.78044860763825,14.237815898972809,0.20500148707043397,22253.322850930625,8.544456299853987
HS2148p1631_b_2002_09_24T01_19_57_all.dat.gz,5.944177484975607,20.400937433128604,0.10321269567726248,15499.246995814156,8.730765766412878
WD1527p090_b_2001_08_20T00_35_34_all.dat.gz,53.18796760477413,11.533983772515299,0.2878307228676052,23967.49922385379,8.562961476262481
WD1434m223_a_2000_05_20T03_39_30_all.dat.gz,-63.27622293031681,38.96597541515016,0.024156969379705427,29814.38938108452,7.832594688412969
HS2225p2158_b_2002_09_26T03_19_42_all.dat.gz,46.20165946470796,17.03827364017031,0.08650027995004042,27200.756784806217,8.290366680932385
WD1349p144_a_2001_02_07T07_10_43_all.dat.gz,-70.03936804133113,15.949975939303265,0.9012703721954347,15811.384558550222,8.999995284853897
WD0124m257_b_2000_07_16T07_48_34_all.dat.gz,13.847721915200253,26.654252993156927,0.09267253645962055,26395.895857964184,8.381033768078572
WD2328p107_b_2002_09_30T02_49_17_all.dat.gz,47.60900619281712,12.523761289575734,0.14079548230244707,25276.829720491354,8.488153635207977
