filename,radial_velocity,e_radial_velocity,redchi,teff,logg
WD2333m165_b_2000_09_17T04_26_44_all.dat.gz,85.33961844374153,4.638693712129971,6.679375622676875,13295.477526472212,8.144115703813934
WD1003m023_b_2001_02_06T03_59_47_all.dat.gz,36.004587171146355,15.333529957623593,1.9640451208828116,16539.244868157526,8.999835931857731
WD1349p144_a_2001_02_07T07_10_43_all.dat.gz,-33.87837758534306,11.053139734563178,1.0265402484540767,14671.201245799046,8.562144051320663
WD2157p161_a_2002_09_23T02_44_22_all.dat.gz,13.300012056450994,17.249608614542648,0.5133373078628823,15675.517659875904,8.837606651138682
HS1609p1426_b_2001_08_15T01_43_05_all.dat.gz,24.346059952126257,11.145630487237533,0.1952253966212588,15530.218669079806,7.9315944092323
WD0226m329_a_2002_12_03T06_19_41_all.dat.gz,54.44244543313407,8.267492932067874,2.465950210734917,23141.791438087777,8.033525785095472
HE0436m1633_b_2002_09_23T08_56_42_all.dat.gz,16.230643731171515,11.515974827530119,0.6683760346089799,13881.334838432045,8.134149414830755
WD0048p202_a_2002_12_02T02_09_16_all.dat.gz,63.82607610452481,8.8197279602635,1.255737899095602,21064.807852327212,8.090408855181838
WD0028m474_a_2001_10_30T05_04_34_all.dat.gz,49.442228649512195,12.843098846521276,0.10775513887034481,17937.574972224946,7.846762650061347
WD1802p213_b_2002_07_27T05_00_06_all.dat.gz,77.09040577692944,14.029013486339615,0.08652214065874511,17021.760454560368,7.841964950885046
WD0227p050_b_2003_08_31T09_19_46_all.dat.gz,5.013970145829805,4.416924508430517,9.805251133400498,15252.522916326066,8.851023383822685
WD1619p123_a_2002_08_04T02_44_34_all.dat.gz,44.780927692475565,10.333204397090284,0.45368242362376004,17004.908813290378,7.925051842751414
WD1058m129_c_2001_01_11T08_53_51_all.dat.gz,84.72229102551015,16.258650332904445,5.864499688122779,22800.98389623392,8.999999999974111
HS0400p1451_b_2002_09_21T06_42_08_all.dat.gz,66.75375257146764,7.455323832221211,0.5221303698091625,15170.657163537247,8.394484271464933
WD2152m045_b_2003_06_23T09_33_43_all.dat.gz,38.06034300779262,11.935582405907454,2.4168545948248283,21316.73214043868,7.3897912584537515
HE2347m4608_b_2002_09_25T07_14_35_all.dat.gz,117.63998565127909,12.244538819439121,3.2584019664502497,11170.319690682292,8.926194589067244
WD2330m212_a_2002_09_27T04_23_57_all.dat.gz,-41.73726493839344,19.471490416457403,1.2260942236412222,26422.84523784378,7.895615386627061
HS1053p0844_b_2002_02_22T05_15_33_all.dat.gz,25.248277024519403,17.23535446198627,0.3436063029893055,14222.605300140904,8.386596527274358
HS0331p2240_b_2003_08_11T10_00_18_all.dat.gz,16.07435884434392,14.51255877528703,0.875571828368176,16000.00604341313,8.999903296873256
WD1310m305_a_2003_01_20T06_17_43_all.dat.gz,15.934918870424857,10.440582049166622,1.3184930931416399,15785.376913275113,8.999999995006984
WD1017m138_b_2003_01_17T05_10_26_all.dat.gz,74.81874995708347,15.080917491063147,4.973306836191756,31112.27420837518,8.39398866859527
HE2347m4608_a_2002_09_15T02_23_24_all.dat.gz,60.05569183403257,12.021203859825572,1.2878410018490505,14173.445137147059,8.611625322189397
HS0944p1913_a_2003_01_24T06_08_52_all.dat.gz,55.59528991441911,6.881008093734,1.3539596971628671,15035.501011270268,8.560767080730761
WD1640p113_a_2001_07_18T00_55_06_all.dat.gz,59.31923537467968,14.324756191936945,1.7426110809933681,15151.116509651541,8.925090236163493
WD1425m811_a_2002_04_22T04_42_19_all.dat.gz,29.02230022582112,6.715437830872073,0.508383247307938,13630.811926222274,8.313257808965288
WD0310m688_a_2002_09_19T09_18_15_all.dat.gz,69.23648216000598,3.6266253279573206,3.988229247542152,14918.721150903773,8.414457797269218
