filename,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi
WD1411p135_a_2001_06_20T02_26_21_all.dat.gz,-172.1456200332959,4.093768578263649,14499.964524233366,8.000008033076242,14.778281844762176
HE1012m0049_b_2000_05_16T23_34_37_all.dat.gz,71.62011967267429,4.165585798094597,15999.848408855221,8.999999999932015,3.4337952787551917
HS1243p0132_a_2002_04_29T05_17_17_all.dat.gz,571.3220268888479,1.140848714647575,10161.806192337785,7.000018823142618,12.115624893649604
WD1015p161_a_2002_02_17T06_39_20_all.dat.gz,69.7162845842119,3.2672092185773067,20033.51261716007,7.8820805711141455,2.8633998072209135
WD2318m226_b_2000_09_15T03_57_45_all.dat.gz,30.949279144846475,3.8396659358953844,8756.800187865983,7.999999693546282,1.8896719328894793
WD2207p142_a_2000_05_26T09_50_41_all.dat.gz,16.4649048185306,30.478037096241756,7619.657775655511,8.284276545150254,0.1514181352085317
WD0310m688_a_2002_09_19T09_18_15_all.dat.gz,62.10074235756705,0.9003385030607483,14639.748753023478,8.385887898803354,2.135417271057531
WD1015m216_a_2000_04_21T04_06_51_all.dat.gz,21.54161204539194,2.691152748806049,8619.127573035646,7.999999509097264,1.7973273035949897
WD1332m229_a_2000_05_20T03_09_59_all.dat.gz,32.577650422614454,4.198063420038242,12406.417072029342,8.999999999998753,2.1838559763912895
WD1625p093_b_2000_07_05T04_09_46_all.dat.gz,41.4413835032334,3.717874686978682,6767.153152167268,8.280127234179885,4.351380532289449
HE1429m0343_b_2000_07_17T01_51_59_all.dat.gz,102.06214185894686,3.4897983748713983,11406.841137830375,7.000000010873411,4.5565286713145134
HE2230m1230_b_2001_08_23T03_40_00_all.dat.gz,-1290.692182531879,0.8289226863304293,12125.777421698822,8.966686760749697,40.86523286479526
WD2318p126_b_2002_09_27T02_45_07_all.dat.gz,88.36979347689646,2.8546151950963647,15596.35464023635,8.00000100705491,30.8498877269464
HE0222m2630_b_2001_02_09T01_51_28_all.dat.gz,-122.57634202526219,5.218686570634063,14743.435378563334,8.627521577308357,6.525545927422651
WD0227p050_a_2002_09_19T08_15_09_all.dat.gz,-4.272187794546211,1.3557541483021918,15499.741172398182,8.997073234460693,3.129544778014471
WD0426p106_b_2003_01_18T04_49_25_all.dat.gz,-1008.0685120604647,,7416.992721033359,7.0000000031483,79169.5153168745
