Name,GaiaDR2,SPYTeff,SPYlogg,Rem,FileName,jul_date,obsname,SOURCE_ID,r_med_geo,GaiaEDR3,TeffH,e_TeffH,loggH,e_loggH
HE0201-0513,2491046298280035584,24626,7.64,,HE0201m0513_a_2002_09_20T04_28_06_all.dat.gz,2452537.68618754018,he0201m0513_a_2452537_68618754018,2491046298280035584,178.58374,2491046298280035584,25022.24,954.52,7.711246,0.064955
HE0204-3821,4964509614631078272,14038,7.79,,HE0204m3821_a_2000_12_06T01_49_23_all.dat.gz,2451884.57596493,he0204m3821_a_2451884_57596493,4964509614631078272,94.39788,4964509614631078272,12027.72,289.38,7.749584,0.029763
HE0204-3821,4964509614631078272,14038,7.79,,HE0204m3821_a_2001_09_13T09_12_30_all.dat.gz,,,4964509614631078272,94.39788,4964509614631078272,12027.72,289.38,7.749584,0.029763
HE0204-3821,4964509614631078272,14038,7.79,,HE0204m3821_a_2002_07_10T09_07_11_all.dat.gz,2452465.87999136979,he0204m3821_a_2452465_87999136979,4964509614631078272,94.39788,4964509614631078272,12027.72,289.38,7.749584,0.029763
HE0204-3821,4964509614631078272,14038,7.79,,HE0204m3821_b_2002_09_10T08_42_02_all.dat.gz,2452527.86253076978,he0204m3821_b_2452527_86253076978,4964509614631078272,94.39788,4964509614631078272,12027.72,289.38,7.749584,0.029763
HE0204-4213,4957085334163504512,22575,7.9,,HE0204m4213_a_2002_09_15T09_13_55_all.dat.gz,2452532.88467377005,he0204m4213_a_2452532_88467377005,4957085334163504512,148.63608,4957085334163504512,23061.44,778.87,8.029716,0.050271
HE0204-4213,4957085334163504512,22575,7.9,,HE0204m4213_b_2002_09_20T04_57_32_all.dat.gz,2452537.70662258985,he0204m4213_b_2452537_70662258985,4957085334163504512,148.63608,4957085334163504512,23061.44,778.87,8.029716,0.050271
HE0210-2012,5125057897336633344,17612,7.8,,HE0210m2012_a_2001_09_22T09_07_09_all.dat.gz,2452174.87997516012,he0210m2012_a_2452174_87997516012,5125057897336633344,108.614456,5125057897336633344,17200.1,466.77,7.949413,0.039749
HE0210-2012,5125057897336633344,17612,7.8,,HE0210m2012_b_2002_09_10T08_56_41_all.dat.gz,2452527.87269769004,he0210m2012_b_2452527_87269769004,5125057897336633344,108.614456,5125057897336633344,17200.1,466.77,7.949413,0.039749
HE0211-2824,5116584064300345984,14469,7.95,,HE0211m2824_a_2000_12_07T03_26_14_all.dat.gz,2451885.64322081022,he0211m2824_a_2451885_64322081022,5116584064300345984,59.63923,5116584064300345984,14544.27,244.76,8.030866,0.023112
HE0211-2824,5116584064300345984,14469,7.95,,HE0211m2824_b_2001_02_07T00_55_39_all.dat.gz,2451947.53865160001,he0211m2824_b_2451947_53865160001,5116584064300345984,59.63923,5116584064300345984,14544.27,244.76,8.030866,0.023112
HE0219-4049,4951125156507440384,15373,7.89,,HE0219m4049_a_2001_08_18T09_45_13_all.dat.gz,2452139.90640365984,he0219m4049_a_2452139_90640365984,4951125156507440384,100.43753,4951125156507440384,15363.83,353.11,7.992572,0.033822
