wavl,flux,ivar
3290.987726031931,0.0,469459724190430.7
3291.027736201583,0.0,469459724190430.7
3291.0677463712586,0.0,469459724190430.7
3291.117759083386,1.7215,158.41043284417327
3291.1577692531127,0.812,712.008553786532
3291.1977794228633,1.1359,363.8458079174684
3291.2377895926365,1.1634,346.8482229455906
3291.277799762432,2.4773,76.49636231906427
3291.317809932251,1.4282,230.15460755800268
3291.3578201020923,1.5855,186.75201598831947
3291.3978302719574,0.9885,480.4454815090109
3291.437840441844,0.7035,948.5689423791392
3291.4878531542367,0.733,873.7540565061075
3291.5278633241755,1.5635,192.04456135397493
3291.5678734941375,1.1999,326.0674962720538
3291.607883664122,1.6229,178.2437389292414
3291.64789383413,0.9226,551.5317230458937
3291.687904004161,-0.919733,554.9779714874678
3291.7279141742147,0.4803,2035.0325382473775
3291.7679243442917,1.5559,193.9252765397597
3291.8179370569187,1.4735,216.2207997838605
3291.8579472270467,1.8153,142.46265883728222
3291.897957397198,1.2835,284.97444500521686
3291.937967567372,1.3317,264.71886223382614
3291.9779777375684,1.8891,131.5491309762206
3292.0179879077887,0.6484,1116.634359816172
3292.0579980780312,-0.266779,6596.268337595241
3292.0980082482965,0.2533,7316.856381881093
3292.14802096116,0.1016,45478.106496228895
3292.188031131477,1.4236,231.6443812671396
3292.228041301817,1.7354,155.8829631199003
3292.26805147218,1.4632,219.2756266019108
3292.3080616425655,0.8704,619.6687235987271
3292.348071812974,1.4771,215.16813469903013
3292.388081983405,1.4995,208.78765658844816
3292.428092153859,1.2762,288.24393507956177
3292.47810486696,1.8217,141.46341755987694
3292.518115037465,1.7583,151.8489849174581
3292.5581252079937,1.6305,176.58597202096885
3292.598135378546,2.0646,110.1351816845129
3292.63814554912,1.4131,235.0996225261037
3292.6781557197173,1.4052,237.7504999810937
3292.718165890337,-0.380418,3243.9825287710155
3292.7581760609805,-0.00877248,6101724.352383089
3292.808188774316,0.9588,510.67121967269827
3292.8481989450097,1.5668,191.23644385508126
3292.8882091157275,1.1987,326.7206647403116
3292.9282192864675,1.3481,258.31729102476197
3292.9682294572303,2.4438,78.60798481862872
3293.008239628017,1.3276,266.356437472041
3293.048249798825,0.1624,17800.038474610148
3293.088259969657,1.3866,244.17169675802464
3293.1382726832294,0.3391,4082.631652119555
3293.1782828541113,0.807,720.8587817004495
3293.218293025018,0.5179,1750.2691583384208
3293.2583031959466,0.5655,1468.018689937621
3293.2983133668977,0.7209,903.3313515362634
3293.3383235378733,1.2526,299.2077450417669
3293.37833370887,1.8764,133.33587885655942
3293.41834387989,0.4117,2769.711253152876
3293.4683565936975,0.2666,6605.029948154574
3293.508366764769,1.3801,246.4771128524149
3293.548376935864,1.3838,245.16081648687538
3293.588387106981,0.638,1153.3353950268602
3293.628397278121,0.4522,2295.8066126595713
3293.6684074492837,0.8496,650.3816948825651
3293.7084176204703,0.5443,1584.6015443656224
3293.7484277916788,0.9334,538.842466759248
3293.7984405057223,0.9896,479.3779880329368
3293.8384506769817,0.975,493.84222085218266
3293.878460848265,0.8552,641.8919648030244
3293.9184710195705,0.9657,503.3997285559831
3293.958481190899,1.6566,171.0655274977685
3293.998491362251,0.6296,1184.3157938230247
3294.0385015336246,0.7753,781.0118998178755
3294.0785117050223,1.1806,336.81548184825306
3294.1285244193004,1.4858,212.65570914438746
3294.1685345907485,0.5668,1461.2923936156083
3294.2085447622203,0.8882,595.0806431104955
3294.2485549337152,1.7538,152.62922974898052
3294.2885651052325,2.3679,83.72810411048229
3294.328575276772,1.183,335.4502468506799
3294.3685854483338,1.0475,427.8479414891147
3294.40859561992,1.888,131.70246373219015
3294.4586083344343,0.7523,829.4974610586664
3294.498618506071,1.6069,181.81097559548405
3294.5386286777302,1.5009,208.39833524989925
3294.5786388494125,0.1566,19142.96817401942
3294.618649021118,1.9319,125.78492776683129
3294.6586591928462,1.8371,139.10164698570432
3294.698669364597,1.1403,361.04333230336306
3294.738679536371,2.381,82.80931338030399
3294.778689708168,2.0134,115.80779144673083
3294.8287024229453,0.6293,1185.4452356198613
3294.868712594793,1.3422,260.59328656963135
3294.9087227666637,1.4568,221.20649654350677
3294.948732938557,1.4334,228.4877563208837
3294.988743110473,1.5211,202.90008809033034
3295.0287532824123,1.1363,363.58969143598995
3295.0687634543747,1.1069,383.1605426760161
3295.1087736263594,1.298,278.6430948838427
3295.1587863413724,1.4924,210.7789693174769
3295.1987965134085,0.6095,1263.7160294767546
3295.2388066854674,1.1108,380.4747279496228
3295.2788168575485,1.1874,332.96878286507246
3295.318827029653,1.1368,363.26992594275197
3295.3588372017807,1.7585,151.81444633038203
3295.39884737393,2.577,70.69182035295331
3295.4388575461035,2.0122,115.94595934123878
3295.488870261352,0.6762,1026.707470199705
3295.5288804335755,0.4675,2147.994924935928
3295.5688906058226,1.2422,304.2387935522152
3295.6089007780924,0.86,634.7466636364717
3295.6489109503846,0.5718,1435.8481673302765
3295.6889211227,0.5837,1377.8992526642721
3295.728931295039,1.274,289.24029879430174
3295.7689414673996,1.3934,241.79432496032433
3295.8189541828824,1.0465,428.6660054179668
3295.8589643552946,1.2452,302.7745851234182
3295.898974527729,1.5035,207.6781931625879
3295.938984700187,1.4331,228.58342787719693
3295.9789948726675,1.301,277.35952093888636
3296.0190050451706,1.3964,240.7565087803902
3296.059015217697,1.8316,139.93830052804407
3296.099025390246,1.4258,230.9300817670901
3296.1490381059634,1.2979,278.68603403394087
3296.189048278564,1.3234,268.0497597665126
3296.2290584511866,0.5293,1675.6870380992432
3296.2690686238325,1.0301,442.4240446135741
3296.3090787965007,1.2783,287.2976555124041
3296.349088969192,1.3005,277.5728332229679
3296.3890991419053,0.8034,727.3335205978933
3296.4291093146426,0.7168,913.6947599074484
3296.4791220305956,1.1421,359.90618965066847
3296.5191322033834,1.2961,279.460639086568
3296.5591423761944,0.8673,624.1064127442817
3296.5991525490276,0.3088,4923.125910919431
3296.6391627218836,0.5644,1473.7465117397123
3296.6791728947624,0.7732,785.2600895242883
3296.7191830676643,1.5219,202.6868318955839
3296.759193240589,1.8871,131.82811729569372
3296.8092059567766,1.396,240.89449779391796
3296.8492161297518,1.0412,433.041168721022
3296.889226302751,1.2751,288.74147228222546
3296.9292364757716,0.624,1205.6680933479322
3296.9692466488154,1.3991,239.82817645246163
3297.0092568218824,1.4409,226.11535417607814
3297.049266994972,1.2882,282.8987805266791
3297.0892771680838,0.8584,637.1151165177392
3297.139289884506,0.7983,736.656444744679
3297.17930005767,0.7319,876.3824221455975
3297.2193102308556,0.4804,2034.1854039855266
3297.259320404065,1.2945,280.1518913183694
3297.299330577296,0.9928,476.2927023635085
3297.3393407505505,1.183,335.4502468506799
3297.379350923827,1.4619,219.66578306131242
3297.4193610971274,0.5133,1781.7801592129672
3297.4693738137844,1.3555,255.50455955827016
3297.5093839871356,1.4036,238.29284444248742
3297.549394160509,0.7255,891.9126190674906
3297.5894043339053,0.6058,1279.199754826074
3297.629414507324,1.1575,350.39313559701003
3297.669424680766,1.3491,257.93448565407385
3297.7094348542314,1.1343,364.8729847847021
3297.7494450277186,0.75,834.5928396450428
3297.7994577446093,1.6012,183.10771114071449
3297.8394679181483,1.3753,248.20059697669345
3297.87947809171,1.0047,465.0767942522987
3297.9194882652937,1.6607,170.2219043768045
3297.9594984389005,0.992,477.06122538826986
3297.9995086125305,1.275,288.78676680285224
3298.0395187861823,1.1414,360.3477725581221
3298.0795289598573,1.3729,249.06912587279132
3298.1295416769826,1.3218,268.69908472315353
3298.1695518507076,1.562,192.41358180695516
3298.2095620244577,1.6908,164.21519760796045
3298.249572198229,1.1694,343.2981139960463
3298.289582372023,1.2002,325.9045101998904
3298.329592545839,1.3319,264.6393671401313
3298.3696027196793,1.4657,218.52824149117095
3298.409612893541,0.8771,610.2378299256326
3298.4596256109016,0.9583,511.2042509882729
3298.499635784815,0.8966,583.9825921200896
3298.5396459587505,0.8717,617.8218319398318
3298.57965613271,0.9153,560.3643082193765
3298.6196663066917,1.1648,346.0149549574003
3298.659676480696,1.601,183.15346230469686
3298.699686654722,1.056,420.98796475356204
3298.739696828772,0.8171,703.1481772154109
3298.779707002844,1.4239,231.5467817940745
3298.8297197204674,1.8155,142.43127250109822
3298.86972989459,1.0094,460.7558712477754
3298.9097400687365,0.57,1444.9309848189077
3298.949750242905,0.8546,642.7936028238664
3298.989760417096,1.305,275.6618397925769
3299.02977059131,1.5588,193.20438891930823
3299.069780765547,1.2869,283.47062586769164
3299.109790939807,1.2363,307.1495604980275
3299.159803657664,1.327,266.5973566457135
3299.199813831974,1.3257,267.12047082067306
