wavl,flux,ivar
3290.997728574342,0.0,842266338002739.1
3291.0377387440003,0.0,842266338002739.1
3291.0777489136813,0.0,842266338002739.1
3291.127761625815,0.2801,10735.446831857604
3291.167771795548,-0.849408,1167.394848770316
3291.207781965304,0.7303,1579.2309740644985
3291.247792135083,1.0597,750.0371168354311
3291.287802304885,2.3592,151.32809214343442
3291.327812474709,2.5601,128.50950345724272
3291.3678226445563,1.6923,294.09945647305017
3291.4078328144265,1.6269,318.2197951508958
3291.44784298432,1.2272,559.2655176049296
3291.4978556967194,0.8064,1295.2312936433098
3291.537865866664,0.3492,6907.14362370679
3291.5778760366316,0.3665,6270.455875719114
3291.617886206622,1.2455,542.9518070814836
3291.657896376635,1.4581,396.16328883841385
3291.6979065466717,1.9206,228.33639639169806
3291.737916716731,2.6521,119.74829138634917
3291.7779268868135,2.1799,177.24577952904409
3291.827939599449,1.3052,494.4184267270857
3291.8679497695825,1.6679,302.7672567559631
3291.907959939739,1.3017,497.0807753323915
3291.9479701099185,0.4271,4617.301856245219
3291.9879802801215,0.2302,15894.066738297275
3292.027990450347,-0.0936111,96117.84510666155
3292.0680006205953,1.4146,420.90251669488384
3292.108010790866,2.0598,198.51755366036863
3292.1580235037372,0.8691,1115.0874931297597
3292.1980336740603,0.8632,1130.3828880100195
3292.238043844405,0.9911,857.4594980440079
3292.278054014774,1.1629,622.8220161895006
3292.318064185166,0.5686,2605.158826683913
3292.3580743555794,0.3603,6488.114552371009
3292.3980845260166,1.6231,319.7115701554223
3292.438094696476,0.799,1319.3341327871908
3292.488107409584,0.9752,885.6480446764618
3292.5281175800947,1.6877,295.70483701716336
3292.5681277506296,1.0784,724.250627593981
3292.608137921186,0.2411,14489.433989954097
3292.6481480917664,0.3677,6229.595128581945
3292.6881582623696,0.8716,1108.699889749244
3292.728168432996,0.813,1274.2870936619577
3292.7681786036437,1.0303,793.4529905304896
3292.8181913169865,0.4583,4010.031963144691
3292.858201487687,0.1864,24241.136005998993
3292.89821165841,0.4854,3574.7700493996194
3292.938221829156,0.8864,1071.9856440584483
3292.9782319999254,1.1621,623.6798230673802
3293.018242170717,0.9866,865.2992781082625
3293.0582523415314,0.4123,4954.737694625892
3293.098262512369,0.3123,8635.802357089207
3293.148275225947,0.399,5290.557949587031
3293.188285396836,0.6241,2162.4181959215553
3293.2282955677483,1.6071,326.1092378017839
3293.2683057386826,1.3073,492.8312715579717
3293.3083159096404,0.5513,2771.2256081181013
3293.34832608062,0.6491,1999.0556656102954
3293.3883362516226,1.2248,561.4594287799323
3293.428346422649,0.5762,2536.8887859210354
3293.478359136464,0.3445,7096.896478006822
3293.518369307541,0.518,3138.9778253848813
3293.5583794786407,0.5999,2340.4009852820013
3293.598389649764,1.3549,458.811523835273
3293.6383998209103,0.9032,1032.477567377585
3293.678409992079,0.7728,1410.3084020595538
3293.71842016327,0.7778,1392.2346865043864
3293.7584303344843,0.6849,1795.534868770746
3293.808443048535,1.0306,792.9911216754188
3293.8484532198004,1.6343,315.3445656310519
3293.8884633910898,-0.00358737,65484611.90963774
3293.9284735624,0.7083,1678.8571094968413
3293.968483733735,2.557,128.82129132899746
3294.008493905092,1.2438,544.4370106670957
3294.048504076472,1.2761,517.2248067764988
3294.0885142478755,-0.173663,27928.000745007685
3294.138526962161,0.8569,1147.0653070315855
3294.1785371336146,1.9792,215.0154367358226
3294.2185473050918,1.2601,530.443010982952
3294.2585574765917,0.3956,5381.888333903139
3294.2985676481144,1.3134,488.2640608609771
3294.33857781966,0.9538,925.835644825909
3294.378587991228,0.6495,1996.594157345959
3294.4185981628193,0.0120641,5786122.077950842
3294.468610877341,0.3278,7838.426598333027
3294.508621048983,1.4288,412.5778924321008
3294.548631220649,1.2975,500.3040765148096
3294.588641392337,2.0147,207.50484432854557
3294.6286515640477,2.3721,149.68665754273857
3294.6686617357814,0.9566,920.4236791744304
3294.7086719075382,1.4073,425.28048201964333
3294.7486820793183,2.1072,189.68697755365355
3294.798694794074,2.0269,205.01440170511603
3294.838704965905,1.119,672.6489905160964
3294.8787151377583,0.9797,877.5307451775476
3294.9187253096343,1.4507,400.2152407959835
3294.958735481535,1.0619,746.9325480035511
3294.9987456534564,0.4943,3447.1998795472964
3295.0387558254015,1.3029,496.16555270670943
3295.078765997369,1.0905,708.2674898071488
3295.12877871236,0.9658,902.9717067353172
3295.1687888843794,1.0278,797.3176393249588
3295.2087990564214,1.0726,732.1044539120078
3295.2488092284852,1.0163,815.4638968499447
3295.2888194005727,0.9876,863.5478396291644
3295.328829572683,0.4608,3966.6384583686045
3295.3688397448163,0.337,7416.296167190924
3295.4088499169725,0.7259,1598.4338008152313
3295.4588626321984,0.6343,2093.4310041678636
3295.4988728044054,0.646,2018.2876534162901
3295.5388829766357,0.4439,4274.420039585201
3295.578893148888,0.5374,2916.4363566312627
3295.618903321164,0.9036,1031.563669281171
3295.6589134934616,0.6444,2028.3226137983656
3295.6989236657832,-0.196669,21776.197236498923
3295.7389338381263,1.2517,537.5863657787754
3295.778944010493,1.1024,693.0590628704678
3295.828956725983,0.9481,937.0013891407771
3295.868966898401,0.7386,1543.9373069391188
3295.9089770708415,0.8272,1230.9129549077663
3295.9489872433055,1.0749,728.9747912535431
3295.988997415791,1.1157,676.6339729161227
3296.029007588301,0.2963,9593.635405970566
3296.0690177608317,0.9491,935.0279263304143
