filename,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi
WD0945p245_b_2002_02_22T04_33_10_all.dat.gz,66.45429815529718,7.687986612523005,37986.10978500979,7.882159542338244,3.3251335126638617
WD1425m811_b_2003_03_22T08_53_48_all.dat.gz,13.857430591037067,2.641270015009538,12793.099420952927,7.035298265273126,2.54650532644882
WD0107m192_b_2000_07_16T06_50_00_all.dat.gz,-29.44260677077006,10.49253082192252,13624.169374844105,7.308116092277044,3.270774372064346
HE1328m0535_a_2000_07_13T02_11_55_all.dat.gz,1085.422200610025,,118792.04323594926,7.0000000624567145,683986307.4526782
WD1056m384_a_2001_05_15T00_32_44_all.dat.gz,43.89270540042232,4.014655036226383,21978.605944473707,7.000000046821771,3.379858890294529
HE2148m3857_b_2000_05_22T09_20_05_all.dat.gz,-100.45410460504728,8.066746506406126,16911.355616802393,7.000006541873482,5.258510343192265
HE1518m0020_b_2000_07_18T03_27_43_all.dat.gz,71.22140099063307,8.813395429176929,13305.703064007645,8.000013181265082,9.363930090508369
HE0256m1802_b_2002_12_08T06_26_35_all.dat.gz,-449.2642447353737,1.859951233096496,8398.801300394181,7.000000003657296,11.85991221802663
HE2347m4608_b_2002_09_25T07_14_35_all.dat.gz,5025.640782535222,4.1243945037981575,9499.9834122594,7.947898224559905,1186.4455344026076
HE2315m0511_a_2000_07_11T04_35_06_all.dat.gz,-1370.7753687592035,1.7682166459704831,8083.860722370719,7.000000073737487,19.408286652345858
WD0204m306_a_2002_12_03T05_37_52_all.dat.gz,164.22048398049745,29.59225055090017,68404.24843756655,7.000000002026176,1.7353790749746745
HS2138p0910_b_2001_08_20T01_44_49_all.dat.gz,-19.5516399643176,6.6483820205166975,17170.282429922016,7.000000010855814,2.7529024123302164
HS1648p1300_a_2001_07_26T01_11_45_all.dat.gz,-20.02049476632389,6.382938419104209,16337.74854166287,7.000000000662701,4.175979093349693
WD1003m023_b_2001_02_06T03_59_47_all.dat.gz,-431.1798713836114,11.763201751477396,60001.54809195149,7.000011961428672,35.87025865954553
HE0150p0045_a_2003_02_05T00_59_38_all.dat.gz,-46.4502461403974,10.690534911671724,11499.84349613435,8.995199414395126,6.23437904224565
WD0830m535_b_2003_05_10T23_32_26_all.dat.gz,37.687195766576046,4.314434997154908,25274.6696991405,7.127365079345216,3.699205447091632
WD0558p165_b_2002_02_21T01_07_41_all.dat.gz,74.08492404505205,5.355237373213782,17148.22700967705,7.883885139438128,3.2415922335868204
WD2351m368_b_2000_07_18T06_56_32_all.dat.gz,-53.82107784804236,5.126027503113242,14559.179836797804,8.999999999447935,4.939251442628993
WD1914p094_d_2001_06_05T07_36_27_all.dat.gz,-169.17480953903856,12.138267771546095,44575.47120897364,7.000000004804996,26.979060302541274
HE0201m0513_a_2002_09_20T04_28_06_all.dat.gz,39.43481622910269,12.959643012194874,30296.83363591953,8.6936359377407,4.91411651481817
MCT0105m1634_b_2000_07_17T08_19_23_all.dat.gz,1219.84749364173,0.3925222864967281,12209.080761559348,7.000000000693032,281.13927334635827
WD1515m164_b_2000_06_11T01_57_49_all.dat.gz,-751.112704730339,0.7812895444345713,9994.959080043158,7.000002744952537,26.94057287410073
WD1334p039_a_2000_07_30T00_24_57_all.dat.gz,-7.922567354247099,15.55907470821968,128972.12864969709,7.000000001879189,0.9493718023833364
WD1220m292_b_2000_05_21T04_22_59_all.dat.gz,1259.795024551267,,9999.9925936075,7.000000536745071,46.23337469232848
WD0027m636_b_2002_08_15T09_37_17_all.dat.gz,861.937275658948,,9500.281291025924,7.000003801336887,1776.1882405544998
HS0213p1145_b_2003_01_16T01_58_18_all.dat.gz,130.0560544308873,13.784155140294232,11328.103328154575,7.000000117938357,1.859158858857488
HE0418m5326_b_2000_08_05T09_23_44_all.dat.gz,1354.4927379699927,1.639878270066788,10499.942644599916,8.999999892647711,35.18816704906072
WD1418m088_a_2000_07_14T01_20_01_all.dat.gz,-24.14187317462466,9.138401134353211,26261.44834451563,7.000000000277082,2.242005524693125
HE0409m5154_a_2001_12_15T06_44_16_all.dat.gz,-9315.295004513562,0.3743583148971083,9667.147600943184,7.000054755741032,10210.916359499002
WD1531p184_a_2002_06_18T01_44_31_all.dat.gz,-595.5718884745191,3.838853169543256,10499.999947574148,8.938483915895501,9.186423436844414
WD0839m327_b_2001_05_04T01_25_15_all.dat.gz,84.91366862186992,1.929116180129988,17723.340119394205,7.000000003881359,3.731943840883736
HS0325p2142_a_2002_09_21T06_01_12_all.dat.gz,38.62571344137161,7.321676308393215,13773.2872965573,7.99999515211649,2.242322774387167
HE0032m2744_b_2002_09_18T03_06_51_all.dat.gz,83.96802087377169,10.3823222680102,22012.725958806583,7.630129036023272,3.549572267956328
WD0205m304_a_2001_09_23T08_37_02_all.dat.gz,511.22468471957393,3.7679877278332015,17754.115732531718,8.999999999939899,53.00001010279319
HE0320m1917_b_2001_02_07T02_38_31_all.dat.gz,449.9340591112604,17.43117746133123,38717.850712909385,7.499928754847761,19.533903055133152
WD0137m291_b_2000_07_16T08_58_27_all.dat.gz,4.34428089058476,12.403515986194652,19580.430992368,7.62358083395803,2.877369701236113
WD0357p081_b_2000_09_17T08_36_19_all.dat.gz,-72.70599713645524,17.49182914568399,81225.51064182453,7.000000132083899,1.296840822996126
WD1257p037_a_2000_05_19T03_59_02_all.dat.gz,65.469740764503,20.45028085450932,51182.52461957616,7.000000001182918,0.9165891079270968
HE0324m2234_a_2002_03_05T00_31_57_all.dat.gz,28.951337559633107,9.7000367025326,15324.134663610736,7.791126031649603,6.010875334793703
