Unnamed: 0,filename,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi,vstark,e_vstark
0.0,WD0956p045_b_2001_02_06T03_44_55_all.dat.gz,81.74801028565935,8.339471514530644,14507.099306185211,7.783629141906399,3.3450211953382394,53.113777104381946,3.899082231091427,10420.135667900942,8.997219033002674,5.49021952887392,28.6342331812774,9.205956082150344
0.0,HE0436m1633_a_2002_02_10T01_37_29_all.dat.gz,72.83439039777117,4.64103024093248,14616.012215686238,7.985350479065099,5.72027217410708,39.48556525121779,1.7688945498833455,11688.522528366815,8.202153219028256,8.056231262532338,33.34882514655338,4.966704100895965
0.0,WD1736p052_b_2000_07_05T04_22_56_all.dat.gz,-139.51666314709948,6.289451757419982,37249.28685257512,7.000000545985523,29.768480192249083,51.87126200428345,0.712435612769287,7681.553732094264,7.001429477490684,7.048220578139079,-191.3879251513829,6.329673602268545
0.0,HE0333m2201_b_2001_01_15T02_24_25_all.dat.gz,64.99063501787236,46.60086532749795,14704.010025040508,8.273601731660237,0.0273734521908666,69.43854561987017,21.103143351561872,14000.011652454306,8.262594267720306,0.0389945224826963,-4.447910601997805,51.15645910916989
0.0,MCT0136m2010_a_2000_07_18T08_36_15_all.dat.gz,97.62485127498876,6.169812499854977,24999.91595486062,8.874071328635484,3.647174229748816,61.25263306452759,1.1312819497466222,8128.424556994209,8.820164005869952,5.625449782081747,36.37221821046117,6.272669697440576
0.0,HS0200p2449_b_2003_01_17T01_05_57_all.dat.gz,77.13879132804655,7.265298287240832,16233.26666219877,8.781934426393502,4.507516434047597,75.00106593180972,3.252924051999422,14124.463909320297,8.609170766204516,5.448625298957642,2.1377253962368314,7.960281030884581
0.0,WD1123p189_a_2002_02_25T04_26_09_all.dat.gz,18.76068213554848,13.140898990937178,44034.23153057826,8.602949991813547,2.5671735490788485,26.102809842787018,11.105619498406083,37499.267864564405,8.76630652143042,1.7215291825968737,-7.342127707238536,17.205173952430446
0.0,WD0127m050_a_2002_09_19T05_30_57_all.dat.gz,-689.576313513021,2.10624010319242,10992.701935791536,8.99999998505727,20.570120900213183,-6.360210041385183,2.5501087124374164,13408.04045844343,8.073976499645374,3.9437744120767055,-683.2161034716358,3.307461536820229
0.0,HS0424p0141_a_2002_03_01T01_39_20_all.dat.gz,210.42886502154943,16.810123306849306,46595.126406381605,7.000000203266976,1.7488961089463348,109.03214247377612,17.39259461205767,35795.44165038045,8.15955365096944,1.820029353540653,101.39672254777334,24.18848058334495
0.0,MCT0110m1617_a_2000_08_05T10_03_17_all.dat.gz,98.82189244782784,13.162735166802172,37394.92696886055,7.190746391710633,2.6577200119148325,5.931261798890009,4.441477479966282,16970.632819264094,8.999924840936014,4.355102771656994,92.89063064893784,13.891879616395263
0.0,HE0456m2347_b_2002_02_26T03_42_46_all.dat.gz,28.72196471985352,9.534483709607894,16537.171869260812,7.000000261617279,7.137773442818604,-175.24208864755877,1.973333942768704,8999.850261476955,7.005593118560129,22.850703162363764,203.96405336741228,9.736551055608007
0.0,WD2032p188_b_2002_09_10T00_11_32_all.dat.gz,-1.5120293941430147,6.750304559644102,13528.458924559089,8.367821952405361,3.2880370065516464,-15.744022672399014,2.906003999493194,13206.94015111246,7.755379116981967,4.994212314536171,14.231993278256,7.349249682316039
0.0,HE0338m3025_b_2001_09_19T09_25_33_all.dat.gz,-28.99373607403759,3.872012552296665,11000.082704169296,8.980584362216067,16.547789069239183,6.7240146396032685,1.2812737247323631,9101.906377756392,8.394435503788248,6.0206272468148905,-35.717750713640854,4.078497709063042
0.0,WD0250m007_b_2003_01_16T02_54_48_all.dat.gz,106.60658066690212,12.446845434471918,15288.45098384898,8.91268806614713,5.848818306587993,-41.97910977164288,1.3011068982398122,8500.00074387556,7.000103848471839,38.03179311450599,148.58569043854502,12.514665014705017
0.0,WD1511p009_a_2001_02_07T08_11_45_all.dat.gz,-25.720304077902654,7.944958547841225,26739.272209067243,7.872624871934946,1.969431765638078,-4.191645040756851,4.15783136221778,15385.436539599974,8.999999999980234,2.6582863436221014,-21.528659037145804,8.967158299236
0.0,HS1527p0614_b_2001_07_25T23_49_52_all.dat.gz,-709.3097794623624,0.6145316086446542,9999.90593798882,8.044420548129915,144.96599511271646,87.08718919429009,1.7474660273454958,13493.867665867036,7.717783460682122,8.044155242169948,-796.3969686566525,1.8523732385105425
0.0,WD0612p177_a_2002_02_17T04_08_22_all.dat.gz,58.75109420932559,3.417502246926436,18191.737873295337,8.999999752047234,3.01961526299266,66.96165065893888,1.3960907182926192,15059.551795904415,8.820799722004988,2.57631489819128,-8.210556449613293,3.691665058134342
0.0,WD0140m392_b_2000_07_16T09_30_54_all.dat.gz,-102.28882692258004,2.6442669931876,17729.164457313287,7.000000001849774,29.361808762212988,49.14192865328351,1.6788341734343248,19999.96264565333,8.961433323181458,41.18420558013696,-151.43075557586354,3.1321928601464344
0.0,WD1932m136_b_2000_05_24T09_11_53_all.dat.gz,-69.63041849375215,6.199933443668417,13274.784093564956,8.515332238306467,6.418543626707543,-31.85029429084716,2.7957938441705448,13334.16167136167,7.869510929323421,4.466152786664798,-37.780124202904986,6.801149750227533
0.0,WD0011p000_b_2000_07_17T07_38_30_all.dat.gz,4.776584259099847,6.121428857891736,12550.520052676591,8.738845678256952,4.064318629686326,-0.5878229890154478,1.4684301130592332,8922.723839320253,7.117228062671495,7.635641442303329,5.364407248115295,6.295091600538381
