,filename,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi,vstark,e_vstark
0,HS1609p1426_a_2001_06_28T01_02_22_all.dat.gz,275.33907964473366,3.4898862449159083,11999.960600737264,7.00000000094786,7.346872117672379,30.84278097646005,2.8459533804067387,11330.819705282895,8.342428742116905,29.90326633436236,244.4962986682736,4.503194049327854
0,WD1425m811_a_2002_04_22T04_42_19_all.dat.gz,30.638889917836263,1.7258216462772165,12980.512873935064,8.411105162747706,3.172968512577731,19.95519084606219,1.3578973019297038,12346.30189065925,7.884539569254663,5.402068831343171,10.683699071774072,2.1959839337633986
0,WD2240m045_a_2000_06_01T09_26_28_all.dat.gz,-40.06746025854865,4.301494287866046,7633.9644625953615,7.000000152481824,3.320005471515396,-97.54511441699914,9.12414782844067,32646.947183922566,8.486159113206583,3.003948831783256,57.47765415845049,10.087265571193354
0,WD1857p119_a_2000_05_17T05_16_51_all.dat.gz,911.6247929673261,1.0149488604357657,11999.980401243834,7.308262904770627,54.64302892864112,-131.55127968948793,0.18882966528668987,8000.002439467498,7.000003700201268,1170.393146359336,1043.176072656814,1.0323651639764597
0,WD2018m233_a_2001_05_04T09_37_43_all.dat.gz,-20.703447505670727,3.090096150079212,15330.387176190721,7.871186767660238,3.127151844131779,-42.79315849758769,2.2934555046468468,13616.054985077446,7.891143888464579,4.429118582236059,22.089710991916963,3.8481985874600197
0,WD2152m548_a_2000_07_14T04_26_37_all.dat.gz,-7.266659687555538,2.147997586975708,7617.608542972497,7.0000000199831565,2.4638897834094653,-40.68433412990756,8.745153845285442,44981.42298098418,7.827223914750622,1.8843613200281715,33.41767444235202,9.00508797354941
0,WD2059p190_b_2002_09_23T01_15_39_all.dat.gz,566.2575231812136,,12519.138860883722,7.000000004971586,98.78609490673148,144.76918586102292,1.2195114416236805,7499.991990222614,7.990573809692544,17.828188214160107,421.4883373201907,
0,HE2246m0658_a_2001_09_20T04_56_40_all.dat.gz,-1057.7008257872328,0.43318279061406884,127212.44903946984,7.0000042899466495,2315.1298840281233,-233.45212288402195,0.0035201448583705996,5999.928542570202,7.000306855069053,1192077.6762921424,-824.2487029032109,0.43319709313892696
0,WD0252m350_a_2000_07_15T08_23_07_all.dat.gz,251.67640322813938,3.1880095433730276,17000.01713358856,8.999163050321897,54.9653390710951,75.86417787547907,1.7805725869311573,9999.98912800731,8.995076915154545,8.456512182687533,175.8122253526603,3.6515535852522025
0,WD2309p105_a_2000_08_06T03_38_50_all.dat.gz,-16.04923163925117,2.1483258767062976,7257.173659397983,7.000000000009095,2.100831969280645,-31.188767665261203,10.85763050662441,44880.41118283726,8.237258346421575,1.9087103505017373,15.139536026010035,11.068127406698341
0,WD0027m636_b_2002_08_15T09_37_17_all.dat.gz,1156.026281719783,,128294.17649989155,7.0000099324360905,1258.5088482418953,40.67248634731441,12.806920671841633,50991.97361903363,7.953895293156574,1.6673056417349885,1115.3537953724685,
0,HS2108p1734_b_2003_08_10T03_52_31_all.dat.gz,35.807096330197076,2.4622817639751737,9193.790264537518,8.815928399248094,8.545682826702413,35.60488958229088,3.6988993950068956,19837.011880159902,8.999999996591274,3.757737888931081,0.20220674790619597,4.44349954648215
0,HE0300m2313_b_2000_12_07T03_42_40_all.dat.gz,64.2263865709521,4.288634806076537,22784.04905884928,8.599768072706237,3.198438276190551,134.57239669369685,0.9047662192596277,5999.952244523985,7.4028300019047935,20.785910463742727,-70.34601012274474,4.383034384008925
0,HS0929p0839_a_2003_01_24T05_27_27_all.dat.gz,-1062.3881023675453,,19999.804501880164,8.999893620316277,63.68489603506362,83.21626826082642,0.3641023255731568,7000.07983765132,7.000000784534404,75.92494269081247,-1145.6043706283717,
0,WD1426m276_a_2000_07_05T03_56_19_all.dat.gz,87.36327947312726,2.8432385849415027,14500.04680574146,8.723902150324818,2.718840021772744,84.81724984849252,2.037626874564147,13329.58380819516,7.907628732623788,4.010952332778923,2.546029624634741,3.497989269687117
0,WD1403m077_a_2001_02_07T05_14_54_all.dat.gz,-10.673905220412122,7.042526613304106,7499.815914565685,7.00000307679699,3.4745223207721225,203.29534337380733,1.4232579610345795,6499.962601646999,7.033590372911253,7.628377354145661,-213.96924859421944,7.184903918824865
0,WD1350m090_a_2000_07_14T01_10_22_all.dat.gz,78.74549516359043,1.7957889811624597,9263.341040539075,8.051830372613757,2.592811750823204,61.20994636951842,2.2737982886358097,10791.404417732458,8.854075366572143,7.0439970549178055,17.535548794072014,2.897415524612865
0,WD1952m584_a_2001_08_16T23_49_36_all.dat.gz,-738.8738390334136,0.42353788997712627,9162.002866680861,7.000000398621612,30.510454053262414,-7.958036457691036,4.902929726872932,18823.4158443509,8.999999008108457,3.119248429685999,-730.9158025757225,4.921189312645934
0,WD2150p021_a_2002_09_23T02_30_02_all.dat.gz,28.20295376476661,4.460174865615933,7712.525763013457,7.000000000106773,2.3415798349370553,72.79982598550438,11.113381386545036,31670.866827215526,8.82473713150014,2.214326872858728,-44.59687222073777,11.974990842363002
0,WD1244m125_b_2000_07_04T23_17_34_all.dat.gz,-12.666721928837557,1.867842137416173,12499.975844488546,8.080238811467684,16.171700934219352,70.12664086851244,1.2369431440345338,9999.898613082492,8.8694198221663,10.84881438752086,-82.79336279735,2.2402818108178835
