,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,filename,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi,vstark,e_vstark
0,0.0,0.0,0.0,WD1202m232_a_2000_04_23T04_43_31_all.dat.gz,24.25083110376666,0.8291909456838003,8527.724992996105,7.811735112555269,2.557694298715972,24.62976257293922,0.2534079754584297,7368.354811583182,7.641783172652155,20.10908090755151,-0.37893146917256,0.8670485721284218
1,1.0,1.0,0.0,WD1241p235_a_2002_02_17T08_58_09_all.dat.gz,10.57890712277382,3.187683773244302,9176.622946210424,8.02130970780321,2.100979630234633,-13.22723736844558,3.181013368726024,13482.787027796296,8.99960934130266,3.104597581318264,23.8061444912194,4.503351406477038
2,2.0,2.0,0.0,WD1614p160_b_2003_08_11T01_12_26_all.dat.gz,10.468661263080175,2.7084686720281463,12885.804146490433,8.654872749867048,2.517299260861448,5.1522506019915015,2.260482748866212,13997.184860250782,8.099993253241228,5.221736499722209,5.316410661088676,3.527830042005943
3,3.0,0.0,,HS0820p2503_b_2003_02_18T02_42_44_all.dat.gz,14.1702400480714,5.020251959742456,8330.406386559769,7.000000000095517,4.593873029062645,70.35534840037376,7.632454138666091,20036.687652454333,8.999999911061394,4.802968611329623,-56.18510835230236,9.135495931701744
4,4.0,0.0,,WD2324p060_b_2002_09_27T03_55_12_all.dat.gz,29.38072170577648,1.7719020546753246,12744.04481715069,8.726553124355641,13.445928848524217,-6.502231101180405,1.4076035808184115,13835.142718909508,8.016616530858037,4.879289713169324,35.88295280695688,2.262959286442302
5,5.0,0.0,,WD0945p245_a_2002_02_12T04_32_06_all.dat.gz,73.67609264281627,4.240314840335579,39295.07162030102,8.51023459730651,19.856358976800827,95.86569801361848,4.722727253666193,33249.540510405546,8.618849451807328,2.3256997692010266,-22.18960537080221,6.347001075917
6,6.0,0.0,,WD1233m164_a_2002_04_22T23_43_05_all.dat.gz,60.18168168550172,3.2752424070077097,9640.04262632853,8.49997218720133,2.115743116184543,52.53825132495078,3.526171252738674,14097.007746080437,8.999999999972859,5.686226199739475,7.643430360550944,4.812597690260665
7,7.0,0.0,,WD1003m023_b_2001_02_06T03_59_47_all.dat.gz,-182.348673701234,7.964965713912278,34999.978039507085,8.999999997787933,57.97183755008523,21.309772568238103,2.9042671395959854,15327.976350360115,8.424900690637037,3.52476620841837,-203.6584462694721,8.477938808574592
8,8.0,0.0,,WD1053m290_b_2000_05_17T01_25_10_all.dat.gz,48.01971167051674,3.074888155113374,11300.465682132955,8.499962524880013,4.139424061175391,69.23634343692669,0.307609460848333,7180.974502364012,7.00000004022383,127.40163074523902,-21.216631766409947,3.090236357766172
9,9.0,0.0,,WD1537m152_a_2000_07_02T02_51_48_all.dat.gz,22.682511510809984,2.64374397051996,14027.61380816912,8.527442032829205,3.627042323623293,20.83636608163779,2.211646657965785,13506.95203612388,8.602553642803304,5.856086648318734,1.8461454291721928,3.446848288125236
10,10.0,0.0,,HS2244p0305_a_2002_09_24T05_33_40_all.dat.gz,-0.8825838390384856,6.7369832305446495,7291.4327855788815,7.000000017469308,1.439132792240952,80.63662868048412,30.17693939865046,44158.64330029452,8.147663441636796,1.2129908125590594,-81.51921251952261,30.919809419180808
11,11.0,0.0,,WD1159m098_b_2000_07_05T22_58_12_all.dat.gz,231.3027043280493,2.0479301182500507,7026.715036385762,7.000000522629036,99.72332320989662,89.50199714821173,1.2131833328758148,8541.652367342664,8.664886206141631,5.954174310699057,141.80070717983762,2.3803007306647905
12,12.0,0.0,,WD1230m308_b_2000_05_22T02_05_41_all.dat.gz,54.34738193603352,3.3220471812994994,15999.99987030702,8.999991571393082,4.7586073181029,71.06963602218369,2.9884808381249,15485.442189672018,8.999999999997634,3.133854890630463,-16.722254086150166,4.468446619869108
13,13.0,0.0,,EC12489m2750_b_2000_07_15T23_51_15_all.dat.gz,20.208600628291173,4.8370969544374605,7124.484064214024,7.000000000352668,2.651757792659593,40.44219056991705,9.364839255944505,31187.22001044773,8.953456897100843,2.3580996505071847,-20.23358994162588,10.540290377229052
14,14.0,0.0,,HS1144p1517_b_2002_02_25T07_57_55_all.dat.gz,-953.6585234913128,,7806.568621368513,7.000000066483947,29.57058888939288,25.082366382665,1.1746330794091993,8999.943126334309,7.00000077777626,72.37585557476166,-978.7408898739776,
15,15.0,0.0,,WD1125m025_b_2003_01_19T04_44_36_all.dat.gz,-128.73714745194897,3.2135285278757166,8934.932926440004,8.999999999968999,5.890450356877819,23.89234715527009,6.067979963164133,30922.090106483403,8.18636265387961,2.553470969978153,-152.62949460721907,6.8663779704318975
16,16.0,0.0,,WD1328m152_a_2000_07_30T00_33_24_all.dat.gz,-1.2112822101820189,2.975631291931017,7169.726305061765,7.0000000000048885,2.072946340079701,-4.238942587499645,11.297599462445612,35440.674674391565,8.942845946273962,2.2140399735032905,3.027660377317626,11.682899263426457
17,17.0,0.0,,WD0229m481_a_2000_08_03T09_31_43_all.dat.gz,1.6896527996698238,5.936894769610646,7245.675313156086,7.000000000009284,3.0736696913714807,67.64050669978458,21.37789847724964,48760.06394620875,7.628778537824725,3.1378731846447656,-65.95085390011475,22.186961549726064
18,18.0,0.0,,WD0032m317_a_2000_09_16T03_47_45_all.dat.gz,-752.0610470433327,0.0981006771779107,9999.909007503737,7.000017920578977,351.11393841514985,28.84799155652289,7.492464962994115,40522.00511699779,7.000000000016216,2.577024418550357,-780.9090385998555,7.4931071635575295
