,Unnamed: 0.1,Unnamed: 0,filename,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi,vstark,e_vstark
0,0.0,0.0,HS1609p1426_a_2001_06_28T01_02_22_all.dat.gz,269.4554514469054,3.4259266483510373,11493.51593514462,7.000000000434986,7.735816674297703,30.84278097646005,2.8459533804067387,11330.819705282896,8.342428742116905,29.90326633436236,238.61267047044527,4.453810059188685
1,1.0,0.0,WD1425m811_a_2002_04_22T04_42_19_all.dat.gz,30.389034710448342,1.8215572737164187,13398.853718878918,8.395993454434594,3.206029008675412,19.95519084606219,1.3578973019297038,12346.30189065925,7.884539569254663,5.402068831343171,10.433843864386157,2.271993834502453
2,2.0,0.0,WD2240m045_a_2000_06_01T09_26_28_all.dat.gz,-38.961287669982816,4.353959446482669,7610.831213998266,7.000000000056911,3.463446472931666,-97.54511441699914,9.12414782844067,32646.947183922566,8.486159113206583,3.003948831783256,58.583826747016325,10.109749574388788
3,3.0,0.0,WD1857p119_a_2000_05_17T05_16_51_all.dat.gz,912.0775595656409,1.0052216043885096,12499.82592545065,7.0014754651914215,58.56402702387167,-131.55127968948793,0.1888296652866898,8000.002439467498,7.000003700201268,1170.393146359336,1043.6288392551287,1.0228035571025809
4,4.0,0.0,WD2018m233_a_2001_05_04T09_37_43_all.dat.gz,-24.104191525594885,3.1963920386080726,15159.49954481491,7.907265246694771,3.220331162302046,-42.79315849758769,2.2934555046468468,13616.054985077446,7.891143888464579,4.429118582236059,18.688966971992805,3.9340640839050898
5,5.0,0.0,WD2152m548_a_2000_07_14T04_26_37_all.dat.gz,-15.773442917039354,5.793271942188025,46925.93747986178,7.870672260709082,2.2037839819233294,-40.68433412990756,8.745153845285442,44981.42298098418,7.827223914750622,1.884361320028172,24.910891212868208,10.48998167652612
6,6.0,0.0,WD2059p190_b_2002_09_23T01_15_39_all.dat.gz,999.280114665697,,10500.01735349015,7.0000000371980375,111.2028561566642,144.76918586102292,1.2195114416236803,7499.991990222614,7.990573809692544,17.828188214160107,854.5109288046741,
7,7.0,0.0,HE2246m0658_a_2001_09_20T04_56_40_all.dat.gz,-44.24867027592224,,128022.33806485576,8.999987215455926,2467.6808885814144,-233.45212288402195,0.0035201448583705,5999.928542570202,7.000306855069053,1192077.6762921424,189.2034526080997,
8,8.0,0.0,WD0252m350_a_2000_07_15T08_23_07_all.dat.gz,175.39610136269508,3.451666446076075,18435.02203060788,8.999999948006423,60.25589541753181,75.86417787547907,1.7805725869311573,9999.98912800731,8.995076915154545,8.456512182687533,99.531923487216,3.883869203809284
9,9.0,0.0,WD2309p105_a_2000_08_06T03_38_50_all.dat.gz,-16.962323937858923,2.16732500331449,7243.210706574673,7.000000000736062,2.113900825289027,-31.188767665261203,10.85763050662441,44880.41118283726,8.237258346421575,1.908710350501737,14.22644372740228,11.071830828204211
10,10.0,0.0,WD0027m636_b_2002_08_15T09_37_17_all.dat.gz,1156.7096789004495,,127908.1554436525,7.000000234468895,1368.223595125319,40.67248634731441,12.806920671841633,50991.97361903363,7.953895293156574,1.6673056417349883,1116.0371925531354,
11,11.0,0.0,HS2108p1734_b_2003_08_10T03_52_31_all.dat.gz,60.31945459563078,4.454159686650165,27876.84734122067,8.7994646329897,8.731387317898545,35.60488958229088,3.698899395006896,19837.011880159906,8.999999996591274,3.757737888931081,24.7145650133399,5.789766424352703
12,12.0,0.0,HE0300m2313_b_2000_12_07T03_42_40_all.dat.gz,58.54501566369201,4.412880178894682,22610.490605793944,8.610530808164157,3.337107260222735,134.57239669369685,0.9047662192596276,5999.952244523985,7.4028300019047935,20.785910463742727,-76.02738103000483,4.504676834668046
13,13.0,0.0,HS0929p0839_a_2003_01_24T05_27_27_all.dat.gz,-1136.217579684332,,39581.3884345088,8.999999063239548,68.59616682648222,83.21626826082642,0.3641023255731568,7000.07983765132,7.000000784534404,75.92494269081247,-1219.4338479451585,
14,14.0,0.0,WD1426m276_a_2000_07_05T03_56_19_all.dat.gz,84.5181242558986,2.9334976607435763,14664.0290978571,8.657527154668752,2.712098253586983,84.81724984849252,2.037626874564147,13329.58380819516,7.907628732623788,4.010952332778923,-0.2991255925939242,3.571740724847492
15,15.0,0.0,WD1403m077_a_2001_02_07T05_14_54_all.dat.gz,-339.6041913332518,36.31598259382645,49856.71112604213,8.909900192603173,3.522655016771477,203.29534337380733,1.4232579610345797,6499.962601646999,7.033590372911253,7.628377354145661,-542.899534707059,36.34386131080122
16,16.0,0.0,WD1350m090_a_2000_07_14T01_10_22_all.dat.gz,77.8249458835386,1.8115311461670915,9263.548331812184,8.064000734371055,2.605278118198589,61.20994636951842,2.2737982886358097,10791.404417732458,8.854075366572143,7.0439970549178055,16.614999514020184,2.9071986087876063
17,17.0,0.0,WD1952m584_a_2001_08_16T23_49_36_all.dat.gz,-737.6178118246263,0.425966010687091,9360.232131658631,7.079406913521392,33.371011264075825,-7.958036457691036,4.902929726872932,18823.4158443509,8.999999008108457,3.119248429685999,-729.6597753669353,4.921398881305493
18,18.0,0.0,WD2150p021_a_2002_09_23T02_30_02_all.dat.gz,24.73262380843562,4.500823341198963,7703.034477009322,7.000000000011961,2.231926633238815,72.79982598550438,11.113381386545036,31670.866827215526,8.82473713150014,2.214326872858728,-48.067202177068765,11.990190014819907
