,filename,radial_velocity,e_radial_velocity,redchi,teff,logg,Unnamed: 0,cntr_01,dist_x,pang_x,name,ra,dec,solution_id,designation,source_id,random_index,ref_epoch,ra.1,ra_error,dec.1,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,GaiaDR3,PDA,GaiaEDR3,TeffH,e_TeffH,loggH,e_loggH,TeffHe,e_TeffHe,loggHe,e_loggHe
158,HS1115p0321_b_2003_01_17T06_26_52_all.dat.gz,4.196726135231449,1.5913999550958728,6.218508370932819,12889.533451606218,7.531888350690886,457,365,1.553353,-69.624055,HS1115+0321,169.44120833,3.0815,1636148068921376768,Gaia DR3 3811876594386673408,3811876594386673408,1661050684,2016.0,169.44080325627,0.0321,3.08165023438,0.0285,15.1092,0.037,408.6957,98.046,-90.883,0.042,36.786,0.032,-0.1301,-0.159,-0.0762,0.0965,-0.1879,0.0711,0.0712,0.035,-0.2643,-0.0526,210,0,208,2,0.3612,255.8804,0.124,2.083,31,0,1.771,,,,,,,,24,16,0.057654,29,9,0,0.028,60.734,0,0,1.016,0.167,0.207,0.31,0.839,-82.313,29.452,-7.94,-22.363,0,245,13040.81958,10.7826,1209.43213,15.399105,26,9692.81033,29.53909,328.13501,15.372418,25,5082.82793,20.49717,247.97711,15.482632,1.133,0.0,2.0,0.0,0.0,0,-0.110213,-0.026687,-0.083527,,,,,,,,,,,,,,,,,,,,,VARIABLE,255.92286966422,57.14093273076,169.08674212048,-1.34455192371,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3811876594386673408,1.0,3811876594386673408,13982.88,281.16,7.886533,0.029011,13829.73,275.02,7.886445,0.037004
159,HS1136p0326_a_2003_01_18T06_34_48_all.dat.gz,12.904509005937024,2.9824904790618465,9.153959033172823,11686.419758644177,7.53115710515179,459,366,1.027684,-60.376297,HS1136+0326,174.86108333,3.1723333333,1636148068921376768,Gaia DR3 3800633813114930688,3800633813114930688,66306417,2016.0,174.86083479478,0.058,3.17247444037,0.0523,11.7478,0.0717,163.7737,60.902,-51.317,0.073,32.798,0.05,-0.1478,-0.1776,-0.2017,0.3057,-0.5478,0.4198,-0.3148,-0.2359,0.142,-0.3114,191,0,190,1,0.416,209.6944,0.09,0.4262,31,0,1.755,,,,,,,,22,13,0.110381,28,9,0,0.122,108.448,0,0,1.02,0.382,0.321,0.638,0.617,-81.485,20.705,-8.36,-23.252,0,238,5246.66486,5.15513,1017.75635,16.387659,27,3792.0538,13.58504,279.13458,16.391356,25,2128.34373,14.74913,144.30298,16.427792,1.128,0.0,0.0,0.0,1.0,0,-0.036436,0.003696,-0.040133,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,264.13401975135,60.5020438748,174.02565621821,0.87086814678,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3800633813114930688,0.99,3800633813114930688,12343.16,303.72,8.061562,0.035822,12086.33,252.78,7.97222,0.045618
160,HS1144p1517_a_2002_02_23T06_53_05_all.dat.gz,9.789311098835311,3.2870391239758923,5.953941314385267,11345.386345610426,8.647045750926676,463,370,1.440645,-83.012556,HS1144+1517,176.85466667,15.01075,1636148068921376768,Gaia DR3 3924401920043360896,3924401920043360896,1003605166,2016.0,176.85425543023,0.0658,15.01079868217,0.0624,7.0047,0.0797,87.8498,93.761,-93.024,0.077,11.728,0.064,-0.1436,-0.2154,0.0238,0.207,-0.2835,0.1967,0.0049,-0.044,-0.2133,-0.1984,237,0,237,0,-0.0481,249.567,0.0,0.0,31,0,1.778,,,,,,,,27,14,0.111503,33,11,0,0.068,110.45,0,0,0.996,0.321,0.247,0.421,0.773,-97.01,37.79,-5.336,-21.656,0,285,2712.89918,2.75415,985.0213,17.103783,31,2010.50571,12.29689,163.49712,17.080278,29,1054.7476,15.29082,68.97914,17.190023,1.13,0.0,4.0,0.0,6.0,0,-0.109745,-0.023504,-0.086241,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,248.84081951422,70.8036906205,171.06348358438,12.50620884021,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3924401920043360896,1.0,3924401920043360896,13763.82,603.75,7.882899,0.072503,13268.69,549.35,7.829552,0.073599
161,HS1204p0159_b_2002_02_24T06_55_51_all.dat.gz,9.683055262594475,4.137229759926647,4.10034561388906,11777.259300500564,8.841438219750355,469,375,0.524844,-157.167801,HS1204+0159,181.872875,1.7141111111,1636148068921376768,Gaia DR3 3891718417216600448,3891718417216600448,1545592518,2016.0,181.87281840329,0.0798,1.71397674451,0.0603,4.5596,0.0981,46.5012,32.592,-11.751,0.111,-30.4,0.058,-0.1564,0.0539,0.098,0.2621,-0.5597,0.3881,0.3022,-0.133,-0.3626,-0.0981,257,0,257,0,-0.7316,271.6984,0.098,0.3127,31,0,1.839,,,,,,,,29,14,0.156669,41,13,0,0.055,128.724,1,0,0.966,0.228,0.547,0.404,0.173,-109.261,17.183,-25.466,-10.023,0,335,3044.63701,2.46053,1237.38904,16.978529,39,2448.75451,11.68321,209.59601,16.866179,35,1022.58896,10.46028,97.75926,17.223642,1.14,0.0,1.0,0.0,0.0,0,-0.357464,-0.11235,-0.245113,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,278.57609453018,62.48918147696,181.03644226344,2.31744463027,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3891718417216600448,1.0,3891718417216600448,25011.03,1282.86,7.927178,0.097475,29558.56,1861.72,8.025904,0.092307
162,HS1243p0132_b_2003_01_17T08_08_17_all.dat.gz,4.7699662416782616,3.530433268422989,3.961618761468914,13659.54523840599,8.462726014908458,472,377,0.524197,-92.783698,HS1243+0132,191.41104167,1.2716111111,1636148068921376768,Gaia DR3 3702195464793095936,3702195464793095936,858104936,2016.0,191.41089619574,0.0548,1.27160403945,0.0324,6.5799,0.0623,105.603,29.291,-29.069,0.077,-3.598,0.07,-0.3952,-0.2203,-0.0617,0.1519,0.1384,0.1288,-0.1455,0.0949,0.0219,-0.345,370,0,370,0,-0.0317,437.3552,0.139,1.2335,31,0,1.826,,,,,,,,42,17,0.119282,47,9,0,0.038,30.003,0,0,0.998,0.384,0.584,0.186,0.192,-156.858,17.601,-41.815,-7.082,0,402,4515.17411,3.52804,1279.79822,16.55068,45,3524.24695,9.96505,353.66068,16.470877,43,1588.49202,10.18696,155.93382,16.745434,1.132,0.0,0.0,0.0,0.0,0,-0.274557,-0.079803,-0.194754,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,299.61417718552,64.10602129611,189.99133526166,5.68383740414,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3702195464793095936,1.0,3702195464793095936,19903.18,712.22,7.883586,0.056734,20753.79,944.7,8.022773,0.057563
163,HS1249p0426_a_2001_06_20T00_22_13_all.dat.gz,62.26428281641971,1.7365952228206716,8.081118706959618,9949.511982092909,8.774988916687137,473,378,0.290059,51.568934,HS1249+0426,193.06320833,4.1785833333,1636148068921376768,Gaia DR3 3705386281897262848,3705386281897262848,1625918415,2016.0,193.06327161486,0.0437,4.17863341467,0.0304,14.5934,0.0548,266.5222,12.567,9.34,0.068,8.408,0.07,-0.5494,-0.0872,0.0883,0.1228,0.1316,0.033,0.0106,-0.2272,0.2655,-0.5753,396,0,392,4,1.3262,462.7713,0.13,1.676,31,0,1.744,,,,,,,,45,16,0.119994,53,7,0,0.101,137.255,0,0,1.047,0.078,0.651,0.197,0.179,159.371,31.193,57.75,-44.173,0,444,7283.56712,6.90456,1054.89233,16.031507,50,5209.95426,17.42319,299.02408,16.046457,48,3060.76433,11.7477,260.5416,16.033321,1.136,0.0,2.0,0.0,1.0,0,0.013136,0.01495,-0.001814,,,,,,,,,,,,,,,,,,,,,VARIABLE,303.45316678913,67.04955839725,190.37322296271,9.00513095416,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3705386281897262848,1.0,3705386281897262848,11662.53,170.91,8.063404,0.027387,11558.64,175.24,7.976268,0.032337
164,HS1308p1646_a_2003_01_19T07_08_44_all.dat.gz,23.59258655255743,2.137248214039781,9.67704814956393,9348.09537576312,8.005682551325302,479,382,1.497316,-135.539508,HS1308+1646,197.77533333,16.51775,1636148068921376768,Gaia DR3 3936999437080327040,3936999437080327040,1429255767,2016.0,197.77502947248,0.0311,16.51745314296,0.0252,20.7457,0.0413,502.7675,94.977,-70.052,0.049,-64.136,0.054,-0.3303,-0.0517,0.2308,-0.1108,-0.2401,-0.1259,0.5115,-0.0586,-0.3191,-0.2754,365,0,365,0,0.9312,423.2691,0.061,0.524,31,0,1.73,,,,,,,,42,17,0.082113,52,8,0,0.025,179.486,0,0,1.034,0.125,0.445,0.189,0.227,-34.511,24.588,3.094,-25.756,0,429,9872.65448,6.1026,1617.77734,15.701282,52,6922.92145,14.35263,482.34512,15.737819,50,4331.35645,11.67053,371.13626,15.656336,1.14,0.0,0.0,0.0,1.0,0,0.081483,0.036537,0.044946,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,327.16315163194,78.45346019021,189.66243811154,22.16464354331,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3936999437080327040,0.99,3936999437080327040,10856.41,118.99,8.226383,0.02227,10634.08,123.49,8.125078,0.023914
165,HS1338p0807_b_2001_08_18T23_51_59_all.dat.gz,100.93136748142464,3.1295012498262693,6.125734480408612,12500.000340928656,8.799337915772568,485,387,1.465866,168.422364,HS1338+0807,205.36516667,7.8749166667,1636148068921376768,Gaia DR3 3724583445679765632,3724583445679765632,925173035,2016.0,205.36524916815,0.0487,7.87451776633,0.0409,5.3521,0.0608,88.0286,91.715,20.841,0.066,-89.316,0.052,-0.2211,-0.1335,-0.159,0.0263,-0.1721,0.0392,-0.5312,-0.0078,0.3078,-0.1879,326,0,323,3,0.8206,422.2194,0.163,1.677,31,0,1.842,,,,,,,,37,17,0.093741,45,27,0,0.05,11.567,0,0,1.032,0.278,0.388,0.116,0.423,-153.252,21.547,-33.899,-25.442,0,384,4631.30336,3.41558,1355.93396,16.523109,38,3688.8972,12.4844,295.48056,16.421301,36,1560.26848,9.3364,167.11671,16.764896,1.133,0.0,1.0,0.0,0.0,0,-0.343596,-0.101809,-0.241787,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,336.84590570182,67.39116995633,200.51010165236,17.12723195892,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,3724583445679765632,1.0,3724583445679765632,24280.26,879.3,7.816405,0.062399,28754.44,1225.4,7.92803,0.058196
166,HS1430p1339_a_2001_08_22T00_14_02_all.dat.gz,43.76992741975384,1.664981238918429,9.566203376338978,9671.424003405938,8.551880946741042,489,389,0.872022,-104.890959,HS1430+1339,218.27258333,13.44225,1636148068921376768,Gaia DR3 1179764607826002688,1179764607826002688,151747756,2016.0,218.2723426428,0.0376,13.44218775195,0.0402,19.0382,0.0518,367.1947,56.425,-54.045,0.056,-16.214,0.055,-0.2274,-0.0689,-0.0787,-0.0088,-0.1536,-0.0349,-0.1564,0.1246,0.1788,0.0638,294,0,291,3,2.1698,358.2553,0.187,2.5328,31,0,1.713,,,,,,,,33,17,0.080001,33,18,0,0.039,99.263,0,0,1.091,0.23,0.254,0.096,0.795,13.617,51.053,54.72,-29.62,0,291,5942.4877,3.85837,1540.15332,16.252445,32,4086.26807,13.25908,308.18631,16.310225,31,2742.57465,15.2226,180.16461,16.1525,1.149,0.0,0.0,0.0,1.0,0,0.157724,0.057779,0.099945,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,8.03791405378,62.60427259248,211.08007161481,26.93087463414,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,1179764607826002688,1.0,1179764607826002688,9963.59,149.22,8.291551,0.033709,9686.91,142.97,8.192902,0.032685
167,HS1432p1441_a_2001_08_21T00_15_47_all.dat.gz,99.15469233246942,2.678848705530406,7.767562635600913,11133.113893331158,8.637094411250157,491,391,2.450687,165.008141,HS1432+1441,218.83683333,14.478166667,1636148068921376768,Gaia DR3 1227992486355023616,1227992486355023616,1657303425,2016.0,218.83701520189,0.0378,14.47750909138,0.04,8.6413,0.0494,174.8631,151.107,35.763,0.053,-146.814,0.053,-0.1336,-0.1295,-0.1371,-0.0305,-0.06,-0.0461,-0.1745,0.0816,-0.0127,-0.0482,291,0,291,0,0.5669,344.4215,0.124,0.9717,31,0,1.793,,,,,,,,33,16,0.075151,33,18,0,0.018,90.355,0,0,1.023,0.141,0.174,0.082,0.778,-3.107,56.482,57.514,-28.489,0,289,5161.35037,4.43876,1162.79199,16.405458,32,3913.02985,11.52438,339.54358,16.35726,32,1927.22097,14.38697,133.95604,16.535566,1.132,0.0,2.0,0.0,2.0,0,-0.178307,-0.048199,-0.130108,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,10.57870916179,62.70525751531,211.24925879471,28.0926249864,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,1227992486355023616,1.0,1227992486355023616,16027.03,527.3,7.906553,0.04936,15631.48,571.86,7.931211,0.069025
168,HS1447p0454_a_2001_06_18T02_03_38_all.dat.gz,18.636556405179697,1.3178222223305287,5.9401594280920085,12507.719626210175,7.438491267217031,493,393,1.339042,-86.760791,HS1447+0454,222.54104167,4.696,1636148068921376768,Gaia DR3 1158347014670132864,1158347014670132864,1272910868,2016.0,222.54066905735,0.03,4.69602101719,0.026,16.1416,0.0338,477.4674,78.992,-78.939,0.04,2.909,0.033,0.0567,-0.2239,0.0228,-0.0284,-0.2699,0.0238,-0.1368,-0.1355,0.0597,-0.0322,247,0,247,0,0.6172,302.3344,0.101,1.4826,31,0,1.765,,,,,,,,29,16,0.055191,29,10,0,0.014,84.912,0,0,1.027,0.252,0.168,0.329,0.822,-85.327,-1.163,-13.102,-28.065,0,245,11900.16656,8.44815,1408.61169,15.498485,27,8761.10262,25.39482,344.99567,15.482145,26,4735.20746,11.67875,405.45511,15.559548,1.134,0.0,0.0,0.0,0.0,0,-0.077403,-0.016339,-0.061064,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,359.81175457145,53.89630351545,218.57477282109,20.06910182318,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,1158347014670132864,0.99,1158347014670132864,13514.21,222.21,8.008889,0.021002,13309.88,210.79,7.988699,0.028791
169,HS1447p0454_b_2001_08_16T01_02_39_all.dat.gz,17.8958436537766,1.3053042843378009,5.971680968483661,12500.00701621306,7.363026298311345,494,394,1.339042,-86.760791,HS1447+0454,222.54104167,4.696,1636148068921376768,Gaia DR3 1158347014670132864,1158347014670132864,1272910868,2016.0,222.54066905735,0.03,4.69602101719,0.026,16.1416,0.0338,477.4674,78.992,-78.939,0.04,2.909,0.033,0.0567,-0.2239,0.0228,-0.0284,-0.2699,0.0238,-0.1368,-0.1355,0.0597,-0.0322,247,0,247,0,0.6172,302.3344,0.101,1.4826,31,0,1.765,,,,,,,,29,16,0.055191,29,10,0,0.014,84.912,0,0,1.027,0.252,0.168,0.329,0.822,-85.327,-1.163,-13.102,-28.065,0,245,11900.16656,8.44815,1408.61169,15.498485,27,8761.10262,25.39482,344.99567,15.482145,26,4735.20746,11.67875,405.45511,15.559548,1.134,0.0,0.0,0.0,0.0,0,-0.077403,-0.016339,-0.061064,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,359.81175457145,53.89630351545,218.57477282109,20.06910182318,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,1158347014670132864,0.99,1158347014670132864,13514.21,222.21,8.008889,0.021002,13309.88,210.79,7.988699,0.028791
170,HS1517p0814_b_2001_07_25T23_33_32_all.dat.gz,68.53799060258052,2.0840501187047096,5.977575825486181,12920.951212710805,7.70168446571358,496,396,1.741093,142.31207,HS1517+0814,230.02495833,8.0576666667,1636148068921376768,Gaia DR3 1163912467652160896,1163912467652160896,1094806198,2016.0,230.02525695436,0.041,8.05728393934,0.0374,10.7597,0.0451,238.6563,107.397,67.187,0.056,-83.786,0.049,0.034,-0.0867,0.1194,0.0004,-0.2692,0.0112,0.0896,-0.0659,-0.0716,0.0343,218,0,218,0,0.1952,245.9097,0.071,0.3461,31,0,1.774,,,,,,,,25,16,0.078163,25,8,0,0.064,19.148,0,0,1.008,0.242,0.145,0.222,0.813,-87.229,-8.307,-20.574,-28.921,0,215,6561.889,6.84948,958.01263,16.144794,21,4831.48172,25.10871,192.42256,16.128342,21,2546.85689,16.31768,156.07956,16.232883,1.124,0.0,0.0,0.0,0.0,0,-0.104542,-0.016453,-0.088089,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,11.48023839933,50.00801567152,225.19256448225,25.49393878804,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,1163912467652160896,1.0,1163912467652160896,14140.31,407.21,7.895374,0.042407,14035.94,398.48,7.903522,0.053544
171,HS1527p0614_b_2001_07_25T23_49_52_all.dat.gz,87.08718919429025,1.747466027346405,8.07888556716449,13493.867665867036,7.717783460682122,498,398,1.5183,166.595207,HS1527+0614,232.42279167,6.0672222222,1636148068921376768,Gaia DR3 4429106481934491136,4429106481934491136,923018473,2016.0,232.42288999467,0.0424,6.06681196221,0.0328,11.3852,0.0461,247.0322,94.232,20.092,0.051,-92.065,0.042,0.1043,-0.1525,0.04,-0.0923,-0.2897,-0.0962,0.2283,-0.0742,-0.1673,-0.0064,245,0,242,3,0.662,291.6948,0.113,1.0592,31,0,1.779,,,,,,,,28,16,0.070559,29,9,0,0.057,36.464,0,0,1.029,0.232,0.332,0.12,0.755,-125.265,-11.155,-13.576,-27.15,0,244,7539.71495,8.46373,890.82672,15.993979,27,5577.7952,17.30327,322.35489,15.972385,28,2907.90074,10.26006,283.41946,16.088947,1.125,0.0,1.0,0.0,0.0,0,-0.116562,-0.021594,-0.094968,,,,,,,,,,,,,,,,,,,,,VARIABLE,10.96293575331,46.92489880779,228.31670408124,24.23328894388,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,4429106481934491136,1.0,4429106481934491136,14316.24,292.97,7.899688,0.031637,14196.12,284.83,7.912645,0.039308
172,HS1609p1426_b_2001_08_15T01_43_05_all.dat.gz,11.133691714715065,1.952802544820348,9.15831671468596,11456.03443553446,8.080500987615977,509,401,1.442351,-45.988533,HS1609+1426,243.027125,14.318194444,1636148068921376768,Gaia DR3 4464512882357505280,4464512882357505280,1503919576,2016.0,243.0268276119,0.0695,14.31847281855,0.0559,10.4913,0.0793,132.2365,90.481,-66.197,0.087,61.682,0.071,0.2058,-0.1564,0.4588,0.0976,0.07,0.0886,0.3358,-0.1164,0.0464,0.277,300,0,300,0,12.9182,818.6739,0.517,18.7344,31,0,1.771,,,,,,,,34,18,0.131778,37,5,0,0.011,179.725,0,0,1.575,0.316,0.279,0.122,0.466,-147.803,-27.163,50.813,-28.661,0,322,5687.18384,6.10421,931.68231,16.300123,36,4324.77627,10.82161,399.64261,16.248632,34,2348.35353,10.90775,215.29222,16.320988,1.173,0.0,36.0,0.0,34.0,0,-0.072355,-0.051491,-0.020864,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,28.09972369515,41.69311699723,237.65187036515,34.77797710058,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,4464512882357505280,1.0,4464512882357505280,13649.81,273.82,7.895662,0.036323,13391.79,262.19,7.87299,0.045191
173,HS1616p0247_a_2002_06_18T01_59_12_all.dat.gz,12.531328632067364,2.703511643156955,6.776955860898574,14727.962719318071,8.44404349349064,518,404,0.480339,-117.317441,HS1616+0247,244.82866667,2.6706111111,1636148068921376768,Gaia DR3 4436059415517432064,4436059415517432064,654601721,2016.0,244.82854799368,0.0385,2.6705498785,0.0238,9.7062,0.0593,163.7744,31.958,-29.333,0.053,-12.683,0.031,0.0324,-0.3272,0.271,0.2417,-0.0801,0.1516,0.4689,-0.4685,-0.164,-0.1115,606,0,603,3,0.004,727.4577,0.138,2.0109,31,0,1.808,,,,,,,,70,18,0.077827,72,9,0,0.009,81.64,0,0,1.0,0.599,0.525,0.317,0.136,-161.532,8.351,-37.864,-42.76,0,611,6161.87377,3.59291,1715.00806,16.213085,65,4760.29682,10.94999,434.73068,16.144457,67,2258.22379,8.92669,252.97423,16.363478,1.139,0.0,4.0,0.0,3.0,0,-0.219021,-0.068628,-0.150393,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,16.02537265801,34.67774125118,242.34861151942,23.72586221193,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,4436059415517432064,1.0,4436059415517432064,18489.54,492.33,8.110526,0.039371,18748.6,681.48,8.224855,0.053237
174,HS1616p0247_b_2002_09_24T23_59_54_all.dat.gz,19.20606988197644,2.751615005476745,5.694985513483863,15154.09747503799,8.17274270045414,519,405,0.480339,-117.317441,HS1616+0247,244.82866667,2.6706111111,1636148068921376768,Gaia DR3 4436059415517432064,4436059415517432064,654601721,2016.0,244.82854799368,0.0385,2.6705498785,0.0238,9.7062,0.0593,163.7744,31.958,-29.333,0.053,-12.683,0.031,0.0324,-0.3272,0.271,0.2417,-0.0801,0.1516,0.4689,-0.4685,-0.164,-0.1115,606,0,603,3,0.004,727.4577,0.138,2.0109,31,0,1.808,,,,,,,,70,18,0.077827,72,9,0,0.009,81.64,0,0,1.0,0.599,0.525,0.317,0.136,-161.532,8.351,-37.864,-42.76,0,611,6161.87377,3.59291,1715.00806,16.213085,65,4760.29682,10.94999,434.73068,16.144457,67,2258.22379,8.92669,252.97423,16.363478,1.139,0.0,4.0,0.0,3.0,0,-0.219021,-0.068628,-0.150393,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,16.02537265801,34.67774125118,242.34861151942,23.72586221193,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,4436059415517432064,1.0,4436059415517432064,18489.54,492.33,8.110526,0.039371,18748.6,681.48,8.224855,0.053237
175,HS1646p1059_a_2001_07_27T01_50_31_all.dat.gz,43.95553340996174,2.8425397088528364,6.159092867541477,13394.076442840264,8.545994436988035,522,408,1.239477,168.095593,HS1646+1059,252.16983333,10.898055556,1636148068921376768,Gaia DR3 4447685097411960064,4447685097411960064,53077455,2016.0,252.16990565614,0.041,10.89771866169,0.0307,7.5399,0.0508,148.4072,78.593,20.365,0.053,-75.908,0.042,0.2021,-0.0577,-0.3044,-0.1042,-0.1457,-0.0676,-0.3268,-0.2545,0.0511,0.4003,434,0,428,6,1.1703,559.749,0.187,2.9386,31,0,1.819,,,,,,,,50,23,0.081132,52,20,0,0.009,160.179,0,0,1.04,0.155,0.341,0.032,0.297,-151.563,-17.873,34.624,-33.629,0,432,5463.257,4.48555,1217.96936,16.343739,49,4232.48116,10.86487,389.55667,16.272055,48,1957.53241,6.83305,286.47998,16.518623,1.133,0.0,2.0,0.0,1.0,0,-0.246569,-0.071684,-0.174885,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,28.84926340197,32.15779888627,248.97992654423,33.04504586159,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,5e-05,,,,,,,,,,,,,,,,,,,,,,,4447685097411960064,1.0,4447685097411960064,20154.9,559.09,7.928903,0.04239,21234.93,758.68,8.075852,0.040918
