filename,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi,vstark,e_vstark
HE0423m2822_a_2001_12_04T06_28_50_all.dat.gz,49.89912319901386,8.99943558396058,11343.626880688997,7.999988317915962,2.979487708416927,58.88772876439229,4.199899146646025,7812.030681124943,8.760369635614055,5.973770340604291,-8.988605565378435,9.931213101723973
HE0049m0940_b_2002_09_27T06_27_23_all.dat.gz,28.73523588285891,2.6154685755779834,13485.713292173394,7.68204279780679,1.8584196390666257,19.97359140033652,1.5971578880451958,12999.950122339302,7.118126336028362,3.791179204371658,8.761644482522396,3.0645699843829504
WD2303p017_b_2003_08_05T06_20_05_all.dat.gz,-162.76936729543058,10.150320264768425,128961.21591691418,7.000000002291177,50.117906902826974,59.4065959078775,12.971533423518949,32336.79710873253,8.985355051964163,2.071566717387269,-222.17596320330807,16.470873711944908
WD2059p190_b_2002_09_23T01_15_39_all.dat.gz,-80.05531194444043,23.2974304626016,58610.666301828525,7.000000142305894,1.6321246721234486,14.984151717911931,2.4828049256856985,9091.8021483032,7.000000000009413,2.686124690999957,-95.03946366235236,23.429353095183103
HS2244p2103_a_2002_09_26T04_12_00_all.dat.gz,48.37852834545642,20.614401585250896,22061.7852889715,7.577621460282366,0.2326987487367425,27.43617991652974,12.93537994768792,14286.955403150903,8.000016151597277,0.3451750329976452,20.942348428926685,24.336754243510807
WD1952m206_b_2000_07_13T04_43_44_all.dat.gz,33.513409106759006,3.6227224735516224,13384.692038668914,8.000003536625458,2.7006044293663347,26.42938388496432,2.262273958717456,12999.999018775916,7.294387628015972,4.363738745552632,7.08402522179469,4.271065626359204
WD2058p181_a_2002_07_10T06_54_05_all.dat.gz,-47.26246665281445,3.750343828177346,17174.96436229506,7.730207663645805,1.8605546374997743,-68.60707247872672,2.3520051521678624,13705.138662754376,7.745653266489807,3.001601631514223,21.344605825912268,4.426850693819714
WD1531p184_a_2002_06_18T01_44_31_all.dat.gz,-115.66805255812346,4.59321773846559,11499.999529545432,8.98793583568067,5.445280797778183,32.83948531322001,2.5217326401966176,10754.465309198904,7.000000136981995,17.532933348090936,-148.50753787134346,5.23992220377249
WD0140m392_a_2000_07_14T08_21_32_all.dat.gz,27.538489568135105,2.8847763678153413,22665.489751351248,7.912195427602511,2.4705879152472123,30.483222282252427,1.759703298064231,14142.012226336134,7.9999999927391965,2.575758932535028,-2.9447327141173254,3.3791256841857784
HE0205m2945_b_2002_09_15T07_43_06_all.dat.gz,24.972703375508114,3.425223454698118,10686.896555533342,8.99999999616062,3.8030206361087697,29.130902871072763,2.4329430449000817,10492.081196818155,7.654266476902832,6.4238268044236975,-4.158199495564649,4.201353064709249
WD0126p101_b_2000_07_18T08_26_23_all.dat.gz,-24.95365109613896,18.46616932767545,8398.59564684781,7.59509187034988,0.1078321257124816,-27.50440157430824,5.175604010310261,7274.534712343775,7.000000001029376,0.1155232607483187,2.5507504781692774,19.177754991393574
HE2135m4055_b_2003_05_13T09_44_31_all.dat.gz,35.964592461434336,2.6530009236530674,18814.327632814784,7.785382179593876,1.8663316693220289,-166.76027717548837,0.08607249097426,9997.18282946649,7.031743105921088,5518.2412118995,202.7248696369227,2.654396800519196
HE0349m2537_a_2000_12_11T03_34_19_all.dat.gz,18.176428174215545,6.522041507321808,20274.11372800936,7.756980600325775,2.393041356157191,19.839178483859182,3.494552308752564,12912.832811507267,7.525683082507911,3.110758717042632,-1.6627503096436411,7.399251398745443
WD1241p235_b_2002_02_21T08_53_49_all.dat.gz,-30.871062934567924,5.136705339947378,26834.34963874937,7.7316407663818785,2.761647087526008,-10.577726895229738,3.342654392112148,15133.645542272194,8.68310405456576,2.734253446752932,-20.293336039338183,6.128546331272249
WD1950m432_b_2001_06_05T08_39_56_all.dat.gz,-44.59177818675132,8.89081401213554,36278.71336522488,7.228286296356557,1.9268553524007832,-70.36823489540377,13.195592884278106,32521.2424525772,8.790746822802857,1.7917560731217288,25.776456708652454,15.911324437833471
WD1620m391_a_2002_04_22T04_53_28_all.dat.gz,12.063416984502537,1.112070172728684,24657.57994072739,7.758985866005674,4.926375857862127,18.10946040689149,0.7264967611982485,14965.282146532072,8.499959418935322,2.2882198894873684,-6.04604342238895,1.328343936299763
WD2350m083_a_2002_09_13T07_51_46_all.dat.gz,37.49263166589004,5.860040222003949,17866.895913110464,7.692659862030834,2.5169493361378072,41.72067756275257,3.503321965135882,13304.294245471878,7.42764811255666,3.39881304199753,-4.2280458968625325,6.827396003961367
WD2122m467_b_2002_07_27T05_39_07_all.dat.gz,887.8758080025578,8.305187812444899,31958.280037030167,8.499956973534314,47.34743025095468,14.799157218765998,3.222990023465956,13711.28206700692,7.734972237131141,4.367169634371052,873.0766507837918,8.90863678075071
WD0204m306_a_2002_12_03T05_49_15_all.dat.gz,450.43588803343926,12.116629739398547,94302.6206945709,7.035458517626744,2.182378935353828,114.49001197877983,12.020713780862096,23157.577170771227,8.999999998425947,3.823714421537912,335.94587605465944,17.067814038214888
WD1022p050_a_2001_01_10T09_20_04_all.dat.gz,77.58661747537512,3.794837551911996,13343.921118509516,8.999999999955332,2.5276265061848666,72.07462305342438,2.5666269192873656,11499.965746814814,7.359881061693946,5.41504241133881,5.511994421950746,4.5813061225170255
WD0922p183_a_2002_02_24T04_08_07_all.dat.gz,18.153114533431893,10.905861639408908,22916.45042039326,7.85920223033682,2.526772706431493,37.10649213401712,6.104159858099296,12095.776115265391,8.075517230692533,3.4571445351817984,-18.95337760058523,12.497943257638896
WD1102m183_a_2000_04_23T03_23_00_all.dat.gz,46.86480044723788,4.212775795893847,8110.393996017725,7.451730557768191,1.4054487871991217,67.6338030237745,1.1041379985296302,7219.141084522373,7.000000000471549,5.397512877411993,-20.76900257653662,4.355066087473996
HS0047p1903_a_2002_09_19T04_38_23_all.dat.gz,50.395920647384166,9.2657414414743,15358.980861890475,7.000000004827275,8.102445998051019,34.350461829707555,7.997264682900672,10347.234521795386,8.49933445863788,5.624340080919357,16.04545881767661,12.239697989273454
HE1326m0041_a_2000_07_13T01_55_46_all.dat.gz,70.70173789788693,6.929572557491131,19012.484212678974,7.910505667793177,2.418550874431211,50.99535096797866,3.3320656848898977,12500.004960841075,7.000000055747393,3.928251470653378,19.70638692990827,7.689059601664884
WD0102m142_a_2002_09_12T08_43_02_all.dat.gz,25.342048393233625,3.9467077914994224,20411.938417223857,7.855027897143799,5.3274232579542975,-4.576961148959621,2.3113102205714204,13961.324584409444,7.939920728062757,4.114102507553382,29.919009542193244,4.573691870600834
WD1210p140_a_2003_01_18T07_15_15_all.dat.gz,-635.8877106724917,1.8372772920128,8000.000101606722,8.999991423609078,16.330474400736552,35.27853599288429,3.1144668037853087,16999.85731189816,8.999392933690325,2.038587635101385,-671.166246665376,3.616004883794623
WD1614p136_a_2001_07_26T02_05_57_all.dat.gz,23.452967084429226,2.909162386867541,21097.50223008316,7.000000009592206,2.2167406348828167,17.48271644438822,1.721620062184981,13499.881942741024,7.503331902442172,3.451015360558973,5.970250640041005,3.380414387568877
WD0315m332_a_2002_09_21T08_07_59_all.dat.gz,23.04634193833231,17.978575851920308,42959.87771816166,7.000000006025174,3.170150396569785,-11.141603985054354,29.2703424316882,32948.89710470368,8.999999851618336,2.527222347735397,34.187945923386664,34.35086804917073
