filename,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi,nlte_rv,nlte_e_rv,nlte_teff,nlte_logg,nlte_redchi,vstark,e_vstark
WD1233m164_a_2003_01_18T07_23_54_all.dat.gz,17.70953416682497,3.3789302389977633,9773.899226814749,8.99999999997911,2.4266365621860335,6.498623973944817,6.234302403505266,14481.223877995431,8.999999874231202,3.877923648475261,11.210910192880153,7.091099774954871
HE0145m0610_a_2003_01_19T01_33_36_all.dat.gz,878.5696650776348,,9000.091864202488,7.000030073938961,5661.438450299587,-407.6444236882918,1.1639125814271836,128272.66891020183,7.000001443341809,4637.621730581846,1286.2140887659266,
WD1201m049_a_2002_02_17T07_53_01_all.dat.gz,-60.424697148088576,20.93821585984102,7543.835381719379,8.999999999998895,1.5505486927333552,58.621913829715346,55.52848061057779,37448.66492192498,7.4999793582782885,2.8002352720825225,-119.04661097780392,59.344932743348956
WD2056p033_a_2001_08_21T00_57_59_all.dat.gz,-9.236735863400126,10.88147536411769,7540.03094591166,8.999999986441884,2.663377675444347,-52.18016246971361,30.575636536126034,34072.59434996357,8.999999994303828,3.3591145767172,42.94342660631348,32.454214760015155
WD1241p235_a_2002_02_17T08_58_09_all.dat.gz,-0.08642589949830508,6.6022772630048046,9681.363546506596,8.999999999999588,1.7397275350270256,-31.946690032795058,9.880568060971353,11672.811854743497,8.999999981240366,4.843917955242203,31.860264133296752,11.883420814945392
WD1053m550_b_2001_06_09T00_25_54_all.dat.gz,29.715665257011985,2.8815265865475563,13618.851999917912,8.013801856478455,3.033593911524858,25.421001558700613,2.9829703530749043,12460.268340860997,7.770707046972112,9.498108409728419,4.294663698311371,4.147445912402503
WD0603m483_a_2001_01_15T03_58_34_all.dat.gz,45.882670512203916,7.01935878179998,8541.556628590773,8.999999925526327,1.948628594586554,-4.0202206620552525,17.038189541698646,34999.90919957825,7.283100145430902,3.3791833800460207,49.90289117425917,18.42746050237204
WD1123p189_a_2002_02_25T04_26_09_all.dat.gz,15.231617337564161,5.821118362127209,7744.334282022204,8.999999999883839,1.8607964525383804,56.42622232872757,27.292524257828767,49288.49330496301,7.49996119106764,2.243740946211361,-41.19460499116341,27.90640247953982
WD0928m713_b_2002_04_23T02_35_46_all.dat.gz,44.14546550587067,5.951791432604708,8541.445467310707,8.066003216818128,4.32803735375712,61.353497287458175,1.8938101091714614,7757.212805780902,7.741286634671535,8.214463282230279,-17.208031781587508,6.245825644926923
HE0426m0455_a_2000_12_11T03_21_26_all.dat.gz,66.47228496803658,4.831858696160715,12747.771312094656,7.804100525315591,3.3681157586031403,42.767418568049315,6.689732764521224,16589.960797386517,7.785993168294016,10.185401461334243,23.70486639998726,8.25223502575955
HS2225p2158_a_2002_09_25T02_14_44_all.dat.gz,44.46913742045702,4.429714952756214,9706.204423458395,8.999999999882721,6.134390559861205,18.130367015897388,6.457094247331016,24095.19964461289,8.031247484233669,5.6723847041278805,26.33877040455963,7.8304815102002046
WD0642m285_a_2001_04_08T01_15_20_all.dat.gz,32.48594325271028,7.078080320329663,10052.08315257122,7.4999649036909695,10.91925305951966,117.14081735262288,0.0369772063634386,6881.793928496478,7.016784429901467,36142.64587761055,-84.6548740999126,7.078176907567973
WD0048m544_b_2002_09_14T03_21_21_all.dat.gz,47.77243300206775,3.585534189461203,12819.496139930916,8.874067876817165,1.6279157018812598,43.501516386010195,4.209426181392487,13364.67965856008,8.087756762665643,3.6667451045758224,4.270916616057555,5.529495836004196
WD1017m138_b_2003_01_17T05_10_26_all.dat.gz,41.13427958278427,4.48736220481679,8729.3030746931,8.999999999559325,1.741817479191123,29.93293447192087,11.827727659882395,31647.09661272564,7.999999702399621,3.2945764651153504,11.201345110863404,12.650358143292438
HS0400p1451_b_2002_09_21T06_42_08_all.dat.gz,68.17535367582262,3.4781841204025667,14301.743876545761,8.39858631846723,3.537207147692334,49.04495006375071,3.7163121633256466,12608.721914735244,8.074822026030956,8.56917043710683,19.13040361207191,5.090062953510764
WD1308m301_b_2000_06_08T01_10_36_all.dat.gz,110.52592420586966,3.243246622688197,13234.692012458108,8.032120840139996,2.7260756415665868,74.81768318701901,3.9249133983419213,21815.876900019368,7.547729642485529,8.099237430312165,35.70824101885064,5.091521760737385
WD1257p047_a_2000_05_20T02_47_52_all.dat.gz,67.7759220184605,3.9872569099644046,12083.96042202023,8.999999999957165,5.930365578509366,46.127762027401104,6.234717444014009,13055.26273021211,8.999999999969958,5.473280901102344,21.6481599910594,7.400670190783499
WD1532p033_a_2001_06_29T00_41_40_all.dat.gz,57.50716643883583,10.889448227935379,7509.995978883006,8.999999995392603,2.072999764425089,25.771257977050585,61.28734303476439,48754.26266665135,8.000002332781907,4.143649761522544,31.735908461785247,62.247236878192176
WD1524m749_b_2000_07_18T04_20_42_all.dat.gz,-653.387658721079,0.300774922345056,6844.567891771005,7.000000027947763,838.1315345399515,-435.132191169329,0.6654325633819838,127422.60661389407,7.000000952508547,16446.78460835264,-218.25546755174997,0.7302506763576412
WD0135m052_a_2000_07_12T08_37_33_all.dat.gz,-14.122434510286249,3.8861716255486076,7111.80718130927,7.499746531905364,3.6505581758836505,-30.38137366073274,1.0717137233022793,8824.622979188902,8.999999999876103,12.28452405822774,16.258939150446494,4.031240529655052
HE0043m0318_a_2002_12_02T01_31_03_all.dat.gz,98.78118896296881,3.460295524576374,12757.35693722237,8.099319230065376,2.352211412046206,79.46508389697831,2.519664372074665,7466.3777081819835,8.999471566508939,8.15847546025159,19.3161050659905,4.280461851868989
