source_id,lte_rv,lte_e_rv,lte_teff,lte_logg,lte_redchi
91690164426711040,-8.240280663774454,4.818258499269971,17604.289184186975,7.824681205288647,2.446065457451021
3529574716212596736,27.07345359413537,5.806859730086064,26559.191646788448,7.667884349987148,2.0523954219239062
5125057897336633344,-3.8364967924002644,2.950124206948443,17003.59862884947,7.707978467072592,4.844315127664008
5098930339964725248,42.4246152799311,4.236975475660728,15401.481269542328,8.999999964735432,2.775729252853127
2656542452030717952,64.8311895461509,14.022711137038176,52195.20328711483,7.277695371413908,1.4102662133454915
679177201586401280,60.47511671570617,7.22144271496294,31222.615415630175,7.308073577699221,3.6379884750753786
46896958359881728,89.54732080624048,1.5695921508279511,13860.832030228581,8.710837117293059,4.602996215813293
2772855182928578560,-18.25873510590848,2.829574659860813,24354.403466389373,7.637505098318247,10.229944504163912
3846451454781376512,73.04226577539315,4.556750437562542,18534.184027381976,7.950721053411074,3.5317262464443795
3866880552624195584,111.22894567495852,5.401377617478623,17183.72179847859,7.503025208394051,2.371463197975471
2511623211717232640,32.70964565341107,2.5650797641408705,13576.751156677292,8.692801999450335,3.1194926347696277
5083478078426926976,22.877572069099216,4.832927080198598,20860.00942748556,7.712266810456489,2.16012295715738
6585878288771383296,-91.45930622552434,4.500029232383859,19611.968643216132,7.49997235720964,2.842003890253498
2442099751463686528,31.233214857548607,4.36958001671727,18165.37624488071,7.668832394287975,1.979805921577823
2390888829168611968,43.43765939348532,5.771749749426558,26498.45156427533,7.875160230567987,2.624456565219485
2658537614663492352,7.905125144508722,6.506445955985316,41123.36217412663,7.663028163163325,3.457817347496777
4419865155422033280,-56.84621066277188,5.44576903760435,29999.74090774684,7.963118155398887,2.482494185955141
5402827451143222912,1.4319352569329986,3.3655060368133753,22161.955352814726,7.803985720612244,2.025860988612811
3973707423046985984,-28.02147976035312,15.20900558914335,52745.57780649971,7.021708900088118,2.2015439789630027
6849796229451135104,-13.663772834738538,3.1856335973336023,14904.555293333604,8.658284749939074,3.1232765094332384
4420242631507777920,-55.6326306603309,4.427334639354566,10123.93809784411,8.999999998766546,4.814890479581728
6468623688724871808,75.08784428154834,2.3530267345658302,22592.61421771783,7.1978720184146505,5.725891719397498
1738521539295354240,26.20684422552152,6.9920889561700665,36162.704000823185,7.846781784723582,4.117482710031061
6191268135405788544,70.39247241890628,3.464703976777507,11703.574216741908,8.999999999970175,2.457353470862987
5792402116129561984,176.3043448776152,2.7441463031572226,22908.19176385989,7.661028150961237,4.744544774266721
4460086458999242368,21.354231626817548,3.0133080457069212,16422.903013107854,7.52101736012269,2.637127828428459
6278550873112595968,46.26475588568031,15.286490615685793,32949.47110259571,7.072486247833937,0.8406546225579564
2662658107503521536,42.96048875602384,5.415458977261821,35721.13756433538,7.459266937926149,1.863270019152321
61497407625478272,55.35353740903092,4.457895815250545,13598.745045282014,8.159202911623552,2.1642187217229423
3724583445679765632,106.03520474472923,5.243842467151019,25634.697758015478,7.816144804510147,3.344541320444564
5612710511362093184,28.366501237257694,4.305325250954583,34998.681537196884,7.431747271842661,1.6903406303082342
